MAME Name,EN Name,CN Name
cps3bs32,"Street Fighter III 2nd Impact: Giant Attack (USA 970930, bootleg for HD6417095 type SH2, V3)","街头霸王 3 - 二度冲击 巨型攻击（美版 970930, 盗版于 HD6417095 type SH2, V3）"
cps3bs32a,"Street Fighter III 2nd Impact: Giant Attack (USA 970930, bootleg for HD6417095 type SH2, older)","街头霸王 3 - 二度冲击 巨型攻击（美版 970930, 盗版于 HD6417095 type SH2, 旧版）"
jojo,JoJo's Venture (USA 990128),乔乔的奇妙冒险（美版 990128）
jojoba,JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990927),乔乔的奇妙冒险 - 未来遗产（日版 990927）
jojoban,"JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990927, NO CD)","乔乔的奇妙冒险 - 未来遗产（日版 990927, NO CD）"
jojobane,"JoJo's Bizarre Adventure (Euro 990927, NO CD)","乔乔的奇妙冒险 - 未来遗产（欧版 990927, NO CD）"
jojobaner1,"JoJo's Bizarre Adventure (Euro 990913, NO CD)","乔乔的奇妙冒险 - 未来遗产（欧版 990913, NO CD）"
jojobanr1,"JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990913, NO CD)","乔乔的奇妙冒险 - 未来遗产（日版 990913, NO CD）"
jojobar1,JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990913),乔乔的奇妙冒险 - 未来遗产（日版 990913）
jojoj,JoJo no Kimyou na Bouken (Japan 990128),乔乔的奇妙冒险（日版 990128）
jojojr1,JoJo no Kimyou na Bouken (Japan 990108),乔乔的奇妙冒险（日版 990108）
jojojr2,JoJo no Kimyou na Bouken (Japan 981202),乔乔的奇妙冒险（日版 981202）
jojon,"JoJo's Venture (Asia 990128, NO CD)","乔乔的奇妙冒险（亚洲版 990128, NO CD）"
jojonr1,"JoJo's Venture (Asia 990108, NO CD)","乔乔的奇妙冒险（亚洲版 990108, NO CD）"
jojonr2,"JoJo's Venture (Asia 981202, NO CD)","乔乔的奇妙冒险（亚洲版 981202, NO CD）"
jojor1,JoJo's Venture (USA 990108),乔乔的奇妙冒险（美版 990108）
jojor2,JoJo's Venture (USA 981202),乔乔的奇妙冒险（美版 981202）
redearth,Red Earth (Euro 961121),赤色大地（欧版 961121）
redearthr1,Red Earth (Euro 961023),赤色大地（欧版 961023）
sfiii,Street Fighter III: New Generation (Euro 970204),街头霸王 III - 新的时代（欧版 970204）
sfiii2,Street Fighter III 2nd Impact: Giant Attack (USA 970930),街头霸王 III 二度冲击 - 巨型攻击（美版 970930）
sfiii2j,Street Fighter III 2nd Impact: Giant Attack (Japan 970930),街头霸王 III 二度冲击 - 巨型攻击（日版 970930）
sfiii2n,"Street Fighter III 2nd Impact: Giant Attack (Asia 970930, NO CD)","街头霸王 III 二度冲击 - 巨型攻击（亚洲版 970930, NO CD）"
sfiii3,Street Fighter III 3rd Strike: Fight for the Future (Euro 990608),街头霸王 III 三次攻击 - 未来战斗（欧版 990608）
sfiii3n,"Street Fighter III 3rd Strike: Fight for the Future (Japan 990608, NO CD)","街头霸王 III 三次攻击 - 未来战斗（日版 990608, NO CD）"
sfiii3nr1,"Street Fighter III 3rd Strike: Fight for the Future (Japan 990512, NO CD)","街头霸王 III 三次攻击 - 未来战斗（日版 990512, NO CD）"
sfiii3r1,Street Fighter III 3rd Strike: Fight for the Future (Euro 990512),街头霸王 III 三次攻击 - 未来战斗（欧版 990512）
sfiii3u,Street Fighter III 3rd Strike: Fight for the Future (USA 990608),街头霸王 III 三次攻击 - 未来战斗（美版 990608）
sfiii3ur1,Street Fighter III 3rd Strike: Fight for the Future (USA 990512),街头霸王 III 三次攻击 - 未来战斗（美版 990512）
sfiiia,Street Fighter III: New Generation (Asia 970204),街头霸王 III - 新的时代（亚洲版 970204）
sfiiih,Street Fighter III: New Generation (Hispanic 970204),街头霸王 III - 新的时代（西班牙版 970204）
sfiiij,Street Fighter III: New Generation (Japan 970204),街头霸王 III - 新的时代（日版 970204）
sfiiin,"Street Fighter III: New Generation (Asia 970204, NO CD, bios set 1)","街头霸王 III - 新的时代（亚洲版 970204, NO CD, bios 第1套）"
sfiiina,"Street Fighter III: New Generation (Asia 970204, NO CD, bios set 2)","街头霸王 III - 新的时代（亚洲版 970204, NO CD, bios 第2套）"
sfiiiu,Street Fighter III: New Generation (USA 970204),街头霸王 III - 新的时代（美版 970204）
warzard,Warzard (Japan 961121),赤色大地（日版 961121）
warzardr1,Warzard (Japan 961023),赤色大地（日版 961023）
