MAME Name,EN Name,CN Name
2020bb,2020 Super Baseball (set 1),2020 超级棒球（第1套）
2020bba,2020 Super Baseball (set 2),2020 超级棒球（第2套）
2020bbh,2020 Super Baseball (set 3),2020 超级棒球（第3套）
3countb,3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043),三回合较量 / 火线摔角（NGM-043）（NGH-043）
alpham2,Alpha Mission II / ASO II - Last Guardian (NGM-007 ~ NGH-007),阿尔法任务 II - 最后的守护神（NGM-007）（NGH-007）
alpham2p,Alpha Mission II / ASO II - Last Guardian (prototype),阿尔法任务 II - 最后的守护神（工程版）
androdun,Andro Dunos (NGM-049 ~ NGH-049),勇者之击（NGM-049）（NGH-049）
aodk,Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008),痛快 GANGAN 进行曲（ADM-008）（ADH-008）
aof,Art of Fighting / Ryuuko no Ken (NGM-044 ~ NGH-044),龙虎之拳（NGM-044）（NGH-044）
aof2,Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056),龙虎之拳 2（NGM-056）
aof2a,Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056),龙虎之拳 2（NGH-056）
aof3,Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden,龙虎之拳 3 - 斗士之路
aof3k,Art of Fighting 3 - The Path of the Warrior (Korean release),龙虎之拳 3 - 斗士之路（韩版）
b2b,Bang Bang Busters (2010 NCI release),砰砰克星（2010 NCI 发布）
bakatono,Bakatonosama Mahjong Manyuuki (MOM-002 ~ MOH-002),傻瓜殿下 麻将漫游记（MOM-002）（MOH-002）
bangbead,Bang Bead,碰碰球
bjourney,Blue's Journey / Raguy (ALM-001 ~ ALH-001),蓝色之旅 / 拉吉少年（ALM-001）（ALH-001）
blazstar,Blazing Star,闪亮之星
breakers,Breakers,爆烈人 - 末日英雄
breakrev,Breakers Revenge,爆烈人 复仇 - 末日英雄 加强版
bstars,Baseball Stars Professional (NGM-002),棒球之星专业版（NGM-002）
bstars2,Baseball Stars 2,棒球之星 2
bstarsh,Baseball Stars Professional (NGH-002),棒球之星专业版（NGH-002）
burningf,Burning Fight (NGM-018 ~ NGH-018),热血快打（NGM-018）（NGH-018）
burningfh,"Burning Fight (NGH-018, US)",热血快打（NGH-018）（美版）
burningfp,Burning Fight (prototype),"热血快打（工程版, 较旧版）"
crswd2bl,Crossed Swords 2 (bootleg of CD version),圣十字剑 2（盗版 CD 卡带转换版）
crsword,Crossed Swords (ALM-002 ~ ALH-002),圣十字剑（ALM-002）（ALH-002）
ct2k3sa,Crouching Tiger Hidden Dragon 2003 Super Plus alternate (The King of Fighters 2001 bootleg),卧虎藏龙 2003 风云 超级加强替换版
ct2k3sp,Crouching Tiger Hidden Dragon 2003 Super Plus (The King of Fighters 2001 bootleg),卧虎藏龙 2003 风云 超级加强版
cthd2003,Crouching Tiger Hidden Dragon 2003 (The King of Fighters 2001 bootleg),卧虎藏龙 2003（第1套）
ctomaday,Captain Tomaday,蕃茄超人
cyberlip,Cyber-Lip (NGM-010),战斗边缘（NGM-010）
diggerma,Digger Man (prototype),钻地先生
doubledr,Double Dragon (Neo-Geo),双截龙格斗（Neo-Geo）
dragonsh,Dragon's Heaven (development board),龙之天堂（开发版）
eightman,Eight Man (NGM-025 ~ NGH-025),超人8号（NGM-025）（NGH-025）
fatfursp,"Fatal Fury Special / Garou Densetsu Special (NGM-058 ~ NGH-058, set 1)",饿狼传说特别版（第1套）（NGM-058）（NGH-058）
fatfurspa,"Fatal Fury Special / Garou Densetsu Special (NGM-058 ~ NGH-058, set 2)",饿狼传说特别版（第2套）（NGM-058）（NGH-058）
fatfury1,Fatal Fury - King of Fighters / Garou Densetsu - Shukumei no Tatakai (NGM-033 ~ NGH-033),饿狼传说 - 宿命之战（NGM-033）（NGH-033）
fatfury2,Fatal Fury 2 / Garou Densetsu 2 - Arata-naru Tatakai (NGM-047 ~ NGH-047),饿狼传说 2 - 新的战斗（NGM-047）（NGH-047）
fatfury3,Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - Haruka-naru Tatakai (NGM-069 ~ NGH-069),饿狼传说 3 - 通向最终胜利之路（NGM-069）（NGH-069）
fbfrenzy,Football Frenzy (NGM-034 ~ NGH-034),疯狂橄榄球（NGM-034）（NGH-034）
fightfev,Fight Fever (set 1),狂热格斗（第1套）
fightfeva,Fight Fever (set 2),狂热格斗（第2套）
flipshot,Battle Flip Shot,盾牌大战
froman2b,"Idol Mahjong Final Romance 2 (Neo-Geo, bootleg of CD version)",偶像麻将 - 许愿树 2（Neo CD 转换版）
fswords,Fighters Swords (Korean release of Samurai Shodown III),斗士之剑（侍魂 III 韩版）
galaxyfg,Galaxy Fight - Universal Warriors,银河快打 - 宇宙战士
ganryu,Ganryu / Musashi Ganryuki,武藏严流记
garou,Garou - Mark of the Wolves (NGM-2530),饿狼传说 - 狼之烙印（NGM-2530）
garoubl,Garou - Mark of the Wolves (bootleg),饿狼传说 - 狼之烙印（盗版）
garouh,Garou - Mark of the Wolves (NGM-2530 ~ NGH-2530),饿狼传说 - 狼之烙印（NGM-2530）（NGH-2530）
garoup,Garou - Mark of the Wolves (prototype),饿狼传说 - 狼之烙印（工程版）
ghostlop,Ghostlop (prototype),鬼精灵投球手（工程版）
goalx3,Goal! Goal! Goal!,射门!射门!射门!
gowcaizr,Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer,超人学园钢帝王
gpilots,Ghost Pilots (NGM-020 ~ NGH-020),魔鬼飞行员 - 幽灵战区（NGM-020）（NGH-020）
gpilotsh,"Ghost Pilots (NGH-020, US)",魔鬼飞行员 - 幽灵战区（NGH-020）（美版）
gururin,Gururin,方块小人
ironclad,Choutetsu Brikin'ger - Iron Clad (prototype),超铁战机（工程版）
ironclado,"Choutetsu Brikin'ger - Iron Clad (prototype, bootleg)","超铁战机（工程版, 较旧版）"
irrmaze,The Irritating Maze / Ultra Denryu Iraira Bou,刺激迷宫 / 终极电流急急棒
janshin,Janshin Densetsu - Quest of Jongmaster,雀神传说 - 寻找麻将大师
jockeygp,Jockey Grand Prix (set 1),赛马大奖赛（第1套）
jockeygpa,Jockey Grand Prix (set 2),赛马大奖赛（第2套）
joyjoy,Puzzled / Joy Joy Kid (NGM-021 ~ NGH-021),阳光方块（NGM-021）（NGH-021）
kabukikl,Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den,天外魔境真传 - 东方伊甸园
karnovr,Karnov's Revenge / Fighter's History Dynamite,卡诺夫的复仇 / 格斗列传
kf10thep,The King of Fighters 10th Anniversary Extra Plus (The King of Fighters 2002 bootleg),拳皇十周年纪念 特别加强版（盗版）
kf2k2mp,The King of Fighters 2002 Magic Plus (bootleg),拳皇 2002 魔法加强版（盗版）
kf2k2mp2,The King of Fighters 2002 Magic Plus II (bootleg),拳皇 2002 魔法加强版 II（盗版）
kf2k2pla,The King of Fighters 2002 Plus (bootleg set 2),拳皇 2002 加强版（盗版 第2套）
kf2k2pls,The King of Fighters 2002 Plus (bootleg set 1),拳皇 2002 加强版（盗版 第1套）
kf2k3bl,The King of Fighters 2003 (bootleg set 1),拳皇 2003 加强版（盗版 第1套）
kf2k3bla,The King of Fighters 2003 (bootleg set 2),拳皇 2003 加强版（盗版 第2套）
kf2k3pl,The King of Fighters 2004 Plus / Hero (The King of Fighters 2003 bootleg),拳皇 2004 英雄版（盗版）
kf2k3upl,The King of Fighters 2004 Ultra Plus (The King of Fighters 2003 bootleg),拳皇 2004 风云加强版（盗版）
kf2k5uni,The King of Fighters 10th Anniversary 2005 Unique (The King of Fighters 2002 bootleg),拳皇十周年纪念 2005 特别版（盗版）
kizuna,Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle,风云默示录 2 - 超级组队战
kizuna4p,Kizuna Encounter - Super Tag Battle 4 Way Battle Version / Fu'un Super Tag Battle Special Version,风云默示录 - 超级组队战 - 四人混战版
kof10th,The King of Fighters 10th Anniversary (The King of Fighters 2002 bootleg),拳皇十周年纪念（盗版）
kof2000,The King of Fighters 2000 (NGM-2570 ~ NGH-2570),拳皇 2000（NGM-2570）（NGH-2570）
kof2000n,The King of Fighters 2000 (not encrypted),拳皇 2000（未加密版）
kof2001,The King of Fighters 2001 (NGM-262?),拳皇 2001（NGM-262?）
kof2001h,The King of Fighters 2001 (NGH-2621),拳皇 2001（NGH-2621）
kof2002,The King of Fighters 2002 (NGM-2650 ~ NGH-2650),拳皇 2002（NGM-2650）（NGH-2650）
kof2002b,The King of Fighters 2002 (bootleg),拳皇 2002（盗版）
kof2003,The King of Fighters 2003 (NGM-2710),拳皇 2003（NGM-2710）
kof2003h,The King of Fighters 2003 (NGH-2710),拳皇 2003（NGH-2710）
kof2k4se,The King of Fighters Special Edition 2004 (The King of Fighters 2002 bootleg),拳皇特别版 2004（盗版）
kof94,The King of Fighters '94 (NGM-055 ~ NGH-055),拳皇94（NGM-055）（NGH-055）
