Name EN,Name CN
[BIOS] SwanCrystal Boot ROM (Japan) (En),[BIOS] SwanCrystal Boot ROM
[BIOS] WonderSwan Color Boot ROM (Japan) (En),[BIOS] WonderSwan Color Boot ROM
12 Dots Text Viewer (World) (v0.55) (WonderWitch) (Program) (Unl),
3D Othello (World) (Ja) (WonderWitch) (Unl),
4 Koma TV (World) (Ja) (WonderWitch) (Unl),
Alchemist Marie & Elie - Futari no Atelier (Japan),炼金术士 - 玛莉和艾莉
Alchemist Marie & Elie - Futari no Atelier (Japan) (Demo) (WonderWitch),炼金术士 - 玛莉和艾莉
Another Heaven - Memory of those Days (Japan),另一天堂 - 记忆中的日子
Arc the Lad - Kishin Fukkatsu (Japan),妖精战士 - 机神复活
Arial (World) (v0.21) (Proto) (WonderWitch) (Unl),
Artisan (World) (WonderWitch) (Unl),
Arubi (World) (Ja) (v0.08) (Proto) (WonderWitch) (Unl),
Atchi Muite Hoitsu! (World) (Ja) (WonderWitch) (Unl),
Battle Spirit - Digimon Frontier (Japan) (Rev 1),战斗精神 - 数码宝贝开拓者
Battle Spirit - Digimon Frontier (Japan),战斗精神 - 数码宝贝开拓者
Bio Worms (World) (WonderWitch) (Unl),
Biorhythm for WonderWitch (World) (Ja) (WonderWitch) (Program) (Unl),
BloodStorm (World) (WonderWitch) (Unl),
Blue Wing Blitz (Japan),蓝天之翼
BOM Danna (World) (Ja) (WonderWitch) (Unl),
Bury (World) (WonderWitch) (Unl),
Canon Hockey (World) (WonderWitch) (Unl),
Chains (World) (WonderWitch) (Unl),
Charaga (World) (WonderWitch) (Unl),
CNLink (World) (Ja) (WonderWitch) (Unl),
Coar Crashers (World) (Demo) (WonderWitch) (Unl),
collo (World) (WonderWitch) (Unl),
Course Out (World) (Ja) (v0.0.1) (Proto) (WonderWitch) (Unl),
Course Out 2 (World) (Ja) (v0.0.1) (WonderWitch) (Unl),
Course Out 3 (World) (Ja) (v0.0.1) (Proto) (WonderWitch) (Unl),
Dai Meikyuu (World) (Ja) (WonderWitch) (Unl),
Dark Eyes - Battle Gate (Japan),黑暗之眼 - 战斗闸门
Darkhero Figment - Calibur Edition (World) (Ja) (WonderWitch) (Unl),
Darkhero Figment - Doris Edition (World) (Ja) (WonderWitch) (Unl),
Darkhero Figment 2 (World) (Ja) (WonderWitch) (Unl),
Dicing Knight (Japan) (En),骰子骑士
Dicing Knight Legion (World) (v2.1) (Demo) (WonderWitch) (Unl),骰子骑士军团
Dicing Knight. (Japan),骰子骑士
Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Hong Kong) (En),数码宝贝 - 阴阳极版
Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Korea) (En),数码宝贝 - 阴阳极版
Digimon Adventure 02 - D1 Tamers (Japan),数码宝贝 02 - D1驯兽师
Digimon Adventure 02 - D1 Tamers (Japan) (Rev 1),数码宝贝 02 - D1驯兽师
"Digimon Tamers - Battle Spirit (Japan, Korea) (En,Ja)",数码兽驯兽师 - 战斗之魂
Digimon Tamers - Battle Spirit Ver. 1.5 (Japan),数码兽驯兽师 - 战斗之魂 v1.5
Digimon Tamers - Brave Tamer (Japan) (Rev 1),数码宝贝 - 华丽篇
Digimon Tamers - Digimon Medley (Japan),数码宝贝 - 数码混合
Digimon Tamers - Digimon Medley (Japan) (Rev 1),数码宝贝 - 数码混合
Digital Monster - D-Project (Japan),数码宝贝 - D计划
Digital Monster - D-Project (Japan) (Rev 1),数码宝贝 - D计划
Digital Monster - D-Project (Japan) (Rev 2),数码宝贝 - D计划
Digital Monster Card Game - Ver. WonderSwan Color (Japan),数码宝贝 卡片版
Digital Monster Card Game - Ver. WonderSwan Color (Japan) (Rev 2),数码宝贝 卡片版
Dokodemo Hamster 3 - Odekake Saffron (Japan) (Rev 2),哈姆太郎 3
Doukyuu Tantei Oke Solo (World) (Ja) (WonderWitch) (Unl),
Dragon Ball (Japan),七龙珠
Es=Loss Zero Side (World) (Ja) (WonderWitch) (Unl),
Evil Dragon (World) (WonderWitch) (Unl),
Features (World) (WonderWitch) (Unl),
Final Fantasy (Japan),最终幻想
Final Fantasy II (Japan),最终幻想 2
Final Fantasy IV (Japan),最终幻想 4
Final Lap Special - GT & Formula Machine (Japan),最后冲刺 特別版
Flash Koibito-kun (Japan),FLASH恋人
Flip (World) (Proto) (WonderWitch) (Unl),
From TV Animation One Piece - Chopper no Daibouken (Japan),海贼王 - 乔巴大冒险
From TV Animation One Piece - Grand Battle Swan Colosseum (Japan),海贼王 - 伟大之战
From TV Animation One Piece - Grand Battle Swan Colosseum (Japan) (Sample),海贼王 - 伟大之战
From TV Animation One Piece - Niji no Shima Densetsu (Japan),海贼王 - 彩虹岛传说
From TV Animation One Piece - Treasure Wars (Japan),海贼王 - 财宝争夺战
From TV Animation One Piece - Treasure Wars (Japan) (Rev 1),海贼王 - 财宝争夺战
From TV Animation One Piece - Treasure Wars 2 - Buggy Land e Youkoso (Japan),海贼王 - 财宝争夺战 2
Front Mission (Japan),前线任务
Gansaku Shuu Watch (World) (Ja) (WonderWitch) (Unl),
Gekitou! Crash Gear Turbo - Gear Champion League (Japan),激斗！冲击 齿轮加强版 - 齿轮冠军联盟
Gensou Maden Saiyuuki Retribution - Hi no Ataru Basho de (Japan) (Rev 2),幻想魔传最遊记 - 阳炎之所
Golden Axe (Japan),战斧
GPS TOOL for WonderSwan (World) (Ja) (WonderWitch) (Unl),
Gransta Chronicle (Japan),格雷斯塔战记
Guilty Gear Petit (Japan),圣骑士之战
Guilty Gear Petit 2 (Japan),圣骑士之战 2
GunPey EX (Japan),线条方块 EX
Guruguru Ringuru (World) (WonderWitch) (Unl),
Hanabi (World) (Proto) (WonderWitch) (Unl),
"Hanjuku Hero - Ah, Sekai yo Hanjuku Nare...!! (Japan) (Rev 1)",半熟英雄
Hashire! Taiboku! (World) (v0.5) (Proto) (WonderWitch) (Unl),
Hataraku Chocobo (Japan),路行鸟大冒险
Hebi (World) (Ja) (WonderWitch) (Unl),
HG-voice-player + Sound Sample (World) (WonderWitch) (Program) (Unl),
"Hirotte, Yokete!! (World) (WonderWitch) (Unl)",
Hoippuru for WonderSwan (World) (Ja) (v2.00) (WonderWitch) (Unl),
Hoippuru for WonderSwan (World) (Ja) (v1.00) (WonderWitch) (Unl),
House Keeper (World) (Ja) (WonderWitch) (Unl),
House Keeper - 1.5 Generation (World) (Ja) (Proto) (WonderWitch) (Unl),
Hunter X Hunter - Greed Island (Japan),全职猎人 - 贪婪岛
Hunter X Hunter - Greed Island (Japan) (Rev 1),全职猎人 - 贪婪岛
Hunter X Hunter - Michibikareshi Mono (Japan),全职猎人 - 引导者
Hunter X Hunter - Sorezore no Ketsui (Japan),全职猎人 - 抉择
Hurry Up! (World) (WonderWitch) (Unl),
Ice Cream Shop (World) (WonderWitch) (Unl),
Illusion Garden (World) (Ja) (WonderWitch) (Unl),
Inu Renda 2 (World) (Ja) (WonderWitch) (Unl),
Inuyasha - Fuuun Emaki (Japan),犬夜叉 - 风云绘卷
Inuyasha - Kagome no Sengoku Nikki (Japan),犬夜叉 - 战国日记
Inuyasha - Kagome no Yume Nikki (Japan),犬夜叉 - 梦日记
Isigarki (World) (WonderWitch) (Program) (Unl),
Isomon - Get Oh No!! (World) (Ja) (WonderWitch) (Unl),
Judgement Silversword (World) (Ja) (WonderWitch) (Unl),
Judgement Silversword - Rebirth Edition (Japan) (Rev 4321),审判银剑 重生版
Judgement Silversword - Rebirth Edition (Japan) (Rev 5C21),审判银剑 重生版
Juicy Crew (World) (WonderWitch) (Unl),
Kaikon (World) (Ja) (WonderWitch) (Unl),
Kanain (World) (Ja) (WonderWitch) (Unl),
Kasanegasane (World) (Ja) (WonderWitch) (Unl),
Kidou Senshi Gundam - Giren no Yabou - Tokubetsu Hen - Aoki Hoshi no Hasha (Japan),机动战士高达
Kidou Senshi Gundam Seed (Japan),机动战士高达 SEED
Kidou Senshi Gundam Vol. 1 - Side 7 (Japan),机动战士高达 卷1 - Side7
Kidou Senshi Gundam Vol. 2 - Jaburo (Japan),机动战士高达 卷2 - 贾布罗
Kidou Senshi Gundam Vol. 3 - A Baoa Qu (Japan),机动战士高达 卷3 - 阿巴瓦空
Kinnikuman II-Sei - Choujin Seisenshi (Japan),筋肉人二世 - 超人圣战史
Kinnikuman II-Sei - Dream Tag Match (Japan),筋肉人二世
Kurupara! (Japan) (Rev 1),连锁翻翻乐
Kuttsuke Su (World) (Ja) (WonderWitch) (Unl),
Last Alive (Japan),最后的生存者
Lolita Queen (World) (WonderWitch) (Unl),
Magical Harvest (World) (v1.00) (WonderWitch) (WWGP2001) (Unl),
Magical Harvest (World) (v0.99) (WonderWitch) (Unl),
Mahha de Tsuugaku!! (World) (WonderWitch) (Unl),
Makai Toushi Sa-Ga (Japan),魔界塔士
mama Mitte (Japan) (Program),孕妇健康软件
mama Mitte (Japan) (Rev D) (Program),孕妇健康软件
Mawase Mawase WonderSwan Mawase (World) (WonderWitch) (Unl),
Maze Maze (World) (WonderWitch) (Unl),
Meitantei Conan - Yuugure no Oujo (Japan),名侦探柯南 - 黃昏时的皇女
Melodion (World) (WonderWitch) (Program) (Unl),
Memories Off - Festa (Japan),回忆之恋
Mikeneko Holmes - Ghost Panic (Japan),三毛猫探案 - 幽灵恐慌游
Mini Tennis (World) (WonderWitch) (Unl),迷你网球
Monmon Gunner (World) (Ja) (WonderWitch) (Unl),
Moverang (World) (WonderWitch) (Unl),
Mr. Driller (Japan),钻地小子 2
Multi-BoaRD (World) (WonderWitch) (Unl),
Namco Super Wars (Japan),NAMCO超级大战
Nametry (World) (v1.00) (WonderWitch) (WWGP2001) (Unl),
Nametry (World) (v1.01) (WonderWitch) (Unl),
Naruto - Konoha Ninpouchou (Japan),火影忍者 - 木叶忍法贴
NAVI GET 400 Million (Japan) (Version 1.0) (Program),
NAVI GET 400 Million (Japan) (Version 3.0) (Program),
NAVI GET 400 Million (Japan) (Version 2.1) (Program),
NAVI GET 400 Million (Japan) (Version 9) (Program),
Neko no Kurubushi (World) (WonderWitch) (Unl),
Neojan (World) (WonderWitch) (Unl),
Nijiiro Dandodan (World) (Ja) (WonderWitch) (Unl),
Not Found (World) (WonderWitch) (Unl),
"Octopus Mahjong, The (World) (Ja) (v0.92) (WonderWitch) (Unl)",
One Dazen Won! (World) (v0.02) (Proto) (WonderWitch) (Unl),
Ougon (World) (WonderWitch) (Unl),
Panic Wonder (World) (WonderWitch) (Unl),
Pastel Fantasy Deluxe (World) (WonderWitch) (Unl),
Patto Golf (World) (WonderWitch) (Unl),
Pepperas! (World) (v0.40) (Proto) (WonderWitch) (Unl),
Petit Balls (World) (WonderWitch) (Unl),
Petit PazzLe (World) (Ja) (WonderWitch) (Unl),
Petit Shooo (World) (WonderWitch) (Unl),
Petit SounD (World) (Ja) (WonderWitch) (Program),
Pianica (World) (WonderWitch) (Program) (Unl),
Pink Passer (World) (Ja) (v0.01) (Proto) (WonderWitch) (Unl),
Pittari! (World) (Ja) (WonderWitch) (Unl),
Pladel 2 (World) (WonderWitch) (Unl),
Pocket no Naka no Doraemon (Japan),口袋小叮当
Poker (World) (Ja) (WonderWitch) (Unl),
Project E-Force (World) (2002-05-29) (Proto) (WonderWitch) (Unl),
Project E-Force (World) (2001-11-10) (Proto) (WonderWitch) (Unl),
Putipati (World) (v1.12) (WonderWitch) (Unl),
Putipati (World) (v1.11) (WonderWitch) (WWGP2002) (Unl),
Raku Jongg (Japan),落雀
Rave Hunter (World) (WonderWitch) (Unl),
Real Cheese (World) (Ja) (WonderWitch) (Unl),
Rect for WonderSwan (World) (WonderWitch) (Unl),
Reversi (World) (Ja) (WonderWitch) (Unl),
Rhyme Rider Kerorican (Japan),动感娃娃
Rhythmin (World) (Ja) (WonderWitch) (Unl),
Riviera - Yakusoku no Chi Riviera (Japan),约束之地
Riviera - Yakusoku no Chi Riviera (Japan) (Rev 1),约束之地
Rockman EXE - N1 Battle (Japan) (Rev 1),洛克人 - N1激斗篇
Rockman EXE WS (Japan),洛克人 EXE
Romancing Sa-Ga (Japan),浪漫沙加
RUN=DIM - Return to Earth (Japan),丸町战神 - 回归地球
Saint Seiya - Ougon Densetsu Hen - Perfect Edition (Japan),圣斗士星矢 - 黄金传说篇
Samegame for WSC (World) (WonderWitch) (Unl),
Samoner (World) (Ja) (WonderWitch) (Unl),
Saorin Puzzle (World) (Demo) (WonderWitch) (Unl),
Satori - WonderSwan Remix (World) (WonderWitch) (Unl),
SD Gundam - Operation U.C. (Japan),SD高达 - 年代战记 U.C.
SD Gundam Eiyuu Den - Kishi Densetsu (Japan),SD高达 英雄传 - 骑士传说
SD Gundam Eiyuu Den - Musha Densetsu (Japan),SD高达 英雄传 - 武者传说
SD Gundam G Generation - Gather Beat 2 (Japan),SD高达G世代 - 集中打击 2
SD Gundam G Generation - Mono-Eye Gundams (Japan),SD高达 G世代 - 独眼高达
SD Gundam G Generation - Mono-Eye Gundams (Japan) (Rev 2),SD高达 G世代 - 独眼高达
Self Produce (World) (Proto) (WonderWitch) (Unl),
Senkaiden Ni - TV Animation Senkaiden Houshin Engi Yori (Japan),仙界传 2
Shaman King - Asu e no Ishi (Japan),通灵王子 - 未来的意志
Shaman King - Asu e no Ishi (Japan) (Rev 1),通灵王子 - 未来的意志
Shokaku 80186 (World) (WonderWitch) (Unl),
SLG Kyara Idou Sanpuru (World) (Demo) (WonderWitch) (Unl),
Solfege (World) (WonderWitch) (Unl),
Sorobang (Japan) (Rev 1),魔术算盘
Star Hearts - Hoshi to Daichi no Shisha (Japan),星辰战士
Star Hearts - Hoshi to Daichi no Shisha - Taikenban (Japan) (Not For Sale),星辰战士 体验版
Star Ochi (World) (WonderWitch) (Unl),
Starlight Waltz (World) (Proto) (WonderWitch) (Unl),
Super Robot Taisen Compact 3 (Japan) (Rev 5),超级机器人大战 精华版 3
Super Robot Taisen Compact 3 (Japan) (Rev 6),超级机器人大战 精华版 3
Super Robot Taisen Compact for WonderSwan Color (Japan),超级机器人大战 精华版
Surround (World) (Proto) (WonderWitch) (Unl),
Tank Island (World) (WonderWitch) (Unl),
Tank Move Color (World) (WonderWitch) (Unl),
TankQ! (World) (Proto) (WonderWitch) (Unl),
Terrors 2 (Japan),恐怖传说 2
Tetris (Japan),俄罗斯方块
Tonde Stone (World) (WonderWitch) (Unl),
Tonpuusou (Japan),东风庄
Uchuu Senkan Yamato (Japan),宇宙战舰大和号
Ultraman - Hikari no Kuni no Shisha (Japan),奥特曼 - 光之国的使者
UnderBabel (Main Data) (World) (Ja) (WonderWitch) (Unl),
UnderBabel (Supporting Data) (World) (Ja) (WonderWitch) (Unl),
Visual Sequencer MUCOS (World) (Ja) (WonderWitch) (Program) (Unl),
War Cup (World) (Ja) (Proto) (WonderWitch) (Unl),
Well-being (World) (WonderWitch) (Unl),
Wild Card (Japan),狂野卡片
Witch Typing (World) (Ja) (WonderWitch) (Unl),
Witches! (World) (WonderWitch) (Unl),
With You - Mitsumete Itai (Japan),与你同在
Wizardry Scenario 1 - Proving Grounds of the Mad Overlord (Japan),辟邪除妖
Wonder Classic (Japan),经典高尔夫
Wonder Racer (World) (WonderWitch) (Unl),
WonderCommand (World) (WonderWitch) (Program),
X - Card of Fate (Japan),命运之X卡牌
XI Little (Japan),骰子方块
Yokeru Kamo (World) (v1.1) (WonderWitch) (Unl),
Yokeru Kamo (World) (v1.0) (WonderWitch) (WWGP2002),
Yuuki Paint (World) (v1.01) (WonderWitch) (WWGP2001) (Unl),
Yuuki Paint (World) (v1.20) (WonderWitch) (Unl),
