No-Intro Id,Name En,Name Cn
0001,'96 Zenkoku Koukou Soccer Senshuken (Japan),全国高中足球锦标赛'96
0002,2020 Super Baseball (Japan),超级棒球2020
0004,3 Ninjas Kick Back (USA),忍者好小子
0007,3-jigen Kakutou Ballz (Japan),3D格斗球
0008,3x3 Eyes - Juuma Houkan (Japan),3只眼-兽魔奉还
0009,3x3 Eyes - Seima Kourinden (Japan),3只眼-圣魔降临传
0010,4-nin Shougi (Japan),4人将棋
0011,46 Okunen Monogatari - Harukanaru Eden e (Japan),46亿年物语
0012,"7th Saga, The (USA)",时空引导者
0013,90 Minutes - European Prime Goal (Europe),90分钟欧洲足球
0015,A.S.P. - Air Strike Patrol (USA),空中打击巡逻队
0018,ABC Monday Night Football (Japan),ABC电视台周一足球
0019,ABC Monday Night Football (USA),ABC电视台周一足球
0022,ACME Animation Factory (Europe),ACME动画工厂
0023,ACME Animation Factory (USA),ACME动画工厂
0060,AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan),A列车3-超级版
0016,Aaahh!!! Real Monsters (Europe),怪物三人行
0017,Aaahh!!! Real Monsters (USA),怪物三人行
0020,Accele Brid (Japan),电脑战机
0021,Ace o Nerae! (Japan),山本玲美香网球
0024,Acrobat Mission (Japan) (En),特殊任务
0026,ActRaiser (Europe),雷莎出击
0027,ActRaiser (France),雷莎出击
0028,ActRaiser (Germany),雷莎出击
0030,ActRaiser (USA),雷莎出击
3521,ActRaiser (USA) (Arcade),雷莎出击
0032,ActRaiser 2 (USA),雷莎出击2
0033,ActRaiser 2 - Chinmoku e no Seisen (Japan),雷莎出击2
0025,Action Pachio (Japan),柏青哥君大进击
0029,Actraiser (Japan),雷莎出击
0031,"Actraiser 2 (Europe) (En,Fr,De)",雷莎出击2
0034,"Addams Family Values (Europe) (En,Fr,De)",阿达一族2
0035,"Addams Family Values (USA) (En,Fr,De)",阿达一族2
0036,"Addams Family, The (Europe) (En,Fr,De)",阿达一族
0037,"Addams Family, The (Japan)",阿达一族
0038,"Addams Family, The (USA)",阿达一族
3522,"Addams Family, The (USA) (Arcade)",阿达一族
0039,"Addams Family, The - Pugsley's Scavenger Hunt (Europe)",阿达一族3
0040,"Addams Family, The - Pugsley's Scavenger Hunt (USA)",阿达一族3
0741,Advanced Dungeons & Dragons - Eye of the Beholder (USA),龙与地下城-行者之眼
0042,"Adventures of Batman & Robin, The (Europe)",蝙蝠侠与罗宾大冒险
0043,"Adventures of Batman & Robin, The (USA)",蝙蝠侠与罗宾大冒险
0044,"Adventures of Dr. Franken, The (Europe) (En,Fr,De,Es,It,Nl,Sv)",科学怪人的冒险
0045,"Adventures of Dr. Franken, The (USA)",科学怪人的冒险
0046,"Adventures of Kid Kleets, The (USA) (En,Fr,Es)",足球小子的冒险
1649,"Adventures of Mighty Max, The (Europe)",超能麦克斯大冒险
0047,"Adventures of Rocky and Bullwinkle and Friends, The (USA)",松鼠与麋鹿
0050,Adventures of Yogi Bear (USA),瑜伽熊历险记
0048,"Adventures of the Rocketeer, The (Japan)",火箭人历险记
0051,Aero Fighters (USA),铁鹰战士
0052,Aero the Acro-Bat (Europe),飞天蝙蝠
0053,Aero the Acro-Bat (USA),飞天蝙蝠
0054,Aero the Acro-Bat 2 (Europe),飞天蝙蝠2
0055,Aero the Acro-Bat 2 (USA),飞天蝙蝠2
0056,Aerobiz (USA),航空产业
0057,Aerobiz Supersonic (USA),航空产业-超音速版
0059,Aguri Suzuki F-1 Super Driving (Europe),铃木亚久里F1超级赛车
0061,Air Cavalry (Europe),空中骑兵直昇机
0062,Air Cavalry (USA),空中骑兵直昇机
0063,Air Management - Oozora ni Kakeru (Japan),航空产业
0064,Air Management - Oozora ni Kakeru (Japan) (Rev 1),航空产业
0065,Air Management II - Koukuu Ou o Mezase (Japan),航空产业2
0066,Akagawa Jirou - Majotachi no Nemuri (Japan),赤川次郎-魔女之眠
3621,Akagawa Jirou - Majotachi no Nemuri (Japan) (Rev 1),赤川次郎-魔女之眠
0067,Akazukin Chacha (Japan),小红帽恰恰
0068,Akumajou Dracula (Japan),恶魔城
0069,Akumajou Dracula XX (Japan),恶魔城XX
0070,Al Unser Jr.'s Road to the Top (Europe),飞驰至顶点
0071,Al Unser Jr.'s Road to the Top (USA),飞驰至顶点
0072,Aladdin (Europe),阿拉丁
0073,Aladdin (France),阿拉丁
0074,Aladdin (Germany),阿拉丁
0075,Aladdin (Japan),阿拉丁
0076,Aladdin (Spain),阿拉丁
0077,Aladdin (USA),阿拉丁
4086,Aladdin (World) (Disney Classic Games),阿拉丁
0079,Albert Odyssey (Japan),英雄圣战
3690,Albert Odyssey (Japan) (Rev 1),英雄圣战
0081,Albert Odyssey 2 - Jashin no Taidou (Japan),英雄圣战2-邪神之胎动
0082,Alcahest (Japan),地底魔神
0083,Alfred Chicken (Europe),神鸡艾烈佛
0084,Alice no Paint Adventure (Japan),爱丽丝的绘画冒险
0085,Alien 3 (Europe),异形3
0086,Alien 3 (Japan),异形3
0087,Alien 3 (USA),异形3
3766,Alien 3 (USA) (Rev 1),异形3
0089,Alien vs Predator (Europe),异形对终极战士
0090,Alien vs Predator (USA),异形对终极战士
0091,Aliens vs. Predator (Japan),异形对终极战士
0092,All-American Championship Football (Europe),全美冠军足球赛
0093,"Amazing Spider-Man, The - Lethal Foes (Japan)",神奇蜘蛛侠-致命强敌
0094,America Oudan Ultra Quiz (Japan),美国横断
0095,American Battle Dome (Japan),对战弹珠台
0096,American Gladiators (USA),美国电视斗士
0097,"American Tail, An - Fievel Goes West (Europe)",美国鼠谭-西部枪鼠
0098,"American Tail, An - Fievel Goes West (USA)",美国鼠谭-西部枪鼠
0210,Ancient Magic - Bazoe! Mahou Sekai (Japan),魔法世界
0099,Andre Agassi Tennis (Japan) (En),阿格西网球
0100,Andre Agassi Tennis (USA),阿格西网球
0101,Angelique (Japan),女王学院
0102,Angelique (Japan) (Premium Box),女王学院
0103,Angelique - Voice Fantasy (Japan),安琪莉可-语音幻想
0104,Animal Buranden - Brutal (Japan),动物武斗传
0105,Animaniacs (Europe),卡通集锦
0106,Animaniacs (Japan),卡通集锦
0107,Animaniacs (USA),卡通集锦
0108,Another World (Europe),另一个世界
0109,Aoki Densetsu Shoot! (Japan),足球风云
0111,Appleseed - Prometheus no Shintaku (Japan),苹果核战
0112,Aqutallion (Japan),超时空战士
0113,Arabian Nights - Sabaku no Seirei Ou (Japan),阿拉伯奇遇
0114,Araiguma Rascal (Japan),浣熊方块
0117,Arcade's Greatest Hits - The Atari Collection 1 (Europe),街机经典合集-雅达利合集1
0118,Arcade's Greatest Hits - The Atari Collection 1 (USA),街机经典合集-雅达利合集1
0119,Arcana (USA),魔幻精灵卡
2641,Archer Maclean's Super Dropzone (Europe),宇宙太空人
0121,Arcus Spirits (Japan),亚克斯传说
0122,Ardy Lightfoot (Europe),光脚阿迪
0123,Ardy Lightfoot (Japan),光脚阿迪
0125,Ardy Lightfoot (USA),光脚阿迪
0126,Area 88 (Japan),战区88
0127,Aretha (Japan),阿蕾莎
3673,Aretha (Japan) (Rev 1) (NP),阿蕾莎
0128,Aretha II - Ariel no Fushigi na Tabi (Japan),阿蕾莎2
0131,Arkanoid (Europe),快打砖块
0132,Arkanoid - Doh It Again (Japan) (En),快打砖块-Doh再现
0134,Arkanoid - Doh It Again (USA),快打砖块-Doh再现
0135,Art of Fighting (Europe),龙虎之拳
0136,Art of Fighting (USA),龙虎之拳
0137,Aryol (Japan),动态拼图
0138,Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu (Japan),加藤123九段将棋
0139,Asameshimae Nyanko (Japan),小猫物语
0140,Ashita no Joe (Japan),小拳王
0142,"Asterix & Obelix (Europe) (En,Fr,De,Es)",美丽新世界2
0143,"Asterix (Europe) (En,Fr,De,Es)",美丽新世界
0144,"Atlas, The - Renaissance Voyager (Japan)",佛罗伦斯航海者
3669,"Atlas, The - Renaissance Voyager (Japan) (Rev 1) (NP)",佛罗伦斯航海者
0145,Axelay (Europe),银河风暴
0146,Axelay (Japan),银河风暴
0147,Axelay (USA),银河风暴
0150,B.O.B. (Europe),蚂蚁战士
0151,B.O.B. (USA),蚂蚁战士
0164,BASS Masters Classic (Japan),巴斯钓鱼大师教室
0165,BASS Masters Classic (USA),巴斯钓鱼大师教室
0166,BASS Masters Classic - Pro Edition (Europe),巴斯大师教室-专业
0167,BASS Masters Classic - Pro Edition (USA),巴斯大师教室-专业
0351,BS-X - Sore wa Namae o Nusumareta Machi no Monogatari (Japan) (Rev 1),BSX-遗忘之城
0152,Bahamut Lagoon (Japan),神龙骑兵
0153,Bakukyuu Renpatsu!! Super B-Daman (Japan),弹珠超人
0154,Bakumatsu Kourinden Oni (Japan),幕末降临传
0155,Bakutou Dochers - Bumps-jima wa Oosawagi (Japan),暴投-动物大混战
0156,Ball Bullet Gun (Japan),BB枪大作战
0157,Ballz 3D - Fighting at Its Ballziest (USA),3D球
0158,Barbarossa (Japan),巴巴罗萨
0159,Barbie Super Model (USA),芭比-超级模特儿
0162,Barkley Shut Up and Jam! (Europe),巴克利篮球
0163,Barkley Shut Up and Jam! (USA),巴克利篮球
0161,Barkley no Power Dunk (Japan) (En),巴克利强力灌篮
0168,Bassin's Black Bass (USA),猛钓黑巴斯
0169,Bastard!! - Ankoku no Hakaishin (Japan),暗黑的破坏神
0172,Batman Forever (Europe),永远的蝙蝠侠
0173,Batman Forever (Japan) (En),永远的蝙蝠侠
0174,Batman Forever (USA),永远的蝙蝠侠
3742,Batman Forever (USA) (Rev 1),永远的蝙蝠侠
0175,Batman Returns (Europe),蝙蝠侠重现江湖
0176,Batman Returns (Japan) (En),蝙蝠侠重现江湖
0178,Batman Returns (USA),蝙蝠侠重现江湖
0179,Battle Blaze (Japan) (En),究极战士
0180,Battle Blaze (USA),究极战士
0182,Battle Cars (USA),战斗赛车
0183,Battle Clash (Europe),战斗冲击
0184,Battle Clash (USA),战斗冲击
0185,"Battle Commander - Hachibushuu, Shura no Heihou (Japan)",SD指挥官
0186,Battle Cross (Japan),火柴摩托车赛
0187,Battle Dodge Ball (Japan),SD躲避球
0188,Battle Dodge Ball II (Japan),SD躲避球2
0189,Battle Grand Prix (Japan) (En),战斗GP赛车
0190,Battle Grand Prix (USA),战斗GP赛车
0191,Battle Jockey (Japan),战斗赛马
0192,Battle Master - Kyuukyoku no Senshi-tachi (Japan),格斗大师-究极之战士
0193,Battle Pinball (Japan),SD弹珠台
0194,Battle Racers (Japan),SD赛车
0195,Battle Robot Retsuden (Japan),战斗机器人
3785,Battle Robot Retsuden (Japan) (Rev 1),战斗机器人
0196,Battle Soccer - Field no Hasha (Japan),SD足球
0197,Battle Soccer 2 (Japan),SD足球2
0198,Battle Submarine (Japan),战斗潜水艇
0199,Battle Tycoon - Flash Hiders SFX (Japan),闪电斗士
0200,Battle Tycoon - Flash Hiders SFX (Japan) (Rev 1),闪电斗士
0201,Battle Zeque Den (Japan),斗姬传
0202,BattleTech (Japan),战斗机甲
0203,BattleTech 3050 (Japan),机甲争霸3050年
0206,Battletoads in Battlemaniacs (Europe),忍者蛙
0207,Battletoads in Battlemaniacs (Japan),忍者蛙
0208,Battletoads in Battlemaniacs (USA),忍者蛙
0204,Battletoads-Double Dragon (Europe),忍者蛙与双截龙
0205,Battletoads-Double Dragon (USA),忍者蛙与双截龙
0211,Bazooka Blitzkrieg (USA),激战火箭炮
0212,Beauty and the Beast (Europe),美女与野兽
0214,Beauty and the Beast (USA),美女与野兽
0215,Beavis and Butt-Head (Europe),MTV双傻
0216,Beavis and Butt-Head (USA),MTV双傻
0217,Bebe's Kids (USA),宝贝小孩
0218,Beethoven - The Ultimate Canine Caper! (Europe),我家也有贝多芬
0219,Beethoven - The Ultimate Canine Caper! (USA),我家也有贝多芬
0220,Benkei Gaiden - Suna no Shou (Japan),弁庆外传-沙之章
0224,Best Shot Pro Golf (Japan),专业一杆高尔夫球
0221,Best of the Best - Championship Karate (Europe),自由搏击
0223,Best of the Best - Championship Karate (USA),自由搏击
0225,Big Ichigeki! Pachi-Slot Daikouryaku (Japan),柏青哥嫂大攻略
0226,Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection (Japan),柏青哥嫂大攻略2
0227,Big Sky Trooper (Europe),天空骑兵
0228,Big Sky Trooper (USA),天空骑兵
0230,Bijo to Yajuu (Japan),美女与野兽
0231,Bike Daisuki! Hashiriya Tamashii (Japan),魂电单车
0232,Biker Mice from Mars (Europe),火星老鼠赛车
0233,Biker Mice from Mars (USA),火星老鼠赛车
0234,Bill Laimbeer's Combat Basketball (USA),战斗篮球
0235,Bill Walsh College Football (USA),比尔华续大学篮球
0236,Bing Bing! Bingo (Japan),乐趣宾果岛
0237,BioMetal (Europe),生化金属战机
0238,BioMetal (Japan) (En),生化金属战机
0239,BioMetal (USA),生化金属战机
0240,Bishin Densetsu Zoku (Japan),美神传说
0241,Bishoujo Janshi Suchie-Pai (Japan),美少女雀士
0242,Bishoujo Janshi Suchie-Pai (Japan) (Rev 1),美少女雀士
0243,Bishoujo Senshi Sailor Moon (Japan),美少女战士
0244,Bishoujo Senshi Sailor Moon - Another Story (Japan),美少女战士2
0245,Bishoujo Senshi Sailor Moon R (Japan),美少女战士R
0246,Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan),美少女战士S
0247,Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo! (Japan),美少女战士S-2
0248,Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan),美少女战士S-3
0250,Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan),美少女战士射波
0251,Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan),美少女战士超级S
0252,Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan),美少女摔角列传-暴雪Yuki参战
0257,BlaZeon (Japan) (En),究极合体战机
0258,BlaZeon - The Bio-Cyborg Challenge (USA),魂之光辉
0253,"Blackhawk (Europe) (En,Fr,De)",黑暗之鹰
0254,Blackthorne (USA),黑暗之鹰
0256,Blackthorne - Fukushuu no Kuroki Toge (Japan),黑暗之鹰-复仇黑刺
3314,Blanco World Class Rugby (France) (En),布兰科世界级橄榄球
0259,Blazing Skies (Europe),飞行密令
0260,Block Kuzushi (Japan),究极打砖块
0261,"Blue Crystalrod, The (Japan)",蓝色水晶杖
0262,"Blues Brothers, The (Europe)",布鲁斯兄弟
0264,"Blues Brothers, The (Japan)",布鲁斯兄弟
0265,"Blues Brothers, The (USA)",布鲁斯兄弟
0267,Bokujou Monogatari (Japan),牧场物语
0268,Bokujou Monogatari (Japan) (Rev 1),牧场物语
0269,Bomberman B-Daman (Japan),超级炸弹人益智篇
0270,Bombuzal (Japan),爆破精灵
0271,Bonkers (USA),邦克大进击
0272,Bonkers - Hollywood Daisakusen! (Japan),邦克斯-好莱坞大作战
0273,Boogerman - A Pick and Flick Adventure (Europe),伯格人
0274,Boogerman - A Pick and Flick Adventure (USA),伯格人
0275,Bounty Sword (Japan),赏金剑客
0276,Boxing Legends of the Ring (Europe),拳击-铃声传说
0277,Boxing Legends of the Ring (USA),拳击-铃声传说
0278,Brain Lord (Japan),智慧王者
0279,Brain Lord (USA),智慧王者
0280,"Brainies, The (Europe)",动动脑
0281,"Brainies, The (USA)",动动脑
0282,Bram Stoker's Dracula (Europe),吸血鬼德古拉
0283,Bram Stoker's Dracula (USA),吸血鬼德古拉
0285,Brandish (Japan),星间游侠
0286,Brandish (USA),星间游侠
0287,Brandish 2 - Expert (Japan),撼天神塔2-专家
0288,Brandish 2 - The Planet Buster (Japan),撼天神塔2-行星破坏者
0289,Brawl Brothers (USA),快打刑事-格斗兄弟
0290,Brawl Brothers - Rival Turf! 2 (Europe),格斗兄弟-敌对领地2
0291,BreakThru! (USA),点点方块
0292,Breath of Fire (USA),龙战士
0293,Breath of Fire - Ryuu no Senshi (Japan),龙战士
3440,Breath of Fire - Ryuu no Senshi (Japan) (Rev 1),龙战士
0294,Breath of Fire II (Europe),龙战士2
