Name EN,Name CN
[BIOS] Kanji Rom - JIS 1st Class (Japan),[BIOS] Kanji Rom - JIS 1st Class
10-Yard Fight (Japan),10垒橄榄球
10-Yard Fight (Japan) (Alt),10垒橄榄球
1942 (Japan),1942
1942 (Japan) (Alt),1942
3-D Golf Simulation (Japan),3D虚拟高尔夫
3-D Golf Simulation (Japan) (Alt),3D虚拟高尔夫
3-D Golf Simulation (Japan) (High Speed),3D虚拟高尔夫
3D Tennis (Japan),3D网球
A.E. (Japan),AE
A1 Spirit - The Way to Formula-1 (Japan),A1精神
Actman (Japan),动作人
Actman (Japan) (Alt),动作人
Adven' Chuta! (Japan),楚塔冒险
Albatros (Japan),阿鲁巴特罗斯高尔夫
Albatros (Japan) (Alt),阿鲁巴特罗斯高尔夫
Alcazar - The Forgotten Fortress (Japan),阿尔卡扎
Alcazar - The Forgotten Fortress (Japan) (Alt),阿尔卡扎
Alibaba and 40 Thieves (Japan) (Alt),阿里巴巴
Alibaba and 40 Thieves (Japan) (Alt 2),阿里巴巴
Alibaba and 40 Thieves (Japan),阿里巴巴
Alien 8 (Japan),异型 8
Alien 8 (Japan) (Alt),异型 8
Aliens - Alien 2 (Japan),异型 2
Aliens - Alien 2 (Japan) (Alt),异型 2
Aliens - Alien 2 (Japan) (Alt 2),异型 2
Alpha Roid (Japan),阿尔法洛依德
Alpha Roid (Japan) (Alt),阿尔法洛依德
Alpha Squadron (Japan),阿尔法中队
American Truck (Japan) (Alt),美式卡车
American Truck (Japan) (Alt 2),美式卡车
American Truck (Japan),美式卡车
Anaza - Kaleidoscope Special (Japan),阿那扎战机
Angelo (Japan),天使安杰罗
Angelo (Japan) (Alt),天使安杰罗
Animal Land (Japan),动物大陆杀人事件
Antarctic Adventure (Europe),南极大冒险
Antarctic Adventure (Europe) (Alt),南极大冒险
Anty (Japan) (Alt),安提
Anty (Japan),安提
Aqua Polis SOS (Japan),水池救援行动
Aquattack (Japan),水面袭击
Aramo (Japan),阿拉摩
Arkanoid (Japan) (Alt),打砖块
Arkanoid (Japan) (Alt 2),打砖块
