EN Name,CN Name
A Ressha de Ikou MSX (Japan),A列车 (日版)
1942 (Japan),1942 (日版)
AcroJet (Japan),特技飞行 (日版)
Aleste (Japan),银河号 (日版)
Alges no Yoku (Japan),阿鲁吉苏之翼 (日版)
American Soccer (Japan),美国足球 (日版)
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),苍狼与白鹿-元朝秘史 (日版)
Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan),苍狼与白鹿-成吉思汗 (日版)
Arctic - Active Rail Playing (Japan),北极圈 (日版)
Arctic - Active Rail Playing (Japan) (Alt 1),北极圈 (日版) (Alt 1)
Arkanoid II - Revenge of Doh (Japan),打砖块2 (日版)
AshGuine - Densetsu no Seisenshi (Japan),灰色几内亚 (日版)
AshGuine Story II - Kokuu no Gajou (Japan),灰色几内亚2-虚空之牙城 (日版)
AshGuine Story III - Fukushuu no Honoo (Japan),灰色几内亚3-复仇之炎 (日版)
Bubble Bobble (Japan),泡泡龙 (日版)
Bubble Bobble (Japan) (Alt 1),泡泡龙 (日版) (Alt 1)
Cheese 2 (Japan) (Program),起司画板2 (日版) (Program)
"Cockpit, The (Japan)",驾驶舱 (日版)
Contra (Japan),魂斗罗 (日版)
Crimson (Japan),克里缪中 (日版)
Daikoukai Jidai (Japan),大航海时代 (日版)
Daisenryaku MSX2 (Japan),大战略 (日版)
Darwin 4078 (Japan),达尔文4078 (日版)
Darwin 4078 (Japan) (Alt 1),达尔文4078 (日版) (Alt 1)
Darwin 4078 (Japan) (Alt 2),达尔文4078 (日版) (Alt 2)
Deep Forest (Japan),森林物语 (日版)
Deep Forest (Japan) (Alt 1),森林物语 (日版) (Alt 1)
Dires - Giger Loop (Japan),迪勒斯 (日版)
Double Vision (Japan),美少女写真馆2合1 (日版)
Dragon Buster (Japan),屠龙战记 (日版)
Dragon Quest (Japan),勇者斗恶龙1 (日版)
Dragon Quest II (Japan),勇者斗恶龙2 (日版)
Dragon Quest II (Japan) (Alt 1),勇者斗恶龙2 (日版) (Alt 1)
Dragon Slayer IV - Drasle Family (Japan),屠龙者4 (日版)
Dragon Slayer IV - Drasle Family (Japan) (Alt 1),屠龙者4 (日版) (Alt 1)
Dragon Slayer Jr. - Romancia (Japan),爱的罗曼史 (日版)
Druid (Japan),德鲁伊 (日版)
Druid (Japan) (Alt 1),德鲁伊 (日版) (Alt 1)
Dynamite Bowl (Japan),爆烈保龄球 (日版)
Dynamite Bowl (Japan) (Alt 1),爆烈保龄球 (日版) (Alt 1)
"Eidolon, The (Europe)",精灵 (欧版)
Elthlead (Japan),艾尔斯里德 (日版)
"Empereur, L' (Japan)",皇帝 (日版)
Europe Sensen (Japan),欧陆战线 (日版)
F-15 Strike Eagle (Japan),F15打击之鹰 (日版)
Famicle Parodic (Japan),家庭战机 (日版)
Family Billiards (Japan),家庭桌球 (日版)
Family Boxing - MSX Title Match (Japan),家庭拳击 (日版)
Fantasy Zone II - The Tears of Opa-Opa (Japan),幻想地带2 (日版)
Fantasy Zone II - The Tears of Opa-Opa (Japan) (Alt 1),幻想地带2 (日版) (Alt 1)
Final Mystery Murder Club - Satsujin Club (Japan),杀人俱乐部 (日版)
Fire Ball (Japan),火球 (日版)
Fleet Commander II - Koukon no Kaiiki (Japan),舰队指挥官2-黄昏之海域 (日版)
Gakuen Monogatari - High School Story (Japan),高校物语 (日版)
Gambler Jiko Chuushinha 2 - Jishou! Kyougou Janshi Hen (Japan),自己中心派2-自称!强豪雀士篇 (日版)
Ganbare Goemon! - Karakuri Douchuu (Japan),大盗伍佑卫门 (日版)
Garakuta (Japan),画乐多 (日版)
Garyuu Ou (Japan),牙龙王 (日版)
Garyuu Ou (Japan) (Alt 1),牙龙王 (日版) (Alt 1)
"Gekitotsu Pennant Race - Pro Yakyuu, The (Japan)",激突棒球 (日版)
"Gekitotsu Pennant Race - Pro Yakyuu, The (Japan) (Alt 1)",激突棒球 (日版) (Alt 1)
"Gekitotsu Pennant Race - Pro Yakyuu, The (Japan) (Alt 2)",激突棒球 (日版) (Alt 2)
"Gekitotsu Pennant Race - Pro Yakyuu, The (Japan) (Alt 3)",激突棒球 (日版) (Alt 3)
Gekitotsu Pennant Race 2 (Japan),激突棒球2 (日版)
Gekitotsu Pennant Race 2 (Japan) (English Menu),激突棒球2 (日版) (English Menu)
Girly Block (Japan),格里战士 (日版)
Hacker (Japan),黑客 (日版)
Hai no Majutsushi (Japan),牌之魔术师 (日版)
Hal Note (Japan) (Program),海尔日记本 (日版) (Program)
Han Seimei Senki Andorogynus (Japan),反生命战机 (日版)
Han Seimei Senki Andorogynus (Japan) (Alt 1),反生命战机 (日版) (Alt 1)
Hard Ball (Japan),硬式棒球 (日版)
Heroes of the Lance (Japan),长枪英雄 (日版)
Higemaru Makai Shima - Nanatsu no Shima Daibouken (Japan),魔界岛-七岛大冒险 (日版)
High School! Kimengumi (Japan),高校奇面组 (日版)
