Name EN,Name CN
Hatsukoi Monogatari (Japan) (Rev 1),初恋物语
Death Bringer - The Knight of Darkness (Japan),死亡使者 - 黑暗骑士
Cosmic Fantasy 2 - Bouken Shounen Ban (Japan),宇宙幻想 3 - 冒险少年斑
Lady Phantom (Japan) (FABT),幻影女郎
Babel (Japan),通天塔
Cosmic Fantasy 3 - Bouken Shounen Rei (Japan),宇宙幻想 3 - 冒险少年雷
Xak (Japan),XAK
Cosmic Fantasy - Bouken Shounen Yuu (Japan) (Alt 2),宇宙幻想 - 冒险少年尤
Gyuwambler Jiko Chuushinha - Mahjong Puzzle Collection (Japan),自我中心派麻将 - 麻将谜题合集
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT),阿尔拉姆的獠牙 - 獣族十二神徒伝说
Princess Minerva (Japan),智王传说
Sotsugyou II - Neo Generation (Japan),卒业 2
"Where in the World Is Carmen Sandiego (Japan) (En,Ja)",卡门圣地亚哥 世界篇
Cyber City Oedo 808 - Kemono no Alignment (Japan),机动刑事 808 - 兽的属性
ROM ROM Stadium (Japan),棒球体育场
Nishimura Kyoutarou Mystery - Hokutosei no Onna (Japan),西村京太郎杀人事件 - 北斗星之女
"F1 Circus Special - Pole to Win (Japan) (FAAT, FACT)",F1竞技场 特别版
Sexy Idol Mahjong (Japan),性感偶像麻将
Langrisser - Hikari no Matsuei (Japan),梦幻模拟战 - 光辉的末裔
Nekketsu Koukou Dodgeball-bu CD - Soccer-hen (Japan),热血高校 - 足球篇
Quiz Avenue II (Japan),智力竞赛大道 2
Quiz Avenue (Japan),智力竞赛大道
Might and Magic (Japan),魔法门
Doukyuusei (Japan) (Rev 3) (Alt 1),同级生
Tanjou - Debut (Japan),诞生 - Debut
CAL III - Kanketsu-hen (Japan),CAL 3 完结篇
Sotsugyou - Graduation (Japan),卒业
Dragon Knight III (Japan),龙骑士 3
CAL II (Japan),CAL 2
Dragon Knight II (Japan),龙骑士 2
Monster Maker - Yami no Ryuukishi (Japan) (Alt),怪兽制造厂 - 闇之龙骑士
Top o Nerae! GunBuster Vol. 2 (Japan),飞跃巅峰！ GunBuster 2
Exile II - Janen no Jishou (Japan),流放 2 - 邪念的事象
Master of Monsters (Japan),万兽之王
Wizardry V - Heart of the Maelstrom (Japan),巫术 5 - 漩涡之心
Super Schwarzschild (Japan),超级银河战国列传
Super Schwarzschild 2 (Japan),超级银河战国列传 2
BuilderLand - The Story of Melba (Japan),建造者之地 - 梅尔巴的故事
Valis IV (Japan),梦幻战士 4
Sherlock Holmes - Consulting Detective (Japan),夏洛克福尔摩斯 - 侦探课程
Sherlock Holmes - Consulting Detective - Vol. II (Japan),夏洛克福尔摩斯 - 侦探课程 2
"Pro Yakyuu, The (Japan)",职业棒球
Sengoku Kantou Sangokushi (Japan),战国关东三国志
Princess Maker 2 (Japan),美少女梦工厂 2
Princess Maker 1 (Japan),美少女梦工厂 1
Hu PGA Tour - PowerGolf 2 - Golfer (Japan),胡PGA巡回赛 - 强力高尔夫 2
Bakushou Yoshimoto Shinkigeki (Japan) (FABT),爆笑吉本新喜剧
SimEarth - The Living Planet (Japan),模拟地球
Dragon Slayer - The Legend of Heroes II (Japan),英雄传说 2
Dragon Slayer - The Legend of Heroes (Japan),英雄传说
"Atlas, The - Renaissance Voyager (Japan)",佛罗伦斯航海者
Bishoujo Senshi Sailor Moon Collection (Japan),美少女战士合集
Mateki Densetsu Astralius (Japan),魔笛伝说
No-Ri-Ko (Japan),小川范子
Quiz Marugoto the World 2 - Time Machine ni Onegai! (Japan),Marugoto世界问答 2
