EN Name,CN Name
19 - Neunzehn (Japan) [b],19 (日版) [b]
Adian no Tsue (Japan),亚迪安之杖 (日版)
Adian no Tsue (Japan) (Beta),亚迪安之杖 (日版) (Beta)
Ai Senshi Nicol (Japan),爱战士尼科鲁 (日版)
Air Fortress (Japan) (Proto),空中大作战/空中要塞 (日版) (Proto)
Aki to Tsukasa no Fushigi no Kabe (Japan) (Unl),不可思议之壁 (日版) (Unl)
Akumajou Dracula (Japan) [b],恶魔城 (日版) [b]
Akumajou Dracula (Japan) (Rev 2) (Disk Writer),恶魔城 (日版) (Rev 2) (Disk Writer)
Akumajou Dracula (Japan) (Rev 1) [b],恶魔城 (日版) (Rev 1) [b]
Akuu Senki Raijin (Japan) (Disk Writer),亚空战记 (日版) (Disk Writer)
Akuu Senki Raijin (Japan) (Beta) (1987-10-14),亚空战记 (日版) (Beta) (1987-10-14)
Aliens - Alien 2 (Japan) (Proto) [b],异形2 (日版) (Proto) [b]
All Night Nippon Super Mario Brothers (Japan) (Promotion Card),超级马里奥黑夜版 (日版) (Promotion Card)
Apple Town Monogatari - Little Computer People (Japan),苹果镇故事 (日版)
Armana no Kiseki (Japan),奇迹之石 (日版)
Aspic - Majaou no Noroi (Japan),魔蛇王之咒 (日版)
Backgammon (Japan),西洋双陆棋 (日版)
Bakutoushi Patton-kun (Japan),爆斗士巴顿君 (日版)
Baseball (Japan),棒球 (日版)
Big Challenge! Dogfight Spirit (Japan),大挑战!空中斗士 (日版)
Big Challenge! Go! Go! Bowling (Japan) [b],保龄球大挑战 (日版) [b]
Big Challenge! Gun Fighter (Japan),大挑战!神枪手 (日版)
Big Challenge! Juudou Senshuken (Japan) [b],柔道选手权大挑战 (日版) [b]
Bio Miracle Bokutte Upa (Japan),超级宝宝 (日版)
Bishoujo Alien Battle (Japan) (Unl),美少女SF选择扑克 (日版) (Unl)
Bishoujo Alien Battle (Japan) (Alt 1) (Unl),美少女SF选择扑克 (日版) (Alt 1) (Unl)
Bishoujo Control (Japan) (Unl),美少女射击 (日版) (Unl)
Bishoujo Hanafuda Club Vol.1 - Oichokabu Hen (Japan) (Unl),美少女花札俱乐部1 (日版) (Unl)
