EN Name,CN Name
Armor Battle (Mattel Electronics),坦克战
"Banana (VTech, Time & Fun)",香蕉
"Baseball (VTech, Explorer Time & Fun)",
"Bomb Fight (VTech, Mini Time & Fun)",
"Caccia al Ladro (VTech, Mini Time & Fun)",
"Cessate il Fuoco (VTech, Mini Time & Fun)",
"Chicky Woggy (VTech, Arcade Time & Fun)",
"Chicky Woggy (VTech, Electronic Tini-Arcade)",
"Condor (VTech, Time & Fun)",
"Crazy Chewy (VTech, Electronic Tini-Arcade)",
"Defendo (VTech, Explorer Time & Fun)",
"Donkey Angler (Gakken, LCD Card Game)",
Donkey Kong (Coleco),大金刚
"Donkey Kong (Nintendo, Multi Screen)",大金刚
"Donkey Kong Circus (Nintendo, Panorama Screen)",大金刚
"Donkey Kong II (Nintendo, Multi Screen)",大金刚2
Donkey Kong Jr. (Coleco),大金刚Jr.
"Donkey Kong Jr. (Nintendo, Panorama Screen)",大金刚Jr.
"Donkey Kong Jr. (Nintendo, Table Top)",大金刚Jr.
"Dungeons & Dragons Computer Fantasy Game (Mattel Electronics, Arcade Action Series)",
"Egg (Nintendo, Wide Screen)",
"Engine Room (VTech, Explorer Time & Fun)",
"Escape (VTech, Time & Fun)",
Explorers of Space (Elektronika),太空探索者
Fowling (Elektronika),
Frog Boaster (Elektronika),
Galaxy II (Epoch),
"Grab Man (unknown manufacturer, Game & Time)",
"Hippo Teeth (VTech, Mini Time & Fun)",
"Hippo Teeth (VTech, Sporty Time & Fun)",
"Hot Line (VTech, Mini Time & Fun)",
"Hot Line (VTech, Sporty Time & Fun)",
"Las Vegas (Bandai, LCD Game Digital)",拉斯维加斯
"Lifeboat (Nintendo, Multi Screen)",救生艇
"Mario Bros. (Nintendo, Multi Screen)",马里奥兄弟
"Mario's Bombs Away (Nintendo, Panorama Screen)",
"Mickey Mouse (Nintendo, Panorama Screen)",米老鼠
"Mickey Mouse (Nintendo, Wide Screen)",米老鼠
"Monkey (VTech, Time & Fun)",
"Monkey Jump (VTech, Arcade Time & Fun)",
Motor Cross (Queentex),
Pac Man (Tomytronic),吃豆人
"Pancake (VTech, Time & Fun)",
"Parachute (Nintendo, Wide Screen)",
"Penguin Land (Bandai, LSI Game Double Play)",
"Pirate (VTech, Time & Fun)",
"Roller Coaster (VTech, Explorer Time & Fun)",过山车
"Safari (VTech, Time & Fun)",
"Sleep Walker (VTech, Time & Fun)",梦游
"Snoopy (Nintendo, Panorama Screen)",史努比
"Snoopy (Nintendo, Table Top)",史努比
"Snoopy Tennis (Nintendo, Wide Screen)",史努比网球
Sub Chase (Mattel Electronics),
"Tennis Menace (VTech, Sporty Time & Fun)",
"Tom & Jerry Popper (Gakken, LCD Card Game)",
"Towering Rescue (Gakken, LCD Card Game)",
Tron (Tomytronic),
"Turtle Bridge (Nintendo, Wide Screen)",
"Wild Man Jump (VTech, Electronic Tini-Arcade)",
