No.,EN Name,CN Name
0001,F-Zero for Game Boy Advance (Japan),最高时速赛车 (日版)
0002,Super Mario Advance - Super Mario USA + Mario Brothers (Japan),超级马里奥A (日版)
0003,Battle Network Rockman EXE (Japan),洛克人-网络战斗EXE1 (日版)
0004,Kurukuru Kururin (Japan),滚滚棒 (日版)
0005,Mr. Driller 2 (Japan),钻地先生2 (日版)
0006,"ChuChu Rocket! (Japan) (En,Ja,Fr,De,Es)","咕噜咕噜火箭! (日版) (En,Ja,Fr,De,Es)"
0007,Akumajou Dracula - Circle of the Moon (Japan),恶魔城-月之轮回 (日版)
0008,Advance GTA (Japan) (En),GTA职业概念赛车1 (日版) (En)
0009,Konami Wai Wai Racing Advance (Japan),科纳米哇哇赛车 (日版)
0010,Bakunetsu Dodge Ball Fighters (Japan),超级躲避球A (日版)
0011,Pinobee no Daibouken (Japan),匹诺比之大冒险 (日版)
0012,Power Pro Kun Pocket 3 (Japan),实况Q版口袋棒球3 (日版)
0013,Napoleon (Japan),拿破仑 (日版)
0014,Zen-Nihon GT Senshuken (Japan),全日本顶级GT锦标赛车 (日版)
0015,Fire Pro Wrestling A (Japan),火炎职业摔跤A (日版)
0016,Tweety no Hearty Party (Japan),托蒂的欢乐派对之不可思议的宝石 (日版)
0017,JGTO Kounin Golf Master - Japan Golf Tour Game (Japan),高尔夫大师 (日版)
0018,Winning Post for Game Boy Advance (Japan),冠军赛马 (日版)
0019,Play Novel - Silent Hill (Japan),寂静岭 (日版)
0020,Yu-Gi-Oh! - Dungeon Dice Monsters (Japan),游戏王-地牢方块妖怪 (日版)
0021,Boku wa Koukuu Kanseikan (Japan) (Rev 1),我是航空管制官 (日版) (Rev 1)
0022,J.League Pocket (Japan),J联盟足球口袋版 (日版)
0023,Momotarou Matsuri (Japan) (Rev 1),桃太郎祭典 (日版) (Rev 1)
0024,Monster Guardians (Japan),妖怪守护者 (日版)
0025,Final Fight One (Japan),快打旋风ONE (日版)
0026,Bomber Man Story (Japan),炸弹人传说 (日版)
0027,"Iridion 3D (USA, Europe)","伊登战机 (美版, 欧版)"
0028,"Pinobee - Wings of Adventure (USA, Europe)","匹诺比的冒险徽章 (美版, 欧版)"
0029,Ready 2 Rumble Boxing - Round 2 (USA),暴力拳击2 (美版)
0030,Konami Krazy Racers (USA),科纳米疯狂赛车手 (美版)
0031,Castlevania (Europe),恶魔城-月之轮回 (欧版)
0032,"Tony Hawk's Pro Skater 2 (USA, Europe)","托尼·霍克职业滑板2 (美版, 欧版)"
0033,"GT Advance - Championship Racing (USA, Europe)","GT职业概念锦标赛车 (美版, 欧版)"
0034,Namco Museum (USA),南梦宫的博物馆 (美版)
0035,"ChuChu Rocket! (USA) (En,Ja,Fr,De,Es)","咕噜咕噜火箭 (美版) (En,Ja,Fr,De,Es)"
0036,"Earthworm Jim (USA, Europe)","蚯蚓吉姆 (美版, 欧版)"
0037,"Pitfall - The Mayan Adventure (USA, Europe)","玛亚历险 (美版, 欧版)"
0038,"Army Men Advance (USA, Europe) (En,Fr,De,Es,It)","玩具军人 (美版, 欧版) (En,Fr,De,Es,It)"
0039,Super Dodge Ball Advance (USA),超级躲避球A (美版)
0040,"F-Zero - Maximum Velocity (USA, Europe)","最高时速赛车 (美版, 欧版)"
0041,"Fire Pro Wrestling (USA, Europe)","火炎职业摔跤 (美版, 欧版)"
0042,Konami Krazy Racers (Europe),科拿米疯狂赛车手 (欧版)
0043,"Ready 2 Rumble Boxing - Round 2 (Europe) (En,Fr,De)","暴力拳击2 (欧版) (En,Fr,De)"
0044,Castlevania - Circle of the Moon (USA),恶魔城-月之轮回 (美版)
0045,"Rayman Advance (USA) (En,Fr,De,Es,It)","雷曼A (美版) (En,Fr,De,Es,It)"
0046,Tactics Ogre Gaiden - The Knight of Lodis (Japan),皇家骑士团外传 (日版)
0047,Kurukuru Kururin (Europe),滚滚棒 (欧版)
0048,Top Gear GT Championship (Europe),全日本顶级GT锦标赛车 (欧版)
0049,"Super Mario Advance (USA, Europe)","超级马里奥A (美版, 欧版)"
0050,"Rayman Advance (Europe) (En,Fr,De,Es,It)","雷曼A (欧版) (En,Fr,De,Es,It)"
0051,Tweety and the Magic Gems (Europe),托蒂的欢乐派对之不可思议的宝石 (欧版)
0052,Tony Hawk's Pro Skater 2 (Germany),托尼·霍克职业滑板2 (德版)
0053,Narikiri Jockey Game - Yuushun Rhapsody (Japan),优俊赛马 (日版)
0054,Choro Q Advance (Japan),Q版赛车A (日版)
0055,Toyrobo Force (Japan),玩具机器人 (日版)
0056,Hot Potato! (USA),火热的马铃薯! (美版)
0057,"Bomberman Tournament (USA, Europe)","炸弹人传说 (美版, 欧版)"
0058,Tony Hawk's Pro Skater 2 (France),托尼·霍克职业滑板2 (法版)
0059,Breath of Fire - Ryuu no Senshi (Japan),龙战士 (日版)
0060,Yu-Gi-Oh! Duel Monsters 5 Expert 1 (Japan),游戏王5-双重恶魔 (日版)
0061,Super Street Fighter II X - Revival (Japan),街霸II-X复苏 (日版)
0062,Mahjong Keiji (Japan),麻雀刑事 (日版)
0063,Pac-Man Collection (USA),小精灵全集 (美版)
0064,Titi et les Bijoux Magiques (France),托蒂的欢乐派对之不可思议的宝石 (法版)
0065,EX Monopoly (Japan),大富翁EX垄断 (日版)
0066,Minna no Shiiku Series 1 - Boku no Kabutomushi (Japan),大家一起养系列-我的甲虫 (日版)
0067,GetBackers Dakkanya - Jigoku no Scaramouche (Japan),闪灵二人组 (日版)
0068,Space Hexcite - Maetel Legend EX (Japan),宇宙战舰EX (日版)
0069,Kaze no Klonoa - Yumemiru Teikoku (Japan),风之克罗帝亚-梦见帝国 (日版)
0070,Mario Kart Advance (Japan),马里奥赛车A超级巡回赛 (日版)
0071,Doraemon - Midori no Wakusei Dokidoki Daikyuushutsu! (Japan),机器猫-绿之惑星拯救作战 (日版)
0072,Jurassic Park III - The DNA Factor (USA),侏罗纪公园3-DNA基因 (美版)
0073,Kinniku Banzuke - Kongou-kun no Daibouken! (Japan),筋番付肉-金刚君的大冒险 (日版)
0074,JGTO Kounin Golf Master Mobile - Japan Golf Tour Game (Japan),高尔夫达人 (日版)
0075,Zero-Tours (Japan),零度旅行 (日版)
0076,Sutakomi - Star Communicator (Japan),星际通讯战 (日版)
0077,Mobile Pro Yakyuu - Kantoku no Saihai (Japan),职业棒球-行动版 (日版)
0078,Ougon no Taiyou - Hirakareshi Fuuin (Japan),黄金的太阳-开启的封印 (日版)
0079,Dokapon Q - Monster Hunter! (Japan),多卡邦Q怪物猎人! (日版)
0080,Minna no Shiiku Series 2 - Boku no Kuwagata (Japan),大家一起养系列-我的变形虫 (日版)
0081,Jurassic Park III - Kyouryuu ni Ainiikou! (Japan),侏罗纪公园3-公园建设者 (日版)
0082,Final Fight One (Europe),快打旋风ONE (欧版)
0083,Super Black Bass Advance (Japan),超级黑巴斯钓鱼 (日版)
0084,Tanbi Musou - Meine Liebe (Japan),耽美梦想 (日版)
0085,Mario Kart - Super Circuit (USA),马里奥赛车超级巡回赛 (美版)
0086,Kiwame Mahjong Deluxe - Mirai Senshi 21 (Japan),究级麻将-未来战士21杯 (日版)
