Name EN,Name CN
[BIOS] Challenger GB (USA) (Unl),
[BIOS] Genius GB Backup Station (Taiwan) (Unl),
[BIOS] Nintendo Game Boy Color Boot ROM (World) (Rev 1),
[BIOS] Nintendo Game Boy Color Boot ROM (Japan) (En),
[BIOS] Nintendo Game Boy Color Boot ROM (World) (Pokemon Stadium),
[BIOS] Nintendo Game Boy Color Boot ROM (World) (Rev 2),
[BIOS] Touch Boy System ROM (Taiwan) (Unl),
"007 - The World Is Not Enough (USA, Europe)",007 - 明日帝国
10-Pin Bowling (USA) (Rumble Version),10杆保龄球
10-Pin Bowling (Europe),10杆保龄球
102 Dalmatas - Cachorros Al Rescate (Spain),102忠狗
"102 Dalmatians - Puppies to the Rescue (USA, Europe)",102忠狗
"102 Dalmatiens a la Rescousse, Les (France)",102忠狗
102 Dalmatiner (Germany),102忠狗
"1942 (USA, Europe)",1942
2001 Fatal Fury (Taiwan) (En) (Unl),
2002 Adventure Digimon 7 (Taiwan) (En) (Unl),
2002 Digimon Adventure 6 (Taiwan) (En) (Unl),
2003 Crash II Advance (USA) (Unl),
2003 Digimom Sapphii (Taiwan) (En) (Unl),
2003 Digimom Sapphii (Taiwan) (De) (Unl),
2003 Gu Huo Lang II (Taiwan) (Unl),
2003 Hali Bote 2 - Xiaoshi de Mishi (Taiwan) (Unl),
2003 Hali Xiaozi IV (Taiwan) (Unl),
2003 Harry Potter 3 (Taiwan) (Unl),
2003 King Lion Advance III (USA) (Unl),
2003 Koudai Guaishou - Lanbaoshi (Taiwan) (Unl),
2003 Pocket Monster - Carbuncle (USA) (Unl),
2003 Shuma Baolong - Gedou Ban (Taiwan) (Unl),
23 in 1 (Taiwan) (Unl),
3-D Ultra Pinball - Thrillride (USA) (Rumble Version),3D弹珠台
"31 in 1 (Taiwan) (31B-001, Sachen) (Unl)",
"31-in-1 Mighty Mix (Australia) (31B-001, Sachen) (Unl)",
36 in 1 (Taiwan) (SL36-0032) (Unl),
"3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)",3D台球
"3D Pool Allstars (USA) (En,Fr,Es) (Proto)",
"4 in 1 + 8 in 1 (World) (4B-001, 4B-009, 8B-001, Sachen) (Unl)",
"4 in 1 + 8 in 1 (World) (4B-002, 4B-004, 8B-002, Sachen) (Unl)",
"4 in 1 + 8 in 1 (World) (4B-005, 4B-006, 8B-003, Sachen) (Unl)",
"4 in 1 + 8 in 1 (World) (4B-007, 4B-008, 8B-004, Sachen) (Unl)",
"4x4 World Trophy (Europe) (En,Fr,De,Es,It) (GB Compatible)",怪兽车大赛
"720 Degrees (USA, Europe) (GB Compatible)",720度滑板小子
Absolute X (Europe) (Proto),
"Action Man - Search for Base X (USA, Europe)",战斗人 - 寻找X基地
Action Replay Online (Europe) (Unl),
Action Replay Xtreme - Special Edition for Pokemon Crystal (Europe) (Unl),
"Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl)",蓝精灵冒险
AirForce Delta (Japan),空军 Delta
AirForce Delta (USA),空军 Delta
"Aladdin (Europe) (En,Fr,De,Es,It,Nl)",阿拉丁
Aladdin (USA),阿拉丁
"Alfred's Adventure (Europe) (En,Fr,De,Es,It)",阿福莱德的冒险
"Alice in Wonderland (Europe) (En,Fr,De,Es)",爱丽丝梦游仙境
"Alice in Wonderland (USA, Australia)",爱丽丝梦游仙境
"Aliens - Thanatos Encounter (USA, Europe)",异形 - 遭遇战
All Star Tennis '99 (USA) (Proto) (1999-09-13) (GB Compatible),
All Star Tennis 2000 (USA) (Proto) (GB Compatible),全明星网球 2000
All Star Tennis 2000 (Europe) (AZTX) (Proto) (GB Compatible),全明星网球 2000
All Star Tennis 2000 (Europe) (AZTP) (GB Compatible),全明星网球 2000
"All-Star Baseball 2000 (USA, Europe)",全明星棒球 2000
All-Star Baseball 2001 (USA),全明星棒球 2001
"Alone in the Dark - The New Nightmare (Europe) (En,Fr,De,Es,It,Nl) (Beta)",鬼屋魔影 - 新恶梦
Alone in the Dark - The New Nightmare (USA) (Beta) (2001-02-21),鬼屋魔影 - 新恶梦
"Alone in the Dark - The New Nightmare (Europe) (En,Fr,De,Es,It,Nl)",鬼屋魔影 - 新恶梦
"Alone in the Dark - The New Nightmare (USA) (En,Fr,Es)",鬼屋魔影 - 新恶梦
AMF Bowling (USA) (Proto),
Animal Breeder 3 (Japan) (SGB Enhanced) (GB Compatible),动物饲育家 3
Animal Breeder 4 (Japan),动物饲育家 4
Animastar GB (Japan),动物王
"Animorphs (Europe) (En,Fr,De,Es,It)",变身战士
Animorphs (USA),变身战士
Anpfiff - Der RTL Fussball-Manager (Germany),RTL足球经理
"Antz (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible)",小蚁雄兵
"Antz (USA) (En,Fr,Es) (GB Compatible)",小蚁雄兵
"Antz (Europe) (En,Fr,De,Es,It,Nl) (Beta) (GB Compatible)",小蚁雄兵
"Antz Racing (Europe) (En,Fr,De,Es,It,Nl)",蚂蚁赛车
"Antz Racing (USA) (En,Fr,De,Es,It,Nl)",蚂蚁赛车
"Antz World Sportz (Europe) (En,Fr,De,Es,It,Nl)",安茨体育世界
Aqualife (Japan) (SGB Enhanced) (GB Compatible),水族馆
Arle no Bouken - Mahou no Jewel (Japan) (SGB Enhanced) (GB Compatible),魔法气泡大冒险
Armada - FX Racers (USA),亚曼达车手
"Armorines - Project S.W.A.R.M. (USA, Europe) (En,De)",装甲兵器
"Army Men (USA, Europe) (En,Fr,De)",小军人
"Army Men - Air Combat (USA, Europe) (En,Fr,De)",小军人 - 空中大战
"Army Men - Sarge's Heroes 2 (USA, Europe) (En,Fr,De)",小军人 - 英雄无敌 2
"Army Men 2 (USA, Europe) (En,Fr,De)",小军人 2
Arthur's Absolutely Fun Day! (USA),快乐的日子
"Asterix - Sur la Trace D'Idefix (Europe) (En,Fr,De,Es,It,Nl)",维京人闯天关
"Asterix & Obelix (Europe) (En,Fr,De,Es)",维京人冒险
"Asterix & Obelix Contre Cesar (Europe) (En,Fr,De,Es,Nl) (GB Compatible)",维京人冒险
"Asteroids (USA, Europe) (GB Compatible)",太空任务
"Atlantis - The Lost Empire (Europe) (En,Es,It)",亚特兰蒂斯 - 失落的帝国
"Atlantis - The Lost Empire (Europe) (Fr,De,Nl)",亚特兰蒂斯 - 失落的帝国
"Atlantis - The Lost Empire (USA, Europe)",亚特兰蒂斯 - 失落的帝国
Atsumete Asobu Kuma no Pooh-san - Mori no Takaramono (Japan),小熊维尼
ATV Racing (Europe) (Unl),
ATV Racing & Karate Joe (Europe) (Unl),
ATV Racing & Karate Joe (Europe) (Unl) (Alt),
"Austin Powers - Oh, Behave! (Europe) (En,Fr,De,Es,It)",奥斯丁政权 - 行动起来
"Austin Powers - Oh, Behave! (USA)",奥斯丁政权 - 行动起来
"Austin Powers - Welcome to My Underground Lair! (Europe) (En,Fr,De,Es,It)",奥斯丁政权 - 地下王国
Austin Powers - Welcome to My Underground Lair! (USA),奥斯丁政权 - 地下王国
"Austin Powers Episode III (Europe) (En,Fr,De,Es,It) (Proto)",
"Austin Powers Episode IV (Europe) (En,Fr,De,Es,It) (Proto)",
"Aventures de Buzz l'Eclair, Les (France)",巴斯光年 - 星际使命
Azarashi Sentai Inazuma - Dokidoki Daisakusen! (Japan),海豹战队
"Azure Dreams (Europe) (En,Fr,De) (SGB Enhanced) (GB Compatible)",魔物之塔
Azure Dreams (USA) (SGB Enhanced) (GB Compatible),魔物之塔
B-Daman Bakugaiden - Victory e no Michi (Japan) (SGB Enhanced) (GB Compatible),炸弹超人外传
B-Daman Bakugaiden V - Final Mega Tune (Japan),炸弹超人爆外传 5
"Babe and Friends (Europe) (En,Fr,De,Es,It) (GB Compatible)",宝贝猪
Babe and Friends (USA) (GB Compatible),宝贝猪
"Baby Felix - Halloween (Europe) (En,Fr,De,Es,It,Nl)",费利克斯猫 - 万圣节
Back to Earth 3D (Europe) (Demo),
"Backgammon (Europe) (En,Fr,De,Es) (GB Compatible)",西洋双六棋
Backgammon (Japan) (GB Compatible),西洋双六棋
Bad Badtz-Maru Robo Battle (Japan),罗布的战斗
Baiwan Dafuweng - Jin Ban (Taiwan) (Unl),
Bakukyuu Renpatsu!! Super B-Daman - Gekitan! Rising Valkyrie!! (Japan) (SGB Enhanced) (GB Compatible),爆球连发
Bakusou Dekotora Densetsu GB Special - Otoko Dokyou no Tenka Touitsu (Japan),爆走传说
Bakusou Senki Metal Walker GB - Koutetsu no Yuujou (Japan) (GB Compatible),爆走战记 - 钢铁之友情
Bakusou Senki Metal Walker GB - Koutetsu no Yuujou (Japan) (Rev 1) (Proto) (GB Compatible),爆走战记 - 钢铁之友情
Bakuten Shoot Beyblade (Japan),爆转陀螺
Ballistic (USA) (GB Compatible),气球方块
"Balloon Fight GB (Japan) (SGB Enhanced, GB Compatible) (NP)",气球大战
Barbie - Aventura Submarina (Spain) (GB Compatible),芭比娃娃 - 海洋冒险
Barbie - Avventure nell'Oceano (Italy) (GB Compatible),芭比娃娃 - 海洋冒险
Barbie - Chasse au Tresor Sous-Marine (France) (GB Compatible),芭比娃娃 - 海洋探险
Barbie - Diepzee Avontuur (Netherlands) (GB Compatible),芭比娃娃 - 海洋冒险
"Barbie - Fashion Pack Games (USA, Europe) (GB Compatible)",芭比娃娃 - 新潮装
Barbie - Magic Genie Adventure (USA),芭比娃娃 - 魔法精灵
Barbie - Meeres Abenteuer (Germany) (GB Compatible),芭比娃娃 - 海洋冒险
Barbie - Ocean Discovery (United Kingdom) (GB Compatible),芭比娃娃 - 海洋冒险
Barbie - Ocean Discovery (USA) (GB Compatible),芭比娃娃 - 海洋冒险
"Barbie - Pet Rescue (Europe) (En,Fr,De,Es,It)",芭比娃娃 - 营救宠物
Barbie - Pet Rescue (USA),芭比娃娃 - 营救宠物
"Barca Total 2000 (Europe) (En,Fr,De,Es,It,Nl,Ca)",巴罗卡足球 2000
Barcode Taisen Bardigun (Japan) (SGB Enhanced) (GB Compatible),条形码战争
Barcode Taisen Bardigun (Japan) (Rev 1) (SGB Enhanced) (GB Compatible),条形码战争
"Bass Masters Classic (USA, Europe) (GB Compatible)",鲈钓高手
"Batman - Chaos in Gotham (Europe) (En,Fr,De,Es,It,Nl)",蝙蝠侠 - 哥谭混沌
Batman - Chaos in Gotham (USA),蝙蝠侠 - 哥谭混沌
Batman Beyond - Return of the Joker (Japan) (NP),蝙蝠侠 - 小丑复仇
Batman Beyond - Return of the Joker (USA),蝙蝠侠 - 小丑复仇
"Batman of the Future - Return of the Joker (Europe) (En,Fr,De)",蝙蝠侠 - 小丑复仇
Battle Fishers (Japan),威龙周记
"Battleship (USA, Europe) (GB Compatible)",大海战
"BattleTanx (Europe) (En,Fr,De)",坦克大战
BattleTanx (USA),坦克大战
"Beach'n Ball (Europe) (En,Fr,De,Es,It)",沙滩排球
"Beach'n Ball (Europe) (En,Fr,De,Es,It) (Beta) (2000-11-21)",沙滩排球
Beast Fighter (Taiwan) (En) (Sachen) (Unl),
Beatmania GB (Japan) (SGB Enhanced) (GB Compatible),狂热节拍
Beatmania GB - Gotcha Mix 2 (Japan),狂热节拍 3
Beatmania GB 2 - Gotcha Mix (Japan) (SGB Enhanced) (GB Compatible),狂热节拍 2
"Beauty and the Beast - A Board Game Adventure (Europe) (En,Fr,De,Es,It) (SGB Enhanced) (GB Compatible)",美女与野兽 桌游版
