Name EN,Name CN
[BIOS] Maxstation Boot ROM (China) (En) (Unl),
[BIOS] Nintendo Game Boy Boot ROM (World) (Rev 1),
[BIOS] Nintendo Game Boy Boot ROM (Japan) (En),
[BIOS] Nintendo Game Boy Pocket Boot ROM (World),
10-Pin Bowling (USA) (Proto),
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan),三丁目大冒险
3-pun Yosou - Umaban Club (Japan),马番俱乐部
"4 in 1 (Europe) (4B-002, Sachen) (Unl)",
"4 in 1 (Europe) (4B-005, Sachen-Commin) (Unl)",
"4 in 1 (Europe) (4B-007, Sachen) (Unl)",
"4 in 1 (Europe) (4B-001, Sachen-Commin) (Unl)",
"4 in 1 (Europe) (4B-008, Sachen) (Unl)",
"4 in 1 (Europe) (4B-004, Sachen-Commin) (Unl)",
"4 in 1 (Europe) (4B-006, Sachen) (Unl)",
"4 in 1 (Europe) (4B-009, Sachen) (Unl)",
"4 in 1 (Taiwan) (En,Zh) (4B-003, Sachen-Commin) (Unl)",
4-in-1 Fun Pak (Japan),游戏4合1
"4-in-1 Fun Pak (USA, Europe)",游戏4合1
"4-in-1 Funpak - Volume II (USA, Europe)",游戏4合1 第二辑
8-in-1 (Taiwan) (En) (Unl),
A-mazing Tater (USA),神奇土豆
Aa Harimanada (Japan),播磨滩相扑
Action Replay Pro (World) (Unl),
"Addams Family, The (Europe) (En,Fr,De)",阿达家族
"Addams Family, The (Japan)",阿达家族
"Addams Family, The (USA)",阿达家族
"Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)",阿达家族 - 普格斯利的清洁工狩猎
"Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe) (Beta 1)",阿达家族 - 普格斯利的清洁工狩猎
"Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe) (Beta 2) (1993-04-22)",阿达家族 - 普格斯利的清洁工狩猎
"Adventure Island (USA, Europe)",冒险岛
"Adventure Island II - Aliens in Paradise (USA, Europe)",冒险岛 2 - 异形天堂
Adventures of Lolo (Europe) (SGB Enhanced),罗罗大冒险
"Adventures of Pinocchio, The (Europe) (Proto)",
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",波波鹿与飞天鼠和他们的朋友们
"Adventures of Star Saver, The (USA, Europe)",星球拯救者
Aerostar (Japan) (En),青空之星
"Aerostar (USA, Europe)",青空之星
After Burst (Japan) (En),爆裂之后
Agro Soar (Australia),飞翔暴徒澳
Akazukin Chacha (Japan) (SGB Enhanced),小红帽恰恰
Akumajou Dracula - Shikkoku Taru Zensoukyoku - Dark Night Prelude (Japan) (SGB Enhanced),恶魔城 - 漆黑前奏曲
Akumajou Special - Boku Dracula-kun (Japan),德拉克拉君
Aladdin (Europe) (SGB Enhanced),阿拉丁
Aladdin (USA) (SGB Enhanced),阿拉丁
Aladdin (World) (Disney Classic Games) (SGB Enhanced),阿拉丁
Aladdin (Europe) (Sample) (SGB Enhanced),阿拉丁
Alfred Chicken (Europe) (Beta),跳跳鸡
Alfred Chicken (Europe),跳跳鸡
Alfred Chicken (Japan) (En) (SGB Enhanced),跳跳鸡
Alfred Chicken (USA),跳跳鸡
Alien 3 (Japan) (En),异形 3
"Alien 3 (USA, Europe)",异形 3
Alien Games (USA) (Proto),
Alien Olympics (Europe) (Beta 1),异形奥林匹克 公元2044
Alien Olympics (Europe) (Beta 2),异形奥林匹克 公元2044
Alien Olympics (Europe) (Beta 3) (1994-06-14),异形奥林匹克 公元2044
Alien Olympics (Europe),异形奥林匹克 公元2044
Alien vs Predator (Japan),异形大战铁血战士
Alien vs Predator - The Last of His Clan (USA),异形大战铁血战士
All-Star Baseball 99 (USA),全明星棒球 '99
Alleyway (World),小巷
Altered Space - A 3-D Alien Adventure (Europe),扭曲空间 - 外星冒险
Altered Space - A 3-D Alien Adventure (Japan) (En),扭曲空间 - 外星冒险
Altered Space - A 3-D Alien Adventure (USA),扭曲空间 - 外星冒险
"Amazing Penguin (USA, Europe)",神奇企鹅
Amazing Penguin (World) (Limited Run Games),神奇企鹅
"Amazing Spider-Man, The (USA, Europe)",神奇蜘蛛侠
America Oudan Ultra Quiz (Japan),横断美国问答
America Oudan Ultra Quiz Part 2 (Japan),横断美国问答 2
America Oudan Ultra Quiz Part 2 (Japan) (Rev 1),横断美国问答 2
America Oudan Ultra Quiz Part 3 - Champion Taikai (Japan),横断美国问答 3
America Oudan Ultra Quiz Part 4 (Japan),横断美国问答 4
Amida (Japan) (En),阿弥陀
Animal Breeder (Japan) (SGB Enhanced),动物饲育家
Animal Breeder 2 (Japan) (SGB Enhanced),动物饲育家 2
Animaniacs (Europe) (SGB Enhanced),动物王国总动员
Animaniacs (USA) (SGB Enhanced),动物王国总动员
Another Bible (Japan) (SGB Enhanced),圣经外传
Aoki Densetsu Shoot! (Japan) (SGB Enhanced),足球风云
Aprilia - DiTech Interface (Unknown) (Unl) [b],
"Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe) (SGB Enhanced)",街机经典合集 1 - 小行星和导弹司令部
"Arcade Classic No. 2 - Centipede & Millipede (USA, Europe) (SGB Enhanced)",街机经典合集 2 - 蜈蚣及千节虫
Arcade Classic No. 3 - Galaga & Galaxian (Europe) (SGB Enhanced),街机经典合集 3 - 小蜜蜂及大蜜蜂
Arcade Classic No. 3 - Galaga & Galaxian (USA) (SGB Enhanced),街机经典合集 3 - 小蜜蜂及大蜜蜂
"Arcade Classic No. 4 - Defender & Joust (USA, Europe) (SGB Enhanced)",街机经典合集 4 - 防御者与鸵鸟骑士
"Arcade Classics - Super Breakout & Battlezone (USA, Europe) (SGB Enhanced)",街机经典合集 - 超级打砖王与终极战区
Aretha (Japan),阿蕾纱
Aretha II (Japan),阿蕾纱 2
Aretha III (Japan),阿蕾纱 3
Asmik-kun World 2 (Japan),阿斯米君世界 2
"Asterix (Europe) (En,Fr,De,Es,It)",高卢奇兵
Asterix (USA) (Proto 3),高卢奇兵
Asterix (USA) (Proto 1),高卢奇兵
Asterix (USA) (Proto 2),高卢奇兵
"Asterix & Obelix (Europe) (Fr,De) (Beta) (SGB Enhanced)",维京人冒险
"Asterix & Obelix (Spain) (En,Es) (SGB Enhanced)",维京人冒险
"Asterix & Obelix (Europe) (Fr,De) (SGB Enhanced)",维京人冒险
"Asteroids (USA, Europe)",太空任务
"Asteroids (USA, Europe) (Beta)",太空任务
Astro Rabby (Japan) (En),弹跳兔
Atomic Punk (USA),原子朋克
Attack of the Killer Tomatoes (Japan),杀人番茄的袭击
"Attack of the Killer Tomatoes (USA, Europe)",杀人番茄的袭击
"Avenging Spirit (USA, Europe)",复仇精灵
Ayakashi no Shiro (Japan),幽冥城
B.C. Kid (Europe),究极原人
B.C. Kid 2 (Europe) (SGB Enhanced),究极原人
B.C. Kid 2 (Europe) (Beta) (SGB Enhanced),究极原人
Baby T-Rex (Europe),宝贝龙
Baby's Day Out (USA) (Proto),
Bakenou TV '94 (Japan) (SGB Enhanced),马券王TV '94
Bakenou V3 (Japan),马券王 V3
Bakuchou Retrieve Master (Japan) (SGB Enhanced),爆钓钓鱼王
Bakuchou Retsuden Shou - Hyper Fishing (Japan) (SGB Enhanced),爆钓烈传翔
Bakuretsu Senshi Warrior (Japan) (En),超兄贵爆裂乱斗篇
"Balloon Kid (USA, Europe)",气球小子
Bamse (Sweden),巴姆斯瑞典
Banishing Racer (Japan),神仙车
"Barbie - Game Girl (USA, Europe)",芭比游戏女孩
Barbie - Game Girl (USA) (Beta),芭比游戏女孩
Bart no Survival Camp (Japan) (En),巴特的生存训练营
"Bart Simpson's Escape from Camp Deadly (USA, Europe)",巴特的生存训练营
Baseball (World),棒球
Baseball Kids (Japan),棒球小子
Bases Loaded (USA),满垒
Bass Fishing Tatsujin Techou (Japan),口袋钓鱼黑鲈鱼
"Bataille Navale (France) (En,Fr,De,Es)",巴塔耶海军航空部队
Batman - Return of the Joker (Japan) (En),蝙蝠侠 - 小丑归来
"Batman - Return of the Joker (USA, Europe)",蝙蝠侠 - 小丑归来
"Batman - The Animated Series (USA, Europe)",蝙蝠侠 - 电视游戏
Batman - The Video Game (World),蝙蝠侠 - 电视游戏
Batman Forever (Japan) (En),永远的蝙蝠侠
"Batman Forever (USA, Europe)",永远的蝙蝠侠
Battle Arena Toshinden (Europe) (SGB Enhanced),斗神传
Battle Arena Toshinden (USA) (SGB Enhanced),斗神传
Battle Bull (Japan) (En),战斗公牛
Battle Bull (USA),战斗公牛
Battle Crusher (Japan) (SGB Enhanced),战斗粉碎机
Battle Dodge Ball (Japan),战斗躲避球
Battle of Kingdom (Japan),战斗领域
"Battle of Olympus, The (Europe) (En,Fr,De,Es,It)",奥林匹斯之战
Battle Pingpong (Japan) (En),战斗乒乓
"Battle Ships (Spain) (En,Fr,De,Es) (Beta)",
Battle Space (Japan),战斗空间
Battle Unit Zeoth (Japan),战斗装置
"Battle Unit Zeoth (USA, Europe)",战斗装置
BattleCity (Japan) (En),坦克大战
"Battleship (USA, Europe)",大海战
"Battleship (USA, Europe) (Beta)",大海战
Battletoads (Japan),忍者蛙
"Battletoads (USA, Europe)",忍者蛙
Battletoads in Ragnarok's World (Europe),忍者蛙诸神之黄昏
Battletoads in Ragnarok's World (USA),忍者蛙诸神之黄昏
Battletoads-Double Dragon (Europe),忍者蛙与双截龙 - 最终战队
Battletoads-Double Dragon (USA),忍者蛙与双截龙 - 最终战队
"Beavis and Butt-head (USA, Europe)",瘪四与大头蛋
Beethoven (Europe) (SGB Enhanced),宠物狗
Beethoven (USA) (Proto) (SGB Enhanced),宠物狗
Beetlejuice (USA),阴间大法师
Best of the Best - Championship Karate (Europe),王中王 - 空手道锦标赛
Best of the Best - Championship Karate (USA),王中王 - 空手道锦标赛
Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal (Japan),热血新纪录 - 遍地是金牌
"Bill & Ted's Excellent Game Boy Adventure - A Bogus Journey! (USA, Europe)",比尔和特德 - 超级冒险
Bill & Ted's Excellent Portable Adventure - A Bogus Journey! (World) (Retro Collection),
Bill Elliott's NASCAR Fast Tracks (USA),比尔埃略特的全国汽车挑战赛
Binary Monsters II - Adventure of Hell (Taiwan) (En) (Unl),
Bionic Battler (USA),生化战士
Bionic Commando (Europe),魔希复活
Bionic Commando (Japan),魔希复活
Bionic Commando (USA),魔希复活
Bishoujo Senshi Sailor Moon (Japan),美少女战士
Bishoujo Senshi Sailor Moon R (Japan),美少女战士 R
Black Bass - Lure Fishing (USA),黑鲈鱼 - 路亚钓鱼
Blade Warrior (Europe) (Proto),
Blades of Steel (Europe),钢铁之刃冰球
Blades of Steel (USA),钢铁之刃冰球
Blaster Master Boy (USA),爆破大师
Blaster Master Boy (USA) (Beta),爆破大师
Blaster Master Jr. (Europe),爆破大师
Block Kuzushi GB (Japan) (SGB Enhanced),究极打砖块
Blodia (Japan) (En),装甲勇士
"Blues Brothers (USA, Europe) (Beta)",
"Blues Brothers, The (USA, Europe)",蓝色兄弟
"Blues Brothers, The - Jukebox Adventure (Europe)",蓝色兄弟 - 音乐魔盒的冒险
Bo Jackson - Two Games in One (USA),波杰克逊 - 游戏2合1 打与跑
Bobby's World (USA) (Proto) (SGB Enhanced),
Bobby's World (Europe) (Proto) (SGB Enhanced),
Boggle Plus (USA),惊奇 加强版
Bokujou Monogatari GB (Japan) (SGB Enhanced),牧场物语
Bokujou Monogatari GB (Japan) (Rev 1) (SGB Enhanced),牧场物语
Bokujou Monogatari GB (Japan) (SGB Enhanced) (NP),牧场物语
Bomb Jack (Europe) (Beta 1),炸弹杰克
Bomb Jack (Europe) (Beta 2),炸弹杰克
Bomb Jack (Europe),炸弹杰克
Bomber Boy (Japan) (En),轰炸男孩
