Name EN,Name CN
Resident Evil 4 (USA) (Disc 1),生化危机4
Resident Evil 4 (USA) (Disc 2),生化危机4
"Luigi's Mansion (USA, Canada)",路易吉洋楼
"Legend of Zelda, The - Collector's Edition (USA)",塞尔达传说 - 典藏版
"Legend of Zelda, The - Ocarina of Time & Master Quest (USA)",塞尔达传说 - 时之笛 - 里
"Legend of Zelda, The - Twilight Princess (USA)",塞尔达传说 - 黄昏公主
"Mario Kart - Double Dash!! (Europe) (En,Fr,De,Es,It)",马力欧卡丁车 - 双重冲击
Geist (USA),幽灵
"Wave Race - Blue Storm (Europe, Australia)",水上摩托 - 蓝色风暴
"Beyond Good & Evil (Europe) (De,It)",超越善恶
"Legend of Zelda, The - The Wind Waker (USA)",塞尔达传说 - 风之杖
Super Mario Sunshine (Japan),超级马里奥阳光
"Metroid Prime (Europe) (En,Fr,De,Es,It)",密特罗德 - 究极
"Metroid Prime 2 - Echoes (Europe) (En,Fr,De,Es,It)",密特罗德 - 究极2 - 黑暗回音
"Luigi's Mansion (Europe) (En,Fr,De,Es,It)",路易吉洋楼
"Pikmin (Europe) (En,Fr,De,Es,It)",皮克敏
"Pikmin 2 (Europe) (En,Fr,De,Es,It)",皮克敏2
Soulcalibur II (USA),灵魂能力2
"Soulcalibur II (Europe) (En,Fr,De,Es,It)",灵魂能力2
Eternal Darkness - Sanity's Requiem (USA),永恒的黑暗 - 理智的安魂曲
Resident Evil (USA) (Disc 1),生化危机
Resident Evil (USA) (Disc 2),生化危机
Final Fantasy Crystal Chronicles (USA),最终幻想水晶编年史
Tales of Symphonia (USA) (Disc 1),交响曲传奇
Tales of Symphonia (USA) (Disc 2),交响曲传奇
Metroid Prime (USA) (Rev 2),密特罗德 - 究极
Metroid Prime 2 - Echoes (USA) (Bonus Disc),密特罗德 - 究极2 - 黑暗回音
"Star Fox Adventures (Europe) (En,Fr,De,Es,It)",星际火狐大冒险
"Pokemon Box - Ruby & Sapphire (Europe) (En,Fr,De,Es,It) (Rev 1)",口袋妖怪整理箱 - 红宝石蓝宝石
"Pokemon Colosseum (Europe) (En,Fr,De,Es,It)",口袋妖怪 - 竞技场
"Mario Power Tennis (Europe) (En,Fr,De,Es,It)",马力欧网球GC
Viewtiful Joe 2 - Black Film no Nazo (Japan),红侠乔伊2 - 黑胶卷之谜
"Doshin the Giant (Europe) (En,Fr,De,Es,It)",巨人多西
"Phantasy Star Online Episode I & II (Europe) (En,Ja,Fr,De,Es)",梦幻之星在线 - 一章&二章
Shikigami no Shiro II (Japan),式神之城2
P.N. 03 (Japan),代号03
Baten Kaitos II - Hajimari no Tsubasa to Kamigami no Shishi (Japan) (Disc 1) (Rev 1),霸天开拓史2 - 创始之翼与诸神之子
Baten Kaitos II - Hajimari no Tsubasa to Kamigami no Shishi (Japan) (Disc 2) (Rev 1),霸天开拓史2 - 创始之翼与诸神之子
"Puyo Puyo Fever (Japan) (En,Ja,Fr,De,Es,It)",狂热噗哟噗哟
F-Zero GX (USA),未来赛车GX
Metroid Prime (USA),密特罗德 - 究极
Phantasy Star Online Episode III - C.A.R.D. Revolution (Japan),梦幻之星在线 - 三章 - 卡片革命
Chaos Field Expanded (Japan) (Rev 2),混沌领域 - 扩张
Donkey Konga (Japan),森喜刚康茄鼓
Naruto - Gekitou Ninja Taisen! 2 (Japan),火影忍者 - 激斗忍者大战2
Naruto - Gekitou Ninja Taisen! 3 (Japan),火影忍者 - 激斗忍者大战3
Hudson Selection Vol. 4 - Takahashi-Meijin no Boukenjima (Japan),Hudson精选集4 - 冒险岛
Ikaruga (Japan),斑鸠
Star Wars - Rogue Squadron II - Rogue Leader (France),星球大战 - 侠盗中队2 - 流氓领袖
"Star Wars - Rogue Squadron III - Rebel Strike (France) (En,Fr)",星球大战 - 侠盗中队3 - 叛军打击
"Seigneur des Anneaux, Le - Les Deux Tours (France)",指环王二部曲 - 双塔
"Seigneur des Anneaux, Le - Le Retour du Roi (France)",指环王三部曲 - 王者再临
"Seigneur des Anneaux, Le - Le Tiers Age (France) (Disc 1)",指环王 - 第三纪元
"Seigneur des Anneaux, Le - Le Tiers Age (France) (Disc 2)",指环王 - 第三纪元
Metroid Prime 2 - Echoes (USA),密特罗德 - 究极2 - 黑暗回音
"Legend of Zelda, The - The Wind Waker (Europe) (En,Fr,De,Es,It)",塞尔达传说 - 风之杖
NHL 2003 (USA),NHL冰球2003
NHL Hitz 2002 (USA),全美职业冰球赛2002
NHL Hitz 2003 (USA),全美职业冰球赛2003
Madden NFL 2003 (USA),劲爆美式橄榄球2003
Paper Mario - The Thousand-Year Door (USA),纸片马力欧RPG
Pokemon Colosseum (USA),口袋妖怪 - 竞技场
"Phantasy Star Online Episode I & II (USA) (En,Ja,Fr,De,Es)",梦幻之星在线 - 一章&二章
"Sonic Adventure DX - Director's Cut (USA) (En,Ja,Fr,De,Es)",索尼克大冒险
"Sonic Adventure 2 - Battle (USA) (En,Ja,Fr,De,Es)",索尼克大冒险2
Sonic Mega Collection (USA),索尼克百万合集
Spawn - Armageddon (USA),再生侠 - 末日之战
Pokemon XD - Gale of Darkness (USA),口袋妖怪XD - 黑暗洛奇亚
Star Fox Adventures (USA),星际火狐大冒险
Star Fox - Assault (USA),星际火狐
Star Wars - Rogue Squadron II - Rogue Leader (USA),星球大战 - 侠盗中队2 - 流氓领袖
"Super Mario Sunshine (USA, Canada)",超级马里奥阳光
"Legend of Zelda, The - Ocarina of Time & Master Quest (Europe) (En,Fr,De)",塞尔达传说 - 时之笛 - 里
"Animal Crossing (Europe) (En,Fr,De,Es,It)",动物森友会+
"Final Fantasy Crystal Chronicles (Europe) (En,Fr,De,Es,It)",最终幻想水晶编年史
