Name En,Name CN
Fire Emblem Musou (Japan),火焰之纹章 - 无双
"Fire Emblem Warriors (Europe) (En,Fr,De,Es,It)",火焰之纹章 - 无双
Fire Emblem Warriors (USA),火焰之纹章 - 无双
"Minecraft - New Nintendo 3DS Edition (USA) (En,Ja,Fr,De,Es,It,Nl,Pt,Zh-Hant,Zh-Hans,Ko,Ru)",我的世界 - 新3DS版
Runbow Pocket Deluxe Edition (USA),虹色战士 - 豪华版
Xenoblade (Japan),异度神剑3D
"Xenoblade Chronicles 3D (Europe) (En,Fr,De,Es,It)",异度神剑3D
"Xenoblade Chronicles 3D (USA) (En,Fr,Es)",异度神剑3D
"Xenoblade Chronicles 3D (Europe) (En,Fr,De,Es,It) (Rev 1)",异度神剑3D
"Xenoblade Chronicles 3D (USA) (En,Fr,Es) (Rev 1)",异度神剑3D
Xenoblade Chronicles 3D (USA) (Beta),异度神剑3D
