Name EN,Name CN
[BIOS] Nintendo 3DS ARM11 Boot ROM (World),
[BIOS] Nintendo 3DS ARM9 Boot ROM (World),
100Pascal Sensei - Kanpeki Paint Bombers (Japan),帕斯卡老师 - 完美涂色投弹手
12-Sai. Honto no Kimochi (Japan),12岁的真实 - 纯真恋心
12-Sai. Koisuru Diary (Japan),12岁的恋爱日记
12-Sai. Torokeru Puzzle Futari no Harmony (Japan),12岁溶化甜点谜题 - 两人的和声
"2in1 - Life with Horses 3D + My Baby Pet Hotel 3D (Europe) (En,Fr,De,Es,It,Nl)",游戏2合1 - 与小马在一起的日子 + 我的宠物宝宝酒店 3D
"2in1 - My Vet Practice 3D - In the Country + My Baby Pet Hotel 3D (Europe) (En,Fr,De,Es,It,Nl)",游戏2合1 - 我的兽医练习3D + 我的宠物宝宝酒店 3D
"2in1 Horses 3D - My Foal 3D + My Riding Stables 3D - Rivals in the Saddle (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da)",小马游戏2合1 3D - 我的小马驹3D + 我的驯马场3D 为团队而跳跃
"2in1 Horses 3D Vol.2 - Rivals in the Saddle and Jumping for the Team 3D (Europe) (En,Fr,De,Es,It)",小马游戏2合1 3D 卷2 - 鞍手 + 为团队跳跃 3D
"2in1 Horses 3D Vol.3 - My Riding Stables 3D - Jumping for the Team and My Western Horse 3D (Europe) (En,Fr,De,It,Nl)",小马游戏2合1 3D 卷3 - 我的马厩 3D + 为团队跳跃 3D + 我的西方马 3D
"35 Classic Games (Europe) (En,Fr,Es,It)",35经典游戏
3D Game Collection - 55-en-1 (France),3D游戏合集 55合1
3D Game Collection - 55-in-1 (Europe),3D游戏合集 55合1
"3D Game Collection - 55-in-1 (Germany) (Fr,De)",3D游戏合集 55合1
"3D MahJongg (Europe) (En,Fr,De,Nl)",3D麻将
"3in1 Horses - My Riding Stables 3D - Jumping for the Team + Riding Star 3D + My Western Horse 3D (Europe) (En,Fr,De,Es,It,Nl)",小马游戏3合1 3D - 我的马厩 3D + 明星骑手 3D + 我的西方马 3D
"4 Elements (Europe) (En,Fr,De,Nl)",元素四方阵
"50 Classic Games (Europe) (En,Fr,Es,It)",50款经典游戏 3D
"50 Classic Games 3D (Europe) (En,Fr,De,Es,It,Nl)",50款经典游戏 3D
"50 Classic Games 3D (USA) (En,Fr,Es)",50款经典游戏 3D
7th Dragon III Code - VFD (Japan),第七龙神 3 - 代号VFD
7th Dragon III Code - VFD (USA),第七龙神 3 - 代号VFD
7th Dragon III Code - VFD (Europe),第七龙神 3 - 代号VFD
A-Ressha de Ikou 3D (Japan),乘坐A列车出行 3D
A-Ressha de Ikou 3D NEO (Japan),乘坐A列车出行 3D NEO
"Ace Combat - Assault Horizon Legacy (USA) (En,Fr,Es)",皇牌空战 - 突击地平线 遗产
"Ace Combat - Assault Horizon Legacy (Europe) (En,Fr,De,Es,It)",皇牌空战 - 突击地平线 遗产
"Ace Combat - Assault Horizon Legacy+ (Europe) (En,Fr,De,Es,It)",皇牌空战 - 突击地平线 遗产+
"Ace Combat - Assault Horizon Legacy+ (USA) (En,Fr,Es)",皇牌空战 - 突击地平线 遗产+
Ace Combat 3D - Cross Rumble (Japan),皇牌空战 3D - 战火纷飞
Ace Combat 3D - Cross Rumble+ (Japan),皇牌空战 3D - 战火纷飞+
Acrylic Palette - Irodori Cafe - Cheers (Japan),调色板 - 七彩咖啡厅
Adventure Time - Explore the Dungeon Because I Don't Know! (USA),探险活宝 - 因为好奇所以探索地牢
"Adventure Time - Explore the Dungeon Because I Don't Know! (Europe) (En,Fr,De,Es,It)",探险活宝 - 因为好奇所以探索地牢
Adventure Time - Finn & Jake Investigations (USA),探险活宝 - 阿宝与老皮的史诗冒险
"Adventure Time - Finn & Jake Investigations (Europe) (En,Fr,De,Es,It)",探险活宝 - 阿宝与老皮的史诗冒险
Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Rev 1),探险活宝 - 冰霸王，你干嘛偷我们的垃圾
Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA),探险活宝 - 冰霸王，你干嘛偷我们的垃圾
Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Beta) (2012-05-11),探险活宝 - 冰霸王，你干嘛偷我们的垃圾
Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Beta) (2012-06-19),探险活宝 - 冰霸王，你干嘛偷我们的垃圾
Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Beta) (2012-06-30),探险活宝 - 冰霸王，你干嘛偷我们的垃圾
Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Beta) (2012-07-20),探险活宝 - 冰霸王，你干嘛偷我们的垃圾
