Name EN,Name ZH
"007 - The World Is Not Enough (Europe) (En,Fr,De)","007-明日帝国(欧版)(英,法,德)"
007 - The World Is Not Enough (USA),007-明日帝国(美版)
"1080 Snowboarding (Europe) (En,Ja,Fr,De)","1080滑雪大赛(欧版)(英,日,法,德)"
"1080 Snowboarding (Japan, USA) (En,Ja)","1080滑雪大赛(日版,美版)(英,日)"
64 Hanafuda - Tenshi no Yakusoku (Japan),64花札-天使的约束(日版)
64 Oozumou (Japan),64大相扑(日版)
64 Oozumou 2 (Japan),64大相扑2(日版)
64 Trump Collection - Alice no Wakuwaku Trump World (Japan),64王牌大收集-爱丽丝王牌世界(日版)
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan),电子宠物世界64(日版)
AI Shougi 3 (Japan),AI将棋3(日版)
"AeroFighters Assault (Europe) (En,Fr,De)","音速战机-突击(欧版)(英,法,德)"
AeroFighters Assault (USA),音速战机-突击(美版)
"AeroGauge (Europe) (En,Fr,De)","磁浮轨道车(欧版)(英,法,德)"
AeroGauge (Japan) (Rev 1),磁浮轨道车(日版)(版本1)
AeroGauge (USA),磁浮轨道车(美版)
Aidyn Chronicles - The First Mage (Europe),爱丁编年史-首席魔法师(欧版)
Aidyn Chronicles - The First Mage (USA),爱丁编年史-首席魔法师(美版)
Aidyn Chronicles - The First Mage (USA) (Rev 1),爱丁编年史-首席魔法师(美版)(版本1)
Air Boarder 64 (Japan),疾风滑板64(日版)
Airboarder 64 (Europe),疾风滑板64(欧版)
Akumajou Dracula Mokushiroku - Real Action Adventure (Japan),恶魔城默示录(日版)
Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan),恶魔城默示录外传(日版)
"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)","全明星网球'99(欧版)(英,法,德,西,意)"
All Star Tennis 99 (USA),全明星网球'99(美版)
All-Star Baseball 2000 (Europe),全明星棒球2000(欧版)
All-Star Baseball 2000 (USA),全明星棒球2000(美版)
All-Star Baseball 2001 (USA),全明星棒球2001(美版)
All-Star Baseball 99 (Europe),全明星棒球'99(欧版)
All-Star Baseball 99 (USA),全明星棒球'99(美版)
Armorines - Project S.W.A.R.M. (Europe),装甲兵器-S.W.A.R.M.计划(欧版)
Armorines - Project S.W.A.R.M. (Germany),装甲兵器-S.W.A.R.M.计划(德国)
Armorines - Project S.W.A.R.M. (USA),装甲兵器-S.W.A.R.M.计划(美版)
Army Men - Air Combat (USA),玩具兵大战-空中打击(美版)
"Army Men - Sarge's Heroes (Europe) (En,Fr,De)","玩具兵大战-萨基英雄(欧版)(英,法,德)"
Army Men - Sarge's Heroes (USA),玩具兵大战-萨基英雄(美版)
Army Men - Sarge's Heroes 2 (USA),玩具兵大战-萨基英雄2(美版)
Asteroids Hyper 64 (USA),游星大战64(美版)
Automobili Lamborghini (Europe),兰博基尼赛车(欧版)
Automobili Lamborghini (USA),兰博基尼赛车(美版)
Baku Bomberman (Japan),爆裂炸弹人(日版)
Baku Bomberman 2 (Japan),爆裂炸弹人2(日版)
Bakuretsu Muteki Bangaioh (Japan),爆裂无敌(日版)
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan),爆笑人生64(日版)
Banjo to Kazooie no Daibouken (Japan),班卓与卡祖的大冒险(日版)
Banjo to Kazooie no Daibouken 2 (Japan),班卓与卡祖的大冒险2(日版)
"Banjo-Kazooie (Europe) (En,Fr,De)","班卓与卡祖的大冒险(欧版)(英,法,德)"
Banjo-Kazooie (USA),班卓与卡祖的大冒险(美版)
Banjo-Kazooie (USA) (Rev 1),班卓与卡祖的大冒险(美版)(版本1)
Banjo-Tooie (Australia),班卓与卡祖的大冒险2(澳版)
"Banjo-Tooie (Europe) (En,Fr,De,Es)","班卓与卡祖的大冒险2(欧版)(英,法,德,西)"
Banjo-Tooie (USA),班卓与卡祖的大冒险2(美版)
