Name EN,Name CN
Electroplankton (Japan),电子浮游生物
"Need for Speed - Underground 2 (USA) (En,Fr,De,Es,It)",极品飞车-地下狂飙2
Yoshi Touch & Go (USA),触!摸!耀西!
"Feel the Magic - XY-XX (USA) (En,Ja)",为你而死
WarioWare - Touched! (USA),瓦里奥制造-摸摸乐
Polarium (USA),直感一笔
"Puyo Puyo Fever (Japan) (En,Ja)",魔法气泡狂热版
Pac-Pix (USA),一笔吃豆
Space Invaders DS (Japan),太空侵略者DS
Zunou ni Asekaku Game Series! Vol. 1 - Cool 104 Joker & Setline (Japan),头脑冒汗游戏系列第1辑
Guruguru Nagetto (Japan),咕噜咕噜-投
"Asphalt - Urban GT (USA) (En,Fr,Es)",都市沥青路GT
"Yoshi Touch & Go (Europe) (En,Fr,De,Es,It)",触！摸！耀西！
"Pac-Pix (Europe) (En,Fr,De,Es,It)",一笔吃豆
Catch! Touch! Yoshi! (Japan),触摸！耀西！
Meteos (Japan),陨石大战
"Ridge Racer DS (USA, Europe)",山脊赛车DS
"WarioWare - Touched! (Europe) (En,Fr,De,Es,It)",摸摸瓦里奥制造
Mr. Driller - Drill Spirits (USA),钻地先生-钻魂
Chokkan Hitofude (Japan),直感一笔
"Project Rub (Europe) (En,Ja,Fr,De,Es,It)",愿为你而死
"Super Mario 64 DS (Europe) (En,Fr,De,Es,It)",超级马里奥64DS
"Star Wars - Episode III - Revenge of the Sith (Europe) (En,Fr,De,Es,It,Nl)",星际大战III-西斯大帝的复仇
"Robots (Europe) (En,Fr,De,Es,It)",机器人历险记
Super Mario 64 DS (Japan),超级马里奥 64
Pokemon Dash (USA),口袋妖怪-冲刺
Mr. Driller - Drill Spirits (Japan),钻地小子
Kirby - Canvas Curse (USA),触摸卡比
GoldenEye - Rogue Agent (USA),007 黄金眼
Sprung - A Game Where Everyone Scores (USA),春心荡漾
"Polarium (Europe) (En,Fr,De,Es,It)",直感一笔
Bomber Man (Japan),炸弹人
Kenshuui Tendo Dokuta (Japan),研修医-天堂独太
Zoo Keeper (USA),动物公园管理员
Touch! Kirby (Japan),触摸卡比
Daigassou! Band-Brothers (Japan),大合奏乐队兄弟
Super Mario 64 DS (USA),超级马里奥64DS
Ping Pals (USA),聊天伴侣
Another Code - Futatsu no Kioku (Japan),双重记忆
Egg Monster Hero (Japan),半熟英雄
"Need for Speed - Underground 2 (Europe) (En,Fr,De,Es,It)",极品飞车：地下狂飙2
Nintendogs - Chihuahua & Friends (Japan),任天狗-芝娃娃与它的朋友
Spider-Man 2 (USA),蜘蛛侠2
Tennis no Ouji-sama 2005 - Crystal Drive (Japan),网球王子2005
"Urbz, The - Sims in the City (USA)",模拟人生
Yakuman DS (Japan),役满DS
"Rayman DS (USA) (En,Fr,Es)",雷曼DS
Mr. Driller - Drill Spirits (Europe),钻地小子
Sprung - The Dating Game (Europe),春心荡漾
"Zoo Keeper (Europe) (En,Fr,De,Es,It)",动物公园管理员
"Retro Atari Classics (USA, Europe)",雅达利经典游戏
"Another Code - Two Memories (Europe) (En,Fr,De,Es,It)",异色代码-双重记忆
Devilish - Ball Bounder (Japan),恶魔来袭
"Tiger Woods PGA Tour (USA, Europe) (En,Fr,De) (Rev 1)",泰戈伍兹高尔夫PGA巡回赛
"Asphalt - Urban GT (Europe) (En,Fr,De,Es,It)",沥青都市GT
Super Mario 64 DS (USA) (Rev 1),超级马里奥64DS
Pokemon Dash (Japan),口袋妖怪-冲刺
Naruto - Saikyou Ninja Daikesshuu 3 for DS (Japan),火影忍者大集合3
Robots (USA),机器人历险记
Meteos (USA),陨石大战
