Name EN,Name CN
"[BIOS] Game Genie (USA, Europe) (Unl)",
'89 Dennou Kyuusei Uranai (Japan),89电脑占星术
10-Yard Fight (Japan) (En),十码大战
"10-Yard Fight (USA, Europe)",十码大战
100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan),百万小子 - 幻之帝王篇
"1942 (Japan, USA) (En)",1942
1943 - The Battle of Midway (Japan) (Beta),1943 - 中途岛战役
1943 - The Battle of Midway (USA),1943 - 中途岛战役
1943 - The Battle of Valhalla (Japan),1943 - 中途岛战役
1991 Du Ma Racing (Taiwan) (Super Mega) (Unl),91赛马
"1999 - Hore, Mitakotoka! Seikimatsu (Japan)",99强手棋
3-D WorldRunner (USA),3D世界赛跑者
3-in-1 Supergun (Asia) (En) (Unl),枪卡游戏 - 3合1
3D Block (Taiwan) (En) (Hwang Shinwei) (Pirate),3D方块
3D Block (Taiwan) (En) (RCM Group) (Pirate),3D方块
4 Nin Uchi Mahjong (Japan),四人麻将
4 Nin Uchi Mahjong (Japan) (Rev 1),四人麻将
720 Degrees (USA),720度转角
75 Bingo (Asia) (En) (Unl),
75 BinGuo (Taiwan) (Unl),
8 Eyes (Japan),八眼传说
8 Eyes (USA),八眼传说
A Ressha de Ikou (Japan),铁路A计划
Aa Yakyuu Jinsei Icchokusen (Japan),野球人生
Abadox (Japan) (En),阿贝道之战
Abadox - The Deadly Inner War (USA),阿巴多克斯 - 致命的内部战争
Abarenbou Tengu (Japan),暴坊天狗
Aces - Iron Eagle III (Japan),铁鹰战士 3
Action 52 (USA) (Unl),动作游戏 - 52合1
Action 52 (USA) (Rev A) (Unl),动作游戏 - 52合1
Action in New York (Europe),最终任务
"Addams Family, The (Europe) (En,Fr,De)",阿达一族
"Addams Family, The (USA)",阿达一族
"Addams Family, The - Pugsley's Scavenger Hunt (Europe)",阿达一族 2
"Addams Family, The - Pugsley's Scavenger Hunt (Europe) (Beta 3)",阿达一族 2
"Addams Family, The - Pugsley's Scavenger Hunt (USA)",阿达一族 2
Advanced Dungeons & Dragons - Dragons of Flame (Japan),高级地下城与龙 - 龙之火焰
Advanced Dungeons & Dragons - DragonStrike (USA),高级地下城与龙 - 龙击
Advanced Dungeons & Dragons - Heroes of the Lance (Japan),高级地下城与龙 - 长枪英雄
Advanced Dungeons & Dragons - Heroes of the Lance (USA),高级地下城与龙 - 长枪英雄
Advanced Dungeons & Dragons - Hillsfar (Japan),高级地下城与龙 - 远山
Advanced Dungeons & Dragons - Hillsfar (USA),高级地下城与龙 - 远山
Advanced Dungeons & Dragons - Pool of Radiance (Japan),高级地下城与龙 - 光芒之池
Advanced Dungeons & Dragons - Pool of Radiance (USA),高级地下城与龙 - 光芒之池
Adventures in the Magic Kingdom (Europe),魔法王国大冒险
Adventures in the Magic Kingdom (USA),魔法王国大冒险
Adventures in the Magic Kingdom (USA) (Beta 2),魔法王国大冒险
"Adventures of Bayou Billy, The (Europe)",鳄鱼先生
"Adventures of Bayou Billy, The (USA)",鳄鱼先生
Adventures of Dino Riki (USA),新人类
"Adventures of Dr. Franken, The (USA) (Proto)",法兰克博士大冒险
"Adventures of Gilligan's Island, The (USA)",梦幻岛大冒险
Adventures of Lolo (Europe),蛋王子大冒险
Adventures of Lolo (Japan) (En),蛋王子大冒险
Adventures of Lolo (USA),蛋王子大冒险
Adventures of Lolo 2 (Europe),蛋王子大冒险 2
Adventures of Lolo 2 (USA),蛋王子大冒险 2
Adventures of Lolo 3 (Europe),蛋王子大冒险 3
Adventures of Lolo 3 (USA),蛋王子大冒险 3
Adventures of Lolo II (Japan),罗罗大冒险 2
"Adventures of Rad Gravity, The (Europe)",重力大冒险
"Adventures of Rad Gravity, The (USA)",重力大冒险
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",波波鹿与飞天鼠
Adventures of Tom Sawyer (USA),汤姆索亚历险记
After Burner (USA) (Unl),冲破火网
After Burner (Japan) (En),冲破火网
Ai Sensei no Oshiete - Watashi no Hoshi (Japan),爱先生 - 占卜之星
Aigina no Yogen - Balubalouk no Densetsu Yori (Japan),巴鲁巴矿工传说
