Name EN,Name CN
'96 Zenkoku Koukou Soccer Senshuken (Japan),全国高中足球锦标赛 '96
101 Dalmatas (USA) (Pirate),101忠狗
16 Zhang Mahjong II - Xingzuo Nulang Pian (Hong Kong) (Unl),十六张麻将 - 星座女郎篇
2020 Super Baseball (Japan),超级棒球 2020
3 Ninjas Kick Back (USA),忍者好小子
3-jigen Kakutou Ballz (Japan) (En),3D格斗球
3-jigen Kakutou Ballz (Japan) (En) (Sample),3D格斗球
3x3 Eyes - Juuma Houkan (Japan),3X3只眼 - 兽魔奉还
3x3 Eyes - Seima Kourinden (Japan),3X3只眼 - 圣魔降临传
4-nin Shougi (Japan),4人将棋
46 Okunen Monogatari - Harukanaru Eden e (Japan),46亿年物语
"7th Saga, The (USA)",时空引导者
90 Minutes - European Prime Goal (Europe),90分钟欧洲足球
90 Minutes - European Prime Goal (Europe) (Beta),90分钟欧洲足球
A.S.P. - Air Strike Patrol (USA),空中打击巡逻队
Aaahh!!! Real Monsters (Europe),怪物三人行
Aaahh!!! Real Monsters (USA),怪物三人行
ABC Monday Night Football (Japan),ABC电视台周一足球
ABC Monday Night Football (USA),ABC电视台周一足球
Accele Brid (Japan),电脑战机
Ace o Nerae! (Japan),山本玲美香网球
ACME Animation Factory (Europe),动书工厂
ACME Animation Factory (USA),动书工厂
Acrobat Mission (Japan) (En),特殊任务
Action Pachio (Japan),柏青哥君大进击
ActRaiser (Europe),雷莎出击
ActRaiser (France),雷莎出击
ActRaiser (Germany),雷莎出击
Actraiser (Japan),雷莎出击
ActRaiser (Japan) (Virtual Console),雷莎出击
ActRaiser (USA),雷莎出击
ActRaiser (USA) (Arcade),雷莎出击
ActRaiser (USA) (Beta),雷莎出击
"Actraiser 2 (Europe) (En,Fr,De)",雷莎出击 2
ActRaiser 2 (USA),雷莎出击 2
ActRaiser 2 - Chinmoku e no Seisen (Japan),雷莎出击 2
"Addams Family Values (Europe) (En,Fr,De)",阿达一族 2
Addams Family Values (USA) (Beta),阿达一族 2
"Addams Family Values (USA) (En,Fr,De)",阿达一族 2
"Addams Family, The (Europe) (En,Fr,De)",阿达一族
"Addams Family, The (Japan)",阿达一族
"Addams Family, The (USA)",阿达一族
"Addams Family, The (USA) (Arcade)",阿达一族
"Addams Family, The - Pugsley's Scavenger Hunt (Europe)",阿达一族 3
"Addams Family, The - Pugsley's Scavenger Hunt (USA)",阿达一族 3
"Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta 1)",阿达一族 3
"Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta 2)",阿达一族 3
Advanced Dungeons & Dragons - Eye of the Beholder (USA),龙与地下城 - 行者之眼
"Adventures of Batman & Robin, The (Europe)",蝙蝠侠与罗宾大冒险
"Adventures of Batman & Robin, The (USA)",蝙蝠侠与罗宾大冒险
"Adventures of Dr. Franken, The (Europe) (En,Fr,De,Es,It,Nl,Sv)",科学怪人的冒险
"Adventures of Dr. Franken, The (USA)",科学怪人的冒险
"Adventures of Kid Kleets, The (USA) (En,Fr,Es)",足球小子的冒险
"Adventures of Mighty Max, The (Europe)",超能麦克斯大冒险
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",松鼠与麋鹿
"Adventures of the Rocketeer, The (Japan)",火箭人历险记
Adventures of Yogi Bear (USA),瑜伽熊历险记
Aero Fighters (USA),铁鹰战士
Aero the Acro-Bat (Europe),飞天蝙蝠
Aero the Acro-Bat (USA),飞天蝙蝠
Aero the Acro-Bat (World) (Evercade),飞天蝙蝠
Aero the Acro-Bat 2 (Europe),飞天蝙蝠 2
Aero the Acro-Bat 2 (USA),飞天蝙蝠 2
Aero the Acro-Bat 2 (USA) (Beta) (1994-08-08),飞天蝙蝠 2
Aerobiz (USA),航空产业
Aerobiz Supersonic (USA),航空产业 超音速版
Aguri Suzuki F-1 Super Driving (Europe),铃木亚久里F1超级赛车
AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan),A列车 3 超级版
Air Cavalry (Europe),空中骑兵直昇机
Air Cavalry (USA),空中骑兵直昇机
Air Management - Oozora ni Kakeru (Japan),航空产业
Air Management - Oozora ni Kakeru (Japan) (Rev 1),航空产业
Air Management II - Koukuu Ou o Mezase (Japan),航空产业 2
Akagawa Jirou - Majo-tachi no Nemuri (Japan),赤川次郎 - 魔女之眠
Akagawa Jirou - Majo-tachi no Nemuri (Japan) (Rev 1),赤川次郎 - 魔女之眠
Akazukin Chacha (Japan),小红帽恰恰
Akumajou Dracula (Japan),恶魔城
Akumajou Dracula (Japan) (Beta) (1991-06-14),恶魔城
Akumajou Dracula (Japan) (Castlevania Anniversary Collection),恶魔城
Akumajou Dracula (Japan) (Virtual Console),恶魔城
Akumajou Dracula XX (Japan),恶魔城 XX
Akumajou Dracula XX (Japan) (Castlevania Advance Collection),恶魔城 XX
Al Unser Jr.'s Road to the Top (Europe),飞驰至顶点
Al Unser Jr.'s Road to the Top (USA),飞驰至顶点
Aladdin (Europe),阿拉丁
Aladdin (France),阿拉丁
Aladdin (Germany),阿拉丁
Aladdin (Japan),阿拉丁
Aladdin (Spain),阿拉丁
Aladdin (USA),阿拉丁
Aladdin (USA) (Beta),阿拉丁
Aladdin (World) (Disney Classic Games),阿拉丁
Aladdin 2000 (USA) (Pirate),阿拉丁 2000
Albert Odyssey (Japan),英雄圣战
Albert Odyssey (Japan) (Rev 1),英雄圣战
Albert Odyssey 2 - Jashin no Taidou (Japan),英雄圣战 2 - 邪神之胎动
Alcahest (Japan),地底魔神
Alfred Chicken (Europe),神鸡艾烈佛
Alfred Chicken (Europe) (Beta),神鸡艾烈佛
Alice no Paint Adventure (Japan),爱丽丝的绘画冒险
Alien 3 (Europe),异形 3
Alien 3 (Japan),异形 3
Alien 3 (USA),异形 3
Alien 3 (USA) (Beta 1),异形 3
Alien 3 (USA) (Beta 2),异形 3
Alien 3 (USA) (Beta 3),异形 3
Alien 3 (USA) (Rev 1),异形 3
Alien vs Predator (Europe),异形对终极战士
Alien vs Predator (USA),异形对终极战士
Aliens vs. Predator (Japan),异形对终极战士
All-American Championship Football (Europe),全美冠军足球赛
"Amazing Spider-Man, The - Lethal Foes (Japan)",神奇蜘蛛侠 - 致命强敌
Amazing Tennis (Japan) (En),大卫克拉尼网球
America Oudan Ultra Quiz (Japan),美国横断
American Battle Dome (Japan),对战弹珠台
American Gladiators (USA),美国电视斗士
"American Tail, An - Fievel Goes West (Europe)",美国鼠谭 - 西部枪鼠
"American Tail, An - Fievel Goes West (USA)",美国鼠谭 - 西部枪鼠
Ancient Magic - Bazoe! Mahou Sekai (Japan),魔法世界
Andre Agassi Tennis (Japan) (En),阿格西网球
Andre Agassi Tennis (USA),阿格西网球
Angelique (Japan),女王学院
Angelique - Premium Box (Japan),安琪莉可 - 高级版
Angelique - Voice Fantasy (Japan),安琪莉可 - 语音幻想
Animal Buranden - Brutal (Japan),动物武斗传
Animaniacs (Europe),卡通集锦
Animaniacs (Japan),卡通集锦
Animaniacs (USA),卡通集锦
Animaniacs (USA) (Beta) (1994-06-11),卡通集锦
Another World (Europe),另一个世界
Aoki Densetsu Shoot! (Japan),足球风云
Aoki Densetsu Shoot! (Japan) (Beta),足球风云
Apocalypse II (Europe) (Proto 1),启示录 2
