Name EN,Name CN
"Animal Crossing - Amiibo Festival (USA) (En,Fr,Es)",动物之森 - Amiibo节日
"Bayonetta (USA) (En,Ja,Fr,De,Es,It)",猎天使魔女
"Bayonetta 2 (USA) (En,Ja,Fr,De,Es,It)",猎天使魔女 2
"Captain Toad - Treasure Tracker (USA) (En,Fr,Es)",蘑菇队长 奇诺比奥 - 宝藏追踪者
"Donkey Kong Country - Tropical Freeze (USA) (En,Fr,Es)",大金刚国度 - 热带寒流
"Hyrule Warriors (USA) (En,Fr,Es)",塞尔达无双
"Just Dance 2017 (USA) (En,Fr,Es,Pt)",舞力全开 2017
"Kirby and the Rainbow Curse (USA) (En,Fr,Es)",卡比与彩虹诅咒
"Legend of Zelda, The - The Wind Waker HD (USA, Asia) (En,Fr,Es)",塞尔达传说 - 风铃
"Legend of Zelda, The - Twilight Princess HD (USA) (En,Fr,Es) (Rev 2)",塞尔达传说 - 暮光公主
"Mario & Sonic at the Sochi 2014 Olympic Winter Games (USA) (En,Fr,Es)",马里奥与索尼克在冬季奥运会
"Mario Kart 8 (USA) (En,Fr,Es)",马里奥卡丁车 8
"Mario Party 10 (USA) (En,Fr,Es)",马里奥派对 10
"Mario Tennis - Ultra Smash (USA) (En,Fr,Es)",马里奥网球 - 超级粉碎
Monster Hunter 3 Ultimate (USA),怪物猎人 3
"New Super Luigi U (USA) (En,Fr,Es)",新超级路易吉 U
"New Super Mario Bros. U (USA) (En,Fr,Es) (Rev 2)",新超级马里奥兄弟 U
"Nintendo Land (USA) (En,Fr,Es)",任天堂大陆
"Paper Mario - Color Splash (USA) (En,Fr,Es)",纸马里奥色斑
"Pikmin 3 (USA) (En,Fr,Es) (Rev 1)",皮克敏 3
"Pokken Tournament (USA) (En,Fr,Es)",口袋铁拳锦标赛
"Rodea the Sky Soldier (USA) (En,Ja,Fr,De)",天空机士罗迪亚
"Sonic Lost World (USA) (En,Ja,Fr,De,Es,It)",索尼克失落世界
"Splatoon (USA) (En,Fr,Es)",喷射战士
"Star Fox Guard (USA) (En,Fr,Es)",星狐警卫队
"Star Fox Zero (USA) (En,Fr,Es)",星际火狐 - 零
"Super Mario 3D World (USA) (En,Fr,Es)",超级马里奥3D世界
"Super Mario Maker (USA) (En,Fr,Es)",马里奥制造
"Super Smash Bros. for Wii U (USA) (En,Fr,Es)",任天堂明星大乱斗  WiiU
"Tekken Tag Tournament 2 - Wii U Edition (USA) (En,Fr,Es) (Rev 1)",铁拳 TT2 WiiU
"Transformers Prime - The Game (USA) (En,Fr)",变形金刚 Prime
Tokyo Mirage Sessions FE (USA),幻影异闻录
"Wii Fit U (USA) (En,Fr,Es) (Rev 2)",Wii Fit U
"Wii Party U (USA) (En,Fr,Es) (Rev 1)",Wii派对 U
"Wii Sports Club (USA) (En,Fr,Es) (Rev 1)",Wii运动俱乐部
"Wonderful 101, The (USA) (En,Ja)",精彩的 101
"Xenoblade Chronicles X (USA) (En,Fr,Es)",异度之刃 X
