Name EN,Name CN
Metal Slug Anthology (USA),合金弹头精选集
"Mario Strikers Charged Football (Europe) (En,Fr,De,Es,It) (Rev 2)",马里奥激情足球
"Wii Play (Europe, Australia) (En,Fr,De,Es,It)",Wii第一次接触
"Monster 4x4 - World Circuit (Europe) (En,Fr,De,Es,It)",怪物四驱 - 世界巡回赛
"Link's Crossbow Training (USA) (En,Fr,Es) (Rev 1)",林克的弓箭训练
"Legend of Zelda, The - Twilight Princess (USA)",塞尔达传说 - 黎明公主
Wii Sports (USA),Wii运动
"Rayman - Raving Rabbids 2 (Europe) (En,Fr,De,Es,It,Nl)",雷曼 - 疯狂兔子2
Samurai Warriors - Katana (USA),战国无双 - KATANA
"Mario & Sonic at the Olympic Games (Europe) (En,Fr,De,Es,It)",马里奥与索尼克在北京奥运
"Mario Party 8 (Europe, Australia) (En,Fr,De,Es,It) (Rev 1)",马里奥派对8
"Resident Evil - The Umbrella Chronicles (Europe) (En,Fr,De,Es,It)",生化危机 - 安布雷拉编年史
Super Mario Galaxy (Japan),超级马里奥银河
"Sonic Unleashed (USA) (En,Ja,Fr,De,Es,It)",索尼克 - 释放
Wii Sports (USA) (Rev 1),Wii运动
"Rayman - Raving Rabbids 2 (USA) (En,Fr,Es)",雷曼 - 疯狂兔子2
Super Smash Bros. Brawl (USA) (Rev 2),任天堂明星大乱斗X
"Mario Kart Wii (USA) (En,Fr,Es)",马里奥赛车Wii
"Mario Party 8 (USA, Asia) (Rev 2)",马里奥派对8
Marvel - Ultimate Alliance (USA),漫威终极联盟
Metroid Prime 3 - Corruption (USA),密特罗德究极3 - 腐蚀
"Prince of Persia - Rival Swords (USA) (En,Fr,Es)",波斯王子 - 宿敌之剑
"Rayman - Raving Rabbids (USA) (En,Fr,Es)",雷曼 - 疯狂兔子
"Simpsons Game, The (USA)",辛普森一家
"Super Mario Galaxy (USA) (En,Fr,Es)",超级马里奥银河
Tatsunoko vs. Capcom - Cross Generation of Heroes (Japan) (Rev 1),龙之子对卡普空
"Metroid Prime 3 - Corruption (Europe) (En,Fr,De,Es,It)",密特罗德究极3 - 腐蚀
"Super Mario Galaxy (Europe, Australia) (En,Fr,De,Es,It)",超级马里奥银河
"WarioWare - Smooth Moves (Europe) (En,Fr,De,Es,It)",瓦里奥制造 - 手舞足蹈
"Wii Sports (Europe, Australia) (En,Fr,De,Es,It)",Wii运动
"Mario Party 8 (Europe) (En,Fr,De,Es,It)",马里奥派对8
Deal or No Deal (USA),一掷千金
"Wii Play (Europe) (En,Fr,De,Es,It) (Rev 1)",Wii第一次接触
"Ookami (Europe) (En,Fr,De)",大神
"Wii Sports (Europe) (En,Fr,De,Es,It) (Rev 1)",Wii运动
"Crash of the Titans (Scandinavia) (En,Sv,No,Da,Fi)",古惑狼 - 泰坦巨人
"Mario Kart Wii (Europe, Australia) (En,Fr,De,Es,It)",马里奥赛车Wii
"Guitar Hero III - Legends of Rock (Europe) (En,Fr,De,Es,It)",吉他英雄3 - 摇滚传奇
"Guitar Hero - Aerosmith (Europe) (En,Fr,De,Es,It)",吉他英雄 - 空中铁匠乐队
"Disney High School Musical - Sing It! (Europe) (En,Fr,De,Es,It)",歌舞青春
"Castlevania Judgment (Europe) (En,Fr,De,Es,It)",恶魔城 - 审判
Super Smash Bros. Brawl (USA) (Rev 1),任天堂明星大乱斗X
"Trauma Center - Second Opinion (Europe) (En,Fr,De,Es,It)",超执刀 - 再次执刀
"Chronicles of Narnia, The - Prince Caspian (Europe) (De,It)",纳尼亚传奇 - 凯斯宾王子
Super Paper Mario (USA),超级纸片马里奥
"Resident Evil 4 - Wii Edition (Europe) (En,Fr,De,Es,It)",生化危机4
"Let's Tap (Europe) (En,Fr,De,Es,It)",一起来拍打
