Name EN,Name CN
Real Pinball (Europe),真实弹珠台
"Alone in the Dark (Europe) (En,Fr)",鬼屋魔影
Immercenary - Combat in a Digital World (USA),完美世界 - 数字世界中的战斗
Fatty Bear's Birthday Surprise (USA),胖熊的生日惊喜
Iron Angel of the Apocalypse - The Return (USA),世界末日的铁天使 - 回归
FIFA International Soccer (Europe),FIFA世界杯
"Sewer Shark (USA, Europe)",下水道鲨鱼
World Cup Golf - Hyatt Dorado Beach (Europe),高尔夫世界杯 - 凯悦多拉多海滩
T&E VR Golf - Pebble Beach no Hatou (Japan),VR高尔夫 - 圆石滩球场
Kakinoki Shougi (Japan),柿木将棋
NFL Madden Football (Japan),NFL疯狂橄榄球
Policenauts - Pilot Disk (Japan),宇宙骑警 - 飞行员
Foes of Ali (Europe),阿里的敌人
Star Fighter (Europe) (Demo),星际战士
True Golf Classics - Pebble Beach Golf Links (Europe),高尔夫经典 - 圆石滩高尔夫林克斯球场
Twisted - The Game Show (Europe),扭曲 - 游戏秀
Road Rash (Europe),暴力摩托
"Starblade (Europe, Germany)",星际之刃
"Daedalus Encounter, The (USA) (Disc 1)",宇宙冒险家
"Daedalus Encounter, The (USA) (Disc 3)",宇宙冒险家
"Daedalus Encounter, The (USA) (Disc 4)",宇宙冒险家
Space Hulk - Vengeance of the Blood Angels (Europe),太空战舰
Super Wing Commander (Europe),银河飞将
Super Street Fighter II Turbo (Europe),街头霸王2 - 加速版
Total Eclipse (Europe),心之全蚀
John Madden Football (USA),约翰麦登橄榄球
John Madden NFL Football (Europe),约翰麦登橄榄球
T&E VR Golf - Masters - Harukanaru Augusta 3 (Japan),VR高尔夫 - Masters - 遥远的苍星3
T&E VR Golf - Waialae no Kiseki (Japan),VR高尔夫 - 瓦乐奇迹
T&E VR Golf - Devil's Course (Japan),VR高尔夫 - 死亡谷国家公园
Alone in the Dark (Japan),鬼屋魔影
Starblade (Japan),星际之刃
Shock Wave (Japan),冲击波
Shock Wave - Operation JumpGate (Japan),冲击波
AutoBahn Tokio (Japan),东京时速
Road & Track Presents - OverDrivin' (Japan),极品飞车
MegaRace (Japan),烈火战车
Crash 'n Burn (Japan),日食战机
Star Wars - Rebel Assault (Japan),星球大战 - 义军进攻
Total Eclipse (Japan),心之全蚀
Way of the Warrior (Japan),战士之路
"Gex (USA, Europe)",蜥蜴
Wing Commander III - Heart of the Tiger (Germany) (Disc 1),银河飞将3 - 猛虎之心
Wing Commander III - Heart of the Tiger (Germany) (Disc 2),银河飞将3 - 猛虎之心
Wing Commander III - Heart of the Tiger (Germany) (Disc 3),银河飞将3 - 猛虎之心
Wing Commander III - Heart of the Tiger (Germany) (Disc 4),银河飞将3 - 猛虎之心
Total Eclipse (Korea),心之全蚀
Captain Quazar (USA),Q上尉
Myst (Japan),神秘岛
Doctor Hauzer (Japan),浩泽博士
"Return Fire (Japan, Europe) (En,Ja,Fr,De,Es,It,Pt,Ko,Ru,Ar)",救援炮火
Pyramid Intruder (Japan),金字塔入侵者
Battle Pinball (Japan),战斗弹珠台
Virtual Cameraman Part 2 - Natsumi Kawai & Kimi Tachihara (Japan),虚拟摄影师2 - 可爱夏美&立原贵美
Virtual Cameraman Part 1 - Naomi Sawada & Anna Juri (Japan),虚拟摄影师1 - 泽田奈绪美&树里あんな
Yamamura Misa Suspense - Kyoto Kurama Sansou Satsujin Jiken (Japan) (Disc 2),山村美沙悬疑 - 京都鞍马山庄杀人事件
Yamamura Misa Suspense - Kyoto Kurama Sansou Satsujin Jiken (Japan) (Disc 1),山村美沙悬疑 - 京都鞍马山庄杀人事件
Nishimura Kyoutarou Travel Mystery - Akugyaku no Kisetsu - Tokyo Nanki Shirahama Renzoku Satsujin Jiken (Japan) (Disc 2),西村京太郎旅行悬疑 - 凶恶的季节东京南纪白滨连续杀人事件
Nishimura Kyoutarou Travel Mystery - Akugyaku no Kisetsu - Tokyo Nanki Shirahama Renzoku Satsujin Jiken (Japan) (Disc 1),西村京太郎旅行悬疑 - 凶恶的季节东京南纪白滨连续杀人事件
Powers Kingdom (Japan),力量王国
"Gex (Japan, Korea)",蜥蜴
Insector War (Japan),杀虫战记
Supreme Warrior (USA) (Disc 2) (Wind & Fang Tu),英雄
Road Rash (USA),暴力摩托
"Lost Files of Sherlock Holmes, The (USA)",福尔摩斯丢失的档案
Killing Time (USA) (RE1),杀戮时刻
"Road & Track Presents - The Need for Speed (USA, Europe)",极品飞车
"Horde, The (World)",部落
"Return Fire (USA, Europe)",救援炮火
Return Fire - Maps O' Death (Europe),救援炮火 - 死亡地图
Syndicate (Europe),暴力辛迪加
"Slam 'n Jam '95 (USA, Europe)",詹姆士灌篮95
"Star Fighter (USA, Europe)",星际战士
"Theme Park (Europe) (En,Fr)",主题公园
"Primal Rage (USA, Europe)",原始之怒
"Samurai Shodown (USA, Europe)",侍魂
"D (USA, Europe) (Disc 1)",D之食卓
"D (USA, Europe) (Disc 2)",D之食卓
Myst (Germany),神秘岛
Nobunaga no Yabou - Haouden (Japan),信长之野望霸王传
Game no Tatsujin (Japan),游戏达人
Wolfenstein 3D (USA),德军总部3D
