EN Name,CN Name
"Bakumatsu Rouman Tokubetsu Hen - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana (Japan)",月华剑士 (日版)
"Baseball Stars Color - Pocket Sports Series (World) (En,Ja)","明星棒球彩色版 (世界版) (En,Ja)"
"Big Bang Pro Wrestling (Japan) (En,Ja)","职业摔角大赛 (日版) (En,Ja)"
Bikkuriman 2000 - Viva! Pocket Festival! (Japan),胜利者2000-万岁!口袋节日 (日版)
Biomotor Unitron (Japan),机甲世纪 (日版)
"Biomotor Unitron (USA, Europe)","机甲世纪 (美版, 欧版)"
Biomotor Unitron (Japan) (Beta),机甲世纪 (日版) (Beta)
Bust-A-Move Pocket (USA),泡泡龙方块 (美版)
Bust-A-Move Pocket (USA) (Beta),泡泡龙方块 (美版) (Beta)
"Cool Boarders Pocket (Japan, Europe) (En,Ja)","口袋酷滑板 (日版, 欧版) (En,Ja)"
Cool Cool Jam (Japan),酷酷杰姆 (日版)
Cool Cool Jam (USA) (Proto),酷酷杰姆 (美版) (Proto)
"Crush Roller (World) (En,Ja)","刷子与滚筒 (世界版) (En,Ja)"
"Dark Arms - Beast Buster 1999 (World) (En,Ja)","黑暗兵器 (世界版) (En,Ja)"
"Delta Warp (Japan) (En,Ja)","扭转三角 (日版) (En,Ja)"
Delta Warp (Japan) (Beta),扭转三角 (日版) (Beta)
Densetsu no Ogre Battle Gaiden - Zenobia no Ouji (Japan),皇家骑士团外传-赞诺比亚的皇子 (日版)
Densha de Go! 2 on Neo Geo Pocket (Japan),电车向前冲2 (日版)
Densha de Go! 2 on Neo Geo Pocket (Japan) (Beta),电车向前冲2 (日版) (Beta)
"Dive Alert - Becky's Version (USA, Europe)","下潜警报-贝基篇 (美版, 欧版)"
Dive Alert - Burn Hen (Japan),下潜警报-巴恩篇 (日版)
Dive Alert - Burn Hen (Japan) (Beta),下潜警报-巴恩篇 (日版) (Beta)
"Dive Alert - Matt's Version (USA, Europe)","下潜警报-马特篇 (美版, 欧版)"
Dive Alert - Rebecca Hen (Japan),下潜警报-吕贝卡篇 (日版)
Dokodemo Mahjong (Japan),随身麻将 (日版)
"Dynamite Slugger (Japan, Europe) (En,Ja)","爆裂棒球 (日版, 欧版) (En,Ja)"
Evolution - Eternal Dungeons (Europe),神机世界-进化!无尽迷宫 (欧版)
Fantastic Night Dreams - Cotton (Europe),棉花小魔女-幻想夜梦 (欧版)
Fantastic Night Dreams - Cotton (Japan),棉花小魔女-幻想夜梦 (日版)
Faselei! (Europe),法塞雷 (欧版)
Faselei! (Japan),法塞雷 (日版)
"Fatal Fury F-Contact - Pocket Fighting Series (World) (En,Ja)","饿狼传说-初次接触 (世界版) (En,Ja)"
Ganbare Neo Poke-kun (Kari) (Japan),加油!NGP君 (Kari) (日版)
Infinity Cure (Japan),时光的羁绊 (日版)
Kikou Seiki Unitron - Sono Tsuide. Hikari Umareru Chi Yori. (Japan),机甲世纪2 (日版)
"King of Fighters R-2 - Pocket Fighting Series (World) (En,Ja)","拳皇R-2 (世界版) (En,Ja)"
"King of Fighters R-2 - Pocket Fighting Series (World) (En,Ja) (Beta)","拳皇R-2 (世界版) (En,Ja) (Beta)"
"King of Fighters R-2 Version 2 - Pocket Fighting Series (World) (En,Ja) (Beta)","拳皇R-2 V2 (世界版) (En,Ja) (Beta)"
"King of Fighters, The - Battle de Paradise (Japan)",拳皇-战斗天堂 (日版)
Koi Koi Mahjong (Japan),恋恋麻将 (日版)
"Last Blade, The - Beyond the Destiny (USA, Europe)","月华剑士 (美版, 欧版)"
Magical Drop Pocket (Japan),口袋魔法气泡 (日版)
"Magical Drop Pocket (USA, Europe)","口袋魔法气泡 (美版, 欧版)"
Magical Drop Pocket (Japan) (Beta),口袋魔法气泡 (日版) (Beta)
Memories Off - Pure (Japan),纯真回忆 (日版)
"Metal Slug - 1st Mission (World) (En,Ja)","合金弹头-一号任务 (世界版) (En,Ja)"
"Metal Slug - 2nd Mission (World) (En,Ja)","合金弹头-二号任务 (世界版) (En,Ja)"
"Metal Slug - 2nd Mission (World) (En,Ja) (Beta)","合金弹头-二号任务 (世界版) (En,Ja) (Beta)"
Mezase! Kanji Ou (Japan),目标!汉字王 (日版)
Mizuki Shigeru no Youkai Shashinkan (Japan),水木茂的妖怪照相馆 (日版)
Neo 21 - Pocket Casino Series (World),NEO21点 (世界版)
"Neo Baccarat - Pocket Casino Series (Japan, Europe)","NEO巴克拉牌 (日版, 欧版)"
"Neo Baccarat - Pocket Casino Series (Japan, Europe) (Beta)","NEO巴克拉牌 (日版, 欧版) (Beta)"
"Neo Cherry Master Color - Pocket Casino Series (World) (En,Ja)","NEO水果机大师 (世界版) (En,Ja)"
"Neo Cherry Master Color - Pocket Casino Series (World) (En,Ja) (Beta)","NEO水果机大师 (世界版) (En,Ja) (Beta)"
Neo Derby Champ Daiyosou (Japan),NEO德比冠军赛马-大预想 (日版)
"Neo Dragon's Wild - Pocket Casino Series (World) (En,Ja)","NEO野龙扑克 (世界版) (En,Ja)"
"Neo Dragon's Wild - Real Casino Series (World) (En,Ja) (Beta)","NEO野龙扑克 (世界版) (En,Ja) (Beta)"
"Neo Mystery Bonus - Pocket Casino Series (World) (En,Ja)","NEO神秘奖金 (世界版) (En,Ja)"
Neo Poke Pro Yakyuu (Japan),NEO职业棒球 (日版)
"Neo Turf Masters (World) (En,Ja)","NEO大联盟高尔夫 (世界版) (En,Ja)"
"Neo Turf Masters (World) (En,Ja) (Beta)","NEO大联盟高尔夫 (世界版) (En,Ja) (Beta)"
"NeoGeo Cup '98 Plus Color - Pocket Sports Series (World) (En,Ja)","NEO世界杯98 (世界版) (En,Ja)"
Nige-ron-pa (Japan),尼哥龙帕 (日版)
Oekaki Puzzle (Japan),绘画拼图 (日版)
"Pac-Man (World) (En,Ja)","吃豆人 (世界版) (En,Ja)"
Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan),柏青嫂阿尔赛王国-阿兹台克 (日版)
Pachi-Slot Aruze Oukoku Pocket - Dekahel 2 (Japan),柏青嫂阿尔赛王国-德卡黑尔2 (日版)
Pachi-Slot Aruze Oukoku Pocket - Delsol 2 (Japan),柏青嫂阿尔赛王国-德尔所尔2 (日版)
Pachi-Slot Aruze Oukoku Pocket - e-Cup (Japan),柏青嫂阿尔赛王国-E杯 (日版)
Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan) (Beta),柏青嫂阿尔赛王国-火花 (日版) (Beta)
Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan),柏青嫂阿尔赛王国-火花 (日版)
Pachi-Slot Aruze Oukoku Pocket - Ohhanabi (Japan),柏青嫂阿尔赛王国-大花火 (日版)
Pachi-Slot Aruze Oukoku Pocket - Porcano 2 (Japan),柏青嫂阿尔赛王国-波卡诺2 (日版)
Pachi-Slot Aruze Oukoku Pocket - Ward of Lights (Japan),柏青嫂阿尔赛王国-光之圣炬 (日版)
Pachinko Hisshou Guide - Pocket Parlor (Japan),柏青嫂必胜指南-掌上小店 (日版)
Party Mail (Japan),舞会信件 (日版)
Party Mail (Japan) (Beta),舞会信件 (日版) (Beta)
"Picture Puzzle (USA, Europe)","图片方块 (美版, 欧版)"
Pocket Love - if (Japan),口袋恋爱-假如 (日版)
Pocket Reversi (Europe),口袋黑白棋 (欧版)
Pocket Reversi (Japan),口袋黑白棋 (日版)
"Pocket Tennis Color - Pocket Sports Series (World) (En,Ja)","口袋网球 (世界版) (En,Ja)"
PP-AA01 - Pusher - Program - Hontai Controller Gawa (Japan),PP-AA01设置程序 (日版)
"Puyo Pop (World) (En,Ja) (Beta)","魔法泡泡 (世界版) (En,Ja) (Beta)"
"Puyo Pop (World) (En,Ja)","魔法泡泡 (世界版) (En,Ja)"
