Name EN,Name CN
"Baseball Stars - Pocket Sports Series (Japan, Europe) (En,Ja)",明星棒球
"King of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja)",拳皇R-1
King of Fighters R-1 - Pocket Kakutou Series & Melon-chan no Seichou Nikki (Japan) (Demo),拳皇R-1
Melon-chan no Seichou Nikki (Japan),小瓜子成长日记
"Neo Cherry Master - Real Casino Series (Japan) (En,Ja)",NEO水果机大师
"NeoGeo Cup '98 (Japan, Europe) (En,Ja)",NEO世界杯98
"Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja)",口袋网球
Renketsu Puzzle Tsunagete Pon! (Japan),联结方块
"Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja)",侍魂
Shougi no Tatsujin (Japan),将棋达人
