Name EN,Name ZH
Mortal Kombat Gold (Europe),真人快打黄金版
"Sonic Adventure (Europe) (En,Ja,Fr,De,Es)",索尼克大冒险
Tomb Raider - The Last Revelation (Europe),古墓丽影 - 最终启示
Tomb Raider Chronicles (Europe),古墓丽影 5 - 历代记
Star Wars - Episode I - Racer (USA),星球大战前传 - 竞速赛车
Sword of the Berserk - Guts' Rage (USA),剑风传奇 - 暴怒之力
Soulcalibur (USA),灵魂能力
Sega Rally 2 (USA),世嘉拉力 - 进化 2
Slave Zero (USA),零号奴隶
Sega GT (USA),世嘉GT
Who Wants to Be a Millionaire (Europe),谁想成为百万富翁
Resident Evil - Code - Veronica (USA) (Disc 1),生化危机 - 代号维罗妮卡
Resident Evil - Code - Veronica (USA) (Disc 2),生化危机 - 代号维罗妮卡
"Sonic Adventure (USA) (En,Ja,Fr,De,Es) (Rev A)",索尼克大冒险
Dino Crisis (USA),恐龙危机
Tomb Raider - The Last Revelation (USA),古墓丽影 - 最终启示
"Phantasy Star Online Ver. 2 (USA) (En,Ja,Fr,De,Es)",梦幻之星在线 - V2
"Phantasy Star Online (USA) (En,Ja,Fr,De,Es)",梦幻之星在线
Nightmare Creatures II (USA),恶梦鬼魅 2
Shenmue (USA) (Disc 1),莎木
Shenmue (USA) (Disc 2),莎木
Shenmue (USA) (Disc 3),莎木
Shenmue (USA) (Shenmue Passport),莎木
Vigilante 8 - 2nd Offense (Europe),武装战斗车 - 二次进攻
Sydney 2000 (Japan),悉尼 2000
Eisei Meijin III - Game Creator Yoshimura Nobuhiro no Zunou (Japan),永世名人 3 - 游戏制作人野田佳彦
Dreamkey (Europe) (Rev B),
"Dreamon Volume 1 (Europe) (En,Fr,De,Es)",
"ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es)",啾啾火箭队
"UEFA Dream Soccer (France) (En,Fr,De,Es)",UEFA梦幻足球
Super Runabout - San Francisco Edition (Europe),超级秘宝赛车 - 旧金山
"Toy Racer (Europe) (En,Fr,De,Es)",玩具总动员赛车
Tomb Raider IV - The Last Revelation (Germany),古墓丽影 5 - 最终启示录
Resident Evil 3 - Nemesis (Europe),生化危机 3 - 复仇女神
Resident Evil 3 - Nemesis (Germany),生化危机 3 - 复仇女神
Dreamkey (Europe),
"Dreamkey Version 2.0 (Europe) (En,Fr,De,Es,It)",
Kaen Seibo - The Virgin on Megiddo (Japan) (Disc 1),火焰圣母 - 米吉多圣女
Kaen Seibo - The Virgin on Megiddo (Japan) (Disc 2),火焰圣母 - 米吉多圣女
Sakura Taisen Online - Paris no Yuuga na Hibi (Japan),樱花大战在线 - 巴黎在燃烧吗
Sakura Taisen 4 - Koi seyo Otome - Preview Disc (Japan),
Climax Landers (Japan),秘境魔宝英雄会
Tokyo Xtreme Racer (USA),首都高赛车
Super Runabout (Japan),超级秘宝赛车
Monaco Grand Prix Racing Simulation 2 (Japan),摩纳哥大奖赛 - 模拟赛车 2
Berserk - Millennium Falcon-hen - Wasurebana no Shou (Japan),烙印战士 - 千年帝国之鹰编 丧失花之章
Crazy Taxi (Japan),疯狂出租车
Blue Stinger (Japan),苍蓝刺针
Cool Boarders Burrrn! (Japan),劲爆滑雪 - 燃烧
Death Crimson 2 (Japan),死亡之枪 2
Buggy Heat (Japan),热力四驱
Gundam Battle Online (Japan),高达战斗 在线
F355 Challenge (Japan),法拉利F355挑战赛
Redline Racer (Japan),极速机车赛
"Ready 2 Rumble Boxing - Uchikome Warai no Megaton Punch!! (Japan) (En,Ja,Fr,De)",爆笑拳击 - 打入笑声的兆吨重拳
Psychic Force 2012 (Japan),超能力格斗 2012
Happy Lesson - First Lesson (Japan),
Sega GT - Homologation Special (Japan),世嘉GT 特别认证版
"Dreamon Collection 2 (Europe) (En,Fr,De,Es)",
Hydro Thunder (USA) (Rev 1),雷霆快艇
"Expendable (USA) (En,Fr,De,Es,It)",敢死队
"Conflict Zone (Europe) (En,Fr,De)",战争启示录
Shutokou Battle (Japan),首都高赛车
Sega Rally 2 (Japan),世嘉拉力 - 进化 2
Shutokou Battle 2 (Japan),首都高赛车 2
Star Gladiator 2 - Nightmare of Bilstein (Japan),星际斗士 2 - 比尔斯坦的噩梦
Super Speed Racing (Japan),超级方程式赛车
Virtua Athlete 2K (Japan),VR运动会 2K
Yume Baken '99 - Internet (Japan),
"Virtua Striker 2 Ver. 2000.1 (Japan) (En,Ja,Fr,De,Es)",VR足球 2 - Ver.2000.1
Zombie Revenge (Japan) (Rev A),僵尸复仇
Sakura Taisen Online - Teito no Nagai Hibi (Japan),樱花大战在线 - 帝都漫长的一天
ECW Anarchy Rulz (Europe),ECW混沌摔角
ECW Hardcore Revolution (Europe),全美职业摔跤
Freestyle Scooter (Europe),自由滑板车
Floigan Bros. - Episode 1 (Europe),弗罗刚兄弟 - 第一章
"Heavy Metal - Geomatrix (Europe) (En,Fr,De,Es)",重金属格斗
Virtua Fighter 3tb (Europe),VR战士 3tb
"Phantasy Star Online (Europe) (En,Ja,Fr,De,Es)",梦幻之星在线
"Rayman 2 - The Great Escape (Europe) (En,Fr,De,Es,It)",雷曼 2 - 胜利大逃亡
"Quake III - Arena (Europe) (En,Fr,De,Es)",雷神之锤 3 - 竞技场
WWF Attitude (Europe),世界摔角联盟 - A时代
"Virtua Tennis - Sega Professional Tennis (Europe) (En,Fr,De,Es)",VR网球 - 世嘉专业网球
"Virtua Tennis 2 - Sega Professional Tennis (Europe) (En,Fr,De,Es)",VR网球 2 - 世嘉专业网球
"NBA 2K (Europe) (En,Fr,De,Es)",美国职业篮球联赛 2K
"F1 World Grand Prix for Dreamcast (Europe) (En,Fr,De,Es)",F1世界锦标赛
GK - Giant Killers (Europe),巨人杀手
"Planet Ring (Europe) (En,Fr,De,Es,It)",行星小子
"MSR - Metropolis Street Racer (Europe) (En,Fr,De,Es) (Rev B)",MSR大都市赛车
Blue Stinger (Europe),苍蓝刺针
"European Super League (Europe) (En,Fr,De,Es,It,Pt)",欧洲杯超级足球联赛
"House of the Dead 2, The (Europe)",死亡之屋 2
"90 Minutes - Sega Championship Football (Europe) (En,Fr,De,Es,It)",90分钟 - 世嘉冠军足球赛
"Sonic Adventure 2 - The Trial (Europe) (En,Ja)",
"Fighting Vipers 2 (Europe) (En,Ja,Fr,De,Es,It)",格斗之蛇 2
"Rez (Europe) (En,Ja,Fr,De,Es,It)",解禁
Tech Romancer (Europe),超钢战记
Grandia II (Europe),格兰蒂亚 2
Under Defeat (Japan),天翔铁骑
Super Robot Taisen Alpha (Japan),超级机器人大战 Alpha
Dreamkey Version 1.5 (Europe),
"King of Fighters, The - Dream Match 1999 (Japan) (En,Ja,Es,Pt)",拳皇 - 梦幻对决 1999
Street Fighter Alpha 3 (Europe),少年街霸 3
