Name EN,Name ZH
5 in One FunPak (USA),娱乐5合1(美版)
Aa Harimanada (Japan),播磨滩相扑(日版)
"Addams Family, The (World)",阿达一族(世界)
"Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)","蝙蝠侠与罗宾的冒险(美版,欧版,巴西)(英)"
Aerial Assault (World),空中突击(世界)
Aerial Assault (World) (Rev 1),空中突击(世界)(版本1)
Aladdin (Japan),阿拉丁(日版)
"Aladdin (USA, Europe, Brazil) (En)","阿拉丁(美版,欧版,巴西)(英)"
Alien 3 (Japan),异型3(日版)
"Alien 3 (USA, Europe)","异型3(美版,欧版)"
Alien Syndrome (Europe),异型特攻队(欧版)
Alien Syndrome (Japan),异型特攻队(日版)
Andre Agassi Tennis (USA),阿加西网球(美版)
Arcade Classics (USA),街机游戏合集(美版)
Arch Rivals - The Arcade Game (USA),双人篮球(美版)
Archer Maclean's Dropzone (Europe),超级月面地带(欧版)
"Arena (USA, Europe)","阿雷那(美版,欧版)"
"Ariel - The Little Mermaid (USA, Europe, Brazil) (En)","小美人鱼艾丽尔(美版,欧版,巴西)(英)"
Arliel - Crystal Densetsu (Japan),阿莉尔-水晶传说(日版)
"Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It)","高卢人-伟大营救(欧版)(英,法,德,西,意)"
"Asterix and the Great Rescue (USA, Brazil) (En)","高卢人-伟大营救(美版,巴西)(英)"
"Asterix and the Secret Mission (Europe) (En,Fr,De)","高卢人-伟大营救(欧版)(英,法,德)"
"Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (En)","AX战士-黄金斧传说(美版,欧版,巴西)(英)"
Ax Battler - Golden Axe Densetsu (Japan),AX战士-黄金斧传说(日版)
Ayrton Senna's Super Monaco GP II (Japan),摩纳哥GP赛车2(日版)
"Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (En)","摩纳哥GP赛车2(美版,欧版,巴西)(英)"
Baku Baku (Europe),动物方块(欧版)
Baku Baku (USA),动物方块(美版)
Baku Baku Animal - Sekai Shiikugakari Senshu-ken (Japan),动物方块(日版)
Batman Forever (World),永远的蝙蝠侠(世界)
Batman Returns (World),蝙蝠侠回归(世界)
Batter Up (USA),棒球体育场(美版)
Battleship - The Classic Naval Combat Game (USA),战斗舰队(美版)
"Battletoads (Japan, Europe) (En)","忍者蛙(日版,欧版)(英)"
Battletoads (USA),忍者蛙(美版)
"Beavis and Butt-Head (USA, Europe)","瘪四与大头蛋(美版,欧版)"
"Berenstain Bears' Camping Adventure, The (USA)",卷毛熊露营冒险记(美版)
Berlin no Kabe (Japan),柏林之壁(日版)
Bishoujo Senshi Sailor Moon S (Japan),美少女战士S(日版)
"Bonkers Wax Up! (USA, Europe)","邦克斯行动(美版,欧版)"
Bram Stoker's Dracula (Europe),吸血鬼德古拉(欧版)
Bram Stoker's Dracula (USA),吸血鬼德古拉(美版)
Bubble Bobble (USA),泡泡龙(美版)
