Name EN,Name CN
[BIOS] Alex Kidd in Miracle World (Korea) (En) (Unl),
"[BIOS] Alex Kidd in Miracle World (USA, Europe, Brazil) (En)",
[BIOS] Alex Kidd in Miracle World (World) (Sega Ages),
"[BIOS] Hang On (USA, Europe) (v3.4)",
"[BIOS] Hang On & Safari Hunt (USA, Europe, Brazil) (En) (v2.4)",
"[BIOS] Missile Defense 3-D (USA, Europe) (v4.4)",
[BIOS] Sega Master System (Japan) (v2.1),
[BIOS] Sega Master System (USA) (M404) (Proto),
[BIOS] Sega Master System (USA) (Proto),
"[BIOS] Sega Master System (USA, Europe) (v1.3)",
[BIOS] Sega Master System (USA) (Store Display Unit),
[BIOS] Sega Master System (Europe) (v2.0),
[BIOS] Sonic The Hedgehog (Europe),
[BIOS] TecToy Master System Evolution Menu (Brazil),
11 Hap Gam-Boy (Korea) (Unl),
128 Hap (Korea) (Unl),
2 Hap in 1 - Moai-ui Bomul + David II (Korea) (Unl),
20 em 1 (Brazil),游戏 20合1
3 in 1 - The Best Game Collection (A) (Korea) (En) (Unl),
3 in 1 - The Best Game Collection (B) (Korea) (En) (Unl),
3 in 1 - The Best Game Collection (C) (Korea) (En) (Unl),
3 in 1 - The Best Game Collection (D) (Korea) (En) (Unl),
3 in 1 - The Best Game Collection (E) (Korea) (En) (Unl),
3 in 1 - The Best Game Collection (F) (Korea) (En) (Unl),
3D Gunner (USA) (Beta),
4 PAK All Action (Australia) (Unl),
8 in 1 - The Best Game Collection (A) (Korea) (En) (Unl),
8 in 1 - The Best Game Collection (B) (Korea) (En) (Unl),
8 in 1 - The Best Game Collection (C) (Korea) (En) (Unl),
94 Super World Cup Soccer (Korea) (En) (Unl),
94-Nen Super Basketball (Taiwan) (En) (Unl),
"A-Team Music, The (Europe) (Proto) (1992-11-09) (Sound Data)",
"Ace of Aces (Europe, Brazil) (En)",王牌飞行员
Acerte o Alvo (Brazil) (Mega Drive 4),
Action Boy (Taiwan) (En) (Unl),
"Action Fighter (Japan, Europe) (En) (Beta)",战斗任务
"Action Fighter (USA, Europe, Brazil) (En) (Rev 1)",战斗任务
"Action Fighter (Japan, Europe) (En)",战斗任务
Action Fighter (Taiwan) (En) (Unl),战斗任务
"Addams Family, The (Europe)",阿达一族
"Aerial Assault (Europe, Brazil) (En)",空中突击
"Aerial Assault (USA, Brazil) (En)",空中突击
Aerial Assault (Taiwan) (En) (Unl),空中突击
After Burner (World),冲破火网
Agigongnyong Dooly (Korea) (Unl),
"Air Rescue (Europe, Brazil) (En)",空中救援
"Aladdin (Europe, Brazil) (En)",阿拉丁
Aleste (Japan) (En),雅士达战机
"Alex Kidd - High-Tech World (USA, Europe, Brazil) (En)",阿历克斯 - 科幻世界大冒险
"Alex Kidd - High-Tech World (USA, Europe, Brazil) (En) (Beta)",阿历克斯 - 科幻世界大冒险
Alex Kidd - The Lost Stars (World),阿历克斯 - 奇幻世界大冒险
"Alex Kidd in Miracle World (USA, Europe)",阿历克斯 - 奇幻世界大冒险
"Alex Kidd in Miracle World (USA, Europe, Brazil) (En) (Rev 1)",阿历克斯 - 奇幻世界大冒险
Alex Kidd in Miracle World (World) (Ja) (Sega Ages),阿历克斯 - 奇幻世界大冒险
Alex Kidd in Miracle World (World) (En) (Sega Ages),阿历克斯 - 奇幻世界大冒险
Alex Kidd in Miracle World 2 (World) (Unl),
"Alex Kidd in Shinobi World (USA, Europe, Brazil) (En)",阿历克斯 - 忍者世界大冒险
Alex Kidd no Miracle World (Japan),阿历克斯 - 奇幻世界大冒险
Alex Kido (Taiwan) (Ja) (Unl),
Alf (USA),阿尔夫大冒险
Alibaba and 40 Thieves (Korea) (En) (Unl),
"Alien 3 (Europe, Brazil) (En)",异形 3
"Alien Storm (Europe, Brazil) (En)",异形风暴
"Alien Syndrome (USA, Europe, Brazil) (En)",异形特攻队
"Alien Syndrome (USA, Europe, Brazil) (En) (Beta)",异形特攻队
Alien Syndrome (Japan) (En),异形特攻队
Alocos (Taiwan) (En) (Unl),
"Altered Beast (USA, Europe, Brazil) (En)",兽王记
"American Baseball (Europe, Brazil) (En)",美国实况棒球
American Pro Football (Europe),美国职业橄榄球
"Andre Agassi Tennis (Europe, Brazil) (En)",阿加西网球
Anmitsu Hime (Japan),甜甜小公主
Arcade Smash Hits (Europe),雅达利街机合集
Argos no Juujiken (Japan) (En),阿尔戈斯的十字剑
Ariel - The Little Mermaid (Brazil) (En),小美人鱼
Ashura (Japan) (En),阿修罗
"Assault City (Europe, Brazil) (En) (Light Phaser)",突击之城
Assault City (Europe) (Joypad),突击之城
"Asterix (Europe, Brazil) (En,Fr)",阿斯特里克斯
"Asterix (Europe, Brazil) (En,Fr) (Rev 1)",阿斯特里克斯
"Asterix and the Great Rescue (Europe, Brazil) (En,Fr,De,Es,It)",阿斯特里克斯 - 大救援
"Asterix and the Secret Mission (Europe, Brazil) (En,Fr,De)",阿斯特里克斯 - 秘密任务
Astro Adventure (Taiwan) (En) (Unl),
Astro Flash (Japan) (En),天文战机
"Astro Warrior (Japan, USA, Brazil) (En)",太空勇士队
Astro Warrior & Pit Pot (Europe),游戏2合1 - 太空勇士队 + 魔法迷宫
Astro Warrior & Pit Pot (Europe) (Sample),游戏2合1 - 太空勇士队 + 魔法迷宫
Astro Warrior & Pit Pot (Brazil) (En) (Master System Evolution),游戏2合1 - 太空勇士队 + 魔法迷宫
"Aventuras da TV Colosso, As (Brazil)",阿斯特里克斯 - 秘密任务
"Ayrton Senna's Super Monaco GP II (Europe, Brazil) (En)",摩纳哥GP赛车 2
Aztec Adventure (World),阿兹特克大冒险
Aztel Adventure (Taiwan) (En) (Unl),
"Back to the Future Part II (Europe, Brazil) (En)",回到未来 2
Back to the Future Part III (Europe),回到未来 3
Baku Baku (Brazil) (En),动物方块
"Bank Panic (Europe, Brazil) (En)",银行危机
"Basketball Nightmare (Europe, Brazil) (En)",噩梦篮球
"Basketball Nightmare (Europe, Brazil) (En) (Beta 2)",噩梦篮球
"Basketball Nightmare (Europe, Brazil) (En) (Beta 1)",噩梦篮球
"Batman Returns (Europe, Brazil) (En)",蝙蝠侠归来
"Battle Out Run (Europe, Brazil) (En) (Beta)",战斗飙车
"Battle Out Run (Europe, Brazil) (En)",战斗飙车
Battle Wings (World) (Beta) (1988-09-07),
Battlemaniacs (Brazil) (En),忍者蛙
"Black Belt (USA, Europe, Brazil) (En)",黑带
Black Belt (Taiwan) (En) (Unl),黑带
Blade Eagle (World) (Beta 2),
Blade Eagle (World) (Beta 1),
Blade Eagle 3-D (World),刀鹰战机 3D
Bloki (World) (v1.00) (Unl),
BMX Trial - Alex Kidd (Japan) (En),阿历克斯自行车大赛
Bobble Bobble (Korea) (En) (Unl),
Bolas e Cores (Brazil) (Mega Drive 4),
Bolhas (Brazil) (Mega Drive 4),
Bombeiros (Brazil) (Mega Drive 4),
Bomber Raid (World),爆裂空域
"Bonanza Bros. (Europe, Brazil) (En)",龙凤神偷
Bonkers Wax Up! (Brazil) (En),邦克斯行动
Bram Stoker's Dracula (Europe),吸血鬼德古拉之谜
"Bubble Bobble (Europe, Brazil) (En)",欢乐泡泡龙
Bubble Bobble (Taiwan) (En) (Unl),欢乐泡泡龙
"Buggy Run (Europe, Brazil) (En)",赛道四驱车赛
C_So! (Korea) (En) (Unl),
"California Games (USA, Europe, Brazil) (En)",加利福尼亚运动会
California Games II (Europe),加利福尼亚运动会 2
Captain Silver (USA),银色上尉
Captain Silver (USA) (Beta),银色上尉
"Captain Silver (Japan, Europe, Brazil) (En)",银色上尉
"Casino Games (USA, Europe)",赌城游戏
Castelo Ra-Tim-Bum (Brazil),拉蒂姆布姆城堡
"Castle of Illusion Starring Mickey Mouse (USA, Europe, Brazil) (En) (Demo)",米老鼠和幻影城堡
"Castle of Illusion Starring Mickey Mouse (USA, Europe, Brazil) (En) (Rev 1)",米老鼠和幻影城堡
"Castle of Illusion Starring Mickey Mouse (USA, Europe, Brazil) (En)",米老鼠和幻影城堡
Cava-Cava (Brazil) (Mega Drive 4),
"Champions of Europe (Europe, Brazil) (En)",冠军欧洲杯
Championship Hockey (Europe),冠军冰球赛
Chapolim x Dracula - Um Duelo Assustador (Brazil),幽灵鬼屋
"Cheese Cat-astrophe Starring Speedy Gonzales (Europe, Brazil) (En,Fr,De,Es)",飞飞鼠冈萨雷斯 奶酪大灾难
"Choplifter (USA, Europe, Brazil) (En)",直升机大战
"Choplifter (USA, Europe, Brazil) (En) (Beta)",直升机大战
Choplifter (Japan) (En) (Proto),直升机大战
Choplifter (Taiwan) (En) (Unl),直升机大战
Chouon Senshi Borgman (Japan),超音战士博格曼
Chouon Senshi Borgman (Japan) (Beta),超音战士博格曼
"Chuck Rock (Europe, Brazil) (En)",呆呆原始人
Chuck Rock II - Son of Chuck (Brazil) (En),呆呆原始人 2
Chuck Rock II - Son of Chuck (Europe),呆呆原始人 2
"Circuit, The (Japan) (En)",F1国际赛车大奖赛
"Cloud Master (USA, Europe, Brazil) (En)",中华大仙
Color & Switch Test (Japan) (En) (Proto),
