Name EN,Name CN
[BIOS] Aiwa CSD-GM1 (Japan),[BIOS] Aiwa CSD-GM1
[BIOS] LaserActive (USA) (v1.04),[BIOS] LaserActive
[BIOS] LaserActive (Japan) (v1.05),[BIOS] LaserActive
[BIOS] LaserActive (Japan) (v1.02),[BIOS] LaserActive
[BIOS] LaserActive (USA) (v1.02),[BIOS] LaserActive
[BIOS] Mega-CD (Europe),[BIOS] 世嘉CD
[BIOS] Mega-CD (Japan) (Rev E),[BIOS] 世嘉CD
[BIOS] Mega-CD (Asia) (Ja) (Rev H),[BIOS] 世嘉CD
[BIOS] Mega-CD (Japan) (Rev C),[BIOS] 世嘉CD
[BIOS] Mega-CD (Japan) (Rev H),[BIOS] 世嘉CD
[BIOS] Mega-CD (Japan) (Rev B),[BIOS] 世嘉CD
[BIOS] Mega-CD (Japan) (Rev D),[BIOS] 世嘉CD
[BIOS] Mega-CD (Japan) (v1.11B),[BIOS] 世嘉CD
[BIOS] Mega-CD (Japan) (Rev A),[BIOS] 世嘉CD
[BIOS] Mega-CD (Japan) (Beta),[BIOS] 世嘉CD
[BIOS] Mega-CD 2 (Europe) (v2.11),[BIOS] 世嘉CD 2
[BIOS] Mega-CD 2 (Europe),[BIOS] 世嘉CD 2
[BIOS] Mega-CD 2 (Europe) (Rev A),[BIOS] 世嘉CD 2
[BIOS] Mega-CD 2 (Japan),[BIOS] 世嘉CD 2
[BIOS] Multi-Mega (Europe),[BIOS] Multi-Mega
[BIOS] Sega CD (USA),[BIOS] 世嘉CD
[BIOS] Sega CD (USA) (Rev B),[BIOS] 世嘉CD
[BIOS] Sega CD 2 (USA),[BIOS] 世嘉CD 2
[BIOS] Sega CD 2 (USA) (Rev A),[BIOS] 世嘉CD 2
[BIOS] Sega CD 2A (USA),[BIOS] 世嘉CD 2A
[BIOS] Sega CDX (USA),[BIOS] 世嘉CDX
[BIOS] Sega Mega Drive - Genesis - Boot ROM (World),[BIOS] 世嘉 MD - Boot ROM
[BIOS] Sega Teradrive - TMSS (Japan) (En),[BIOS] 世嘉 Teradrive - TMSS
[BIOS] WonderMega (Japan) (En),[BIOS] WonderMega
[BIOS] WonderMega M2 (Japan) (En),[BIOS] WonderMega M2
[BIOS] X'Eye (USA),[BIOS] X'Eye
007 Shitou - The Duel (Japan) (En),007 - 死亡决斗
10 Super Jogos (Brazil) (En),超级游戏 10合1
16t (Japan) (Game no Kanzume Otokuyou),十六吨之掷
16t (Japan) (Game no Kanzume Vol. 2) [b],十六吨之掷
16t (Japan) (Sega Game Toshokan),十六吨之掷
2020 Nen Super Baseball (Japan),超级棒球 2020
3 Ninjas Kick Back (USA),忍杀三人组
6-Pak (USA),超级游戏 6合1
"688 Attack Sub (USA, Europe)",猎杀潜艇
A Ressha de Ikou MD (Japan),铁路大亨 MD
Aa Harimanada (Japan),播磨滩相扑
Aaahh!!! Real Monsters (Europe),真实妖怪
Aaahh!!! Real Monsters (USA) (Beta) (1995-07-07),真实妖怪
Aaahh!!! Real Monsters (USA),真实妖怪
Academia do Saber (Brazil) (Mega Drive 4),智慧学院
Action 52 (USA) (Unl),
Action Replay (Europe) (Program) (Unl),
"Addams Family Values (Europe) (En,Fr,De)",阿达姆斯家庭
Addams Family Values (USA) (Proto),阿达姆斯家庭
"Addams Family, The (USA, Europe) (Beta)",阿达姆斯家庭
"Addams Family, The (USA, Europe)",阿达姆斯家庭
Advanced Busterhawk Gley Lancer (Japan),星际枪骑兵
Advanced Busterhawk Gley Lancer (Japan) (Columbus Circle),星际枪骑兵
"Advanced Busterhawk Gley Lancer (World) (En,Ja) (Retro-Bit)",星际枪骑兵
Advanced Busterhawk Gley Lancer (World) (Ratalaika Games),星际枪骑兵
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A),高级大战略 - 闪电战
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Beta) (1991-03-07),高级大战略 - 闪电战
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-06)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-10)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-11)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-18)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-19)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-21)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-22)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-24)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-26)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-27)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-28)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA) (Beta) (1995-05-01)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (Europe)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA)",蝙蝠侠与罗宾的冒险
"Adventures of Mighty Max, The (Europe)",万能麦斯
"Adventures of Mighty Max, The (USA)",万能麦斯
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",麋鹿大进军
Adventurous Boy - Maoxian Xiaozi (Taiwan) (En) (Unl),冒险小子
Aero Blasters (Japan) (En),疾风战机
Aero the Acro-Bat (Europe),飞翔蝙蝠
Aero the Acro-Bat (USA),飞翔蝙蝠
Aero the Acro-Bat (Europe) (Sample),飞翔蝙蝠
Aero the Acro-Bat 2 (Europe),飞翔蝙蝠 2
Aero the Acro-Bat 2 (USA),飞翔蝙蝠 2
Aerobiz (USA),航空霸业
Aerobiz Supersonic (USA),航空霸业 - 超音速
After Burner II (Japan) (En),冲破火网 2
"After Burner II (USA, Europe)",冲破火网 2
Ah Q Lianhuan Pao (Taiwan) (Unl),阿Q连环泡
Air Buster (USA),疾风战机
Air Diver (Japan) (En),空中霸王
Air Diver (USA),空中霸王
Air Hockey (Brazil) (Mega Drive 4),气垫球
Air Hockey (Europe) (Sega Reactor),气垫球
Air Management - Oozora ni Kakeru (Japan),航空霸业
Air Management II - Koukuuou o Mezase (Japan),航空霸业 2
Akira (USA) (Proto),
"Al Michaels Announces HardBall III (USA, Europe)",阿尔·迈克尔斯播报 3
Aladdin (Europe),阿拉丁
Aladdin (Japan),阿拉丁
Aladdin (USA),阿拉丁
Aladdin (USA) (Beta) (1993-07-xx),阿拉丁
Aladdin (USA) (Final Cut),阿拉丁
Aladdin (World) (En) (Disney Classic Games),阿拉丁
Aladdin (World) (Ja) (Disney Classic Games),阿拉丁
Aladdin (World) (Beta) (Disney Classic Games),阿拉丁
Aladdin (USA) (Beta) (1993-06-27),阿拉丁
Aladdin (USA) (Beta) (1993-07-31),阿拉丁
Aladdin II (Taiwan) (En) (Unl),阿拉丁 2
Alex Kidd - Cheongong Maseong (Korea),亚历克斯基德 - 砖块迷宫
Alex Kidd - Tenkuu Majou (Japan),亚历克斯基德 - 天空魔城
Alex Kidd in the Enchanted Castle (Europe),亚历克斯在魔城
Alex Kidd in the Enchanted Castle (USA),亚历克斯在魔城
Alex Kidd in the Enchanted Castle (USA) (Sega Channel),亚历克斯在魔城
Alfred Chicken (USA) (Proto) (1994-07-14),
Alien 3 (China) (En) (Pirate),异形 3
"Alien 3 (USA, Europe)",异形 3
"Alien 3 (USA, Europe) (Rev A)",异形 3
Alien Soldier (Europe),外星战士
Alien Soldier (Japan),外星战士
Alien Soldier (USA) (Virtual Console),外星战士
"Alien Soldier (USA, Europe) (Switch Online)",外星战士
Alien Storm (World) (SEGA Classic Collection),异形风暴
Alien Storm (World),异形风暴
Alisia Dragoon (Europe),龙骑士
Alisia Dragoon (Japan),龙骑士
Alisia Dragoon (USA),龙骑士
Alisia Dragoon (USA) (Genesis Mini),龙骑士
Alisia Dragoon (Japan) (Mega Drive Mini),龙骑士
"Altered Beast (USA, Europe) (Sega 3D Classics)",兽王记
"Altered Beast (Japan, USA) (En) (Sega 3D Classics)",兽王记
"Altered Beast (USA, Europe) (Rev 2)",兽王记
"Altered Beast (Japan, USA) (En) (Rev 1)",兽王记
American Gladiators (USA),美国夺标
Anaconda (Brazil) (Mega Drive 4),贪吃蟒蛇
Andre Agassi Tennis (Europe),安德烈网球
Andre Agassi Tennis (USA),安德烈网球
Andre Agassi Tennis (USA) (Beta) (1992-08-xx),安德烈网球
"Animaniacs (Europe) (En,Fr,De)",狂欢三宝
Animaniacs (USA),狂欢三宝
Aniversario (Brazil) (Mega Drive 4),蜘蛛射手
Another World (Europe),奇异世界
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),苍狼与白鹿 - 元朝秘史
Aquaduto (Brazil) (Mega Drive 4),水道建设
"Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe)",詹姆斯庞德水上运动会
"Arcade Classics (USA, Europe)",街机经典游戏
Arcade Legends Sega Mega Drive (World),街机传奇 - 世嘉MD
Arcade Legends Street Fighter II' - Special Champion Edition (World),街机传奇 - 街头霸王 2' 特别冠军版
"Arch Rivals - The Arcade Game (USA, Europe)",劲爆二对二篮球 街机版
Arcus Odyssey (Japan),阿鲁卡冒险
Arcus Odyssey (USA),阿鲁卡冒险
Arcus Odyssey (World) (Evercade),阿鲁卡冒险
Argentina Soccer 2006 (Argentina) (Pirate),
Ariel - The Little Mermaid (China) (En) (Pirate),美人鱼
"Ariel - The Little Mermaid (USA, Europe)",美人鱼
"Ariel - The Little Mermaid (USA, Europe) (1992-10-10) (Sega Channel)",美人鱼
"Arnold Palmer Tournament Golf (USA, Europe) (Rev A) (Beta) (1990-03-22) (Sega Channel)",阿诺德高尔夫锦标赛
"Arnold Palmer Tournament Golf (USA, Europe)",阿诺德高尔夫锦标赛
"Arrow Flash (Japan, Europe) (En)",宇宙战机
Arrow Flash (USA),宇宙战机
Art Alive (World),艺术生涯
Art Alive (World) (1991-09-20) (Sega Channel),艺术生涯
Art of Fighting (USA) (Beta) (1994-07-11),龙虎之拳
Art of Fighting (Europe),龙虎之拳
Art of Fighting (USA),龙虎之拳
Asa Delta (Brazil) (Mega Drive 4),曙光三角洲
"Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It)",高卢人
Asterix and the Great Rescue (USA),高卢人
Asterix and the Power of the Gods (Europe) (Beta) (1994-02-xx),高卢人 2
"Asterix and the Power of the Gods (Europe) (En,Fr,De,Es)",高卢人 2
Atomic Robo-Kid (Japan),原子机器人小子
Atomic Robo-Kid (USA),原子机器人小子
Atomic Runner (Europe),原子战士
Atomic Runner (USA),原子战士
ATP Tour (Europe),ATP网球巡回赛
ATP Tour Championship Tennis (USA),ATP冠军网球赛
ATP Tour Championship Tennis (USA) (Beta) (1994-05-09),ATP冠军网球赛
ATP Tour Championship Tennis (USA) (Beta) (1994-07-19),ATP冠军网球赛
ATP Tour Championship Tennis (USA) (Beta) (1994-07-23),ATP冠军网球赛
ATP Tour Championship Tennis (USA) (Beta) (1994-08-02),ATP冠军网球赛
ATP Tour Championship Tennis (USA) (Beta) (1994-08-05),ATP冠军网球赛
ATP Tour Championship Tennis (USA) (Beta) (1994-08-08),ATP冠军网球赛
ATP Tour Championship Tennis (USA) (Beta) (1994-09-08),ATP冠军网球赛
Australian Rugby League (Europe) (Beta),澳大利亚橄榄球
Australian Rugby League (Europe),澳大利亚橄榄球
"Awesome Possum (Japan) (En,Ja)",胆小鼠
Awesome Possum Kicks Dr. Machino's Butt (USA),胆小鼠
Awesome Possum Kicks Dr. Machino's Butt! (USA) (Beta 1),
Awesome Possum Kicks Dr. Machino's Butt! (USA) (Beta 3),
Awesome Possum Kicks Dr. Machino's Butt! (USA) (Beta 2) (1993-07-12),
Aworg - Hero in the Sky (Japan) (Game no Kanzume Vol. 2) [b],
Aworg - Hero in the Sky (Japan) (Sega Game Toshokan),
"Ayrton Senna's Super Monaco GP II (Japan, Europe) (En,Ja)",摩纳哥GP赛车 2
"Ayrton Senna's Super Monaco GP II (USA) (En,Ja)",摩纳哥GP赛车 2
"Ayrton Senna's Super Monaco GP II (USA) (En,Ja) (Beta)",摩纳哥GP赛车 2
"B.O.B. (USA, Europe) (Beta)",太空蚂蚁战士
"B.O.B. (USA, Europe)",太空蚂蚁战士
Baby Boom (USA) (Proto) (1994-08-11),
Baby Boom (USA) (Proto) (1994-06-06),
Baby Boom (USA) (Proto) (1994-06-03),
Baby's Day Out (USA) (Proto 2),
Baby's Day Out (USA) (Proto 1),
Back to the Future Part III (Europe),回到未来 3
Back to the Future Part III (USA),回到未来 3
"Bad Omen (Japan, Korea) (En)",恶魔波子机
Bahamut Senki (Japan),圣龙传说
"Ball Jacks (Japan, Europe) (En)",杰克钢球
"Ballz (USA, Europe) (Beta 2)",球球大作战
"Ballz (USA, Europe) (Beta 1)",球球大作战
"Ballz 3D - The Battle of the Ballz (USA, Europe)",球球大作战 3D
Baoxiao Sanguo (Taiwan) (Unl),爆笑三国
Baoxiao Sanguo (Taiwan) (Unl) (Alt),爆笑三国
Barbie Super Model (USA) (Beta) (1993-06-30),超级名模芭比
Barbie Super Model (USA),超级名模芭比
Barbie Vacation Adventure (USA) (Proto),芭比的假期冒险
Bare Knuckle II (Japan) (En) (Beta),怒之铁拳 2
Bare Knuckle III (Japan),怒之铁拳 3
Bare Knuckle III (Japan) (Beta),怒之铁拳 3
Barkley Shut Up and Jam 2 (USA),巴克利篮球 2
Barkley Shut Up and Jam 2 (USA) (Beta),巴克利篮球 2
"Barkley Shut Up and Jam! (USA, Europe)",巴克利篮球
Barney's Hide & Seek Game (USA),巴尼寻宝
Barney's Hide & Seek Game (USA) (1993-09-18) (Sega Channel),巴尼寻宝
