Name EN,Name ZH
Lunar 2 - Eternal Blue (Japan) (Disc 1),露娜 2 - 永恒之蓝
Lunar 2 - Eternal Blue (Japan) (Disc 2),露娜 2 - 永恒之蓝
Devil Summoner - Soul Hackers & Ronde (Japan) (Demo 2),
World Cup '98 France - Road to Win (Japan),法国世界杯 '98 - 胜利之路
J.League Pro Soccer Club o Tsukurou! 2 (Japan) (3M),J联盟职业创造球会 2
"Game of Life, The - DX Jinsei Game (Japan) (Rev B)",DX人生游戏 - 游戏人生
America Oudan Ultra Quiz (Japan),横断美国问答
Jungle Park - Saturn Shima (Japan) (Rev A),丛林公园 - 土星岛
Quiz Nanairo Dreams - Nijiiro-chou no Kiseki (Japan) (Rev A),七彩梦 - 虹色町的奇迹
m [emu] - Kimi o Tsutaete (Japan) (2M),传达给你
Enemy Zero (Japan) (Disc 0) (Opening Disc) (2M),异灵
Enemy Zero (Japan) (Disc 1) (Game Disc) (2M),异灵
Enemy Zero (Japan) (Disc 2) (Game Disc) (2M),异灵
Enemy Zero (Japan) (Disc 3) (Game Disc) (3M),异灵
"Sakura Taisen (Japan) (Disc 1) (7M, 9M, 10M)",樱花大战
"Sakura Taisen (Japan) (Disc 2) (8M, 9M)",樱花大战
Vampire Hunter - Darkstalkers' Revenge (Japan) (3M),恶魔猎人 - 恶魔的复仇
Street Fighter Zero 2 (Japan),街头霸王 ZERO 2
Virtua Fighter 2 (Japan) (Rev B) (39B),VR战士 2
Grandia - Digital Museum (Japan) (Rev A) (10M),格兰蒂亚 - 数码博物馆
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 1) (Shokai Tokutenban) (1M, 3M, 4M)",樱花大战 2 - 愿君平安
Kanzen Chuukei Pro Yakyuu Greatest Nine (Japan) (Rev A),完全中继 - 最强九人棒球
Stakes Winner - GI Kanzen Seiha e no Michi (Japan),赛马冠军 - 制霸之道
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 2) (Shokai Tokutenban) (1M, 2M, 4M)",樱花大战 2 - 愿君平安
AI Shougi (Japan),AI将棋
Tomb Raiders (Japan),盗墓者
Dennou Senki - Virtual On - Cyber Troopers (Japan),电脑战机
Nonomura Byouin no Hitobito (Japan),野野村病院的人们
Battle Garegga (Japan),空战之路
Winning Post 2 - Program '96 (Japan),赛马大亨 2 '96
Logic Puzzle Rainbow Town (Japan),彩虹镇的逻辑难题
Manx TT SuperBike (Japan),麦斯超级机车赛 TT
Metal Slug - Super Vehicle-001 (Japan) (Rev A),合金弹头 - 超级战车 001
Pro Yakyuu Greatest Nine '97 - Make Miracle (Japan),最强九人棒球 '97 - 创造奇迹
Tournament Leader (Japan),高尔夫锦标赛领队
DoDonPachi (Japan),怒首领蜂
X-Men vs. Street Fighter (Japan) (1M),X战警对街霸
Real Bout Garou Densetsu Special (Japan),真说 - 饿狼传说 特别版
Rockman 8 - Metal Heroes (Japan),洛克人 8 - 钢铁英雄们
Clockwork Knight - Pepperouchau's Adventure (Europe),发条骑士大冒险
"World Cup Golf - In Hyatt Dorado Beach (Japan) (En,Ja)",世界杯高尔夫
Preview Sega Saturn Vol. 1 (Europe),
Terra Phantastica (Japan),大地女神幻想曲
Devil Summoner - Soul Hackers (Japan) (Disc 1),恶魔召唤师 - 灵魂黑客
Devil Summoner - Soul Hackers (Japan) (Disc 2),恶魔召唤师 - 灵魂黑客
Chou Jikuu Yousai Macross - Ai Oboete Imasu ka (Japan) (Disc 1),超时空要塞 - 可曾记得爱
Chou Jikuu Yousai Macross - Ai Oboete Imasu ka (Japan) (Disc 2),超时空要塞 - 可曾记得爱
"Alien Trilogy (Europe) (En,Fr,Es,It) (4S)",异形三部曲
"King of Fighters '95, The (Japan) (2M)",拳皇 '95
Sega Ages - Galaxy Force II (Japan),世嘉时代 - 银河力量 2
Duke Nukem 3D (Europe),毁灭公爵 3D
Shanghai - Banri no Choujou - The Great Wall (Japan) (Rev A) (15M),上海 - 万里长城
Panic-chan (Japan) (Rev A) (11M),潘神迷宫
Die Hard Trilogy (Japan),虎胆龙威
Virtua Cop 2 (Japan) (2M),VR战警 2
Sega Touring Car Championship (Japan),世嘉观览车大赛
Fuusui Sensei - Feng-Shui Master (Japan),风水先生
International Victory Goal (Europe),国际化 - 胜利足球
Shin Megami Tensei - Devil Summoner (Japan) (Rev A),真女神转生 - 恶魔召唤师
Shin Megami Tensei - Devil Summoner - Akuma Zensho (Japan),
Mortal Kombat II (Europe),真人快打 2
Enemy Zero (Japan) (Disc 0) (Opening Disc),异灵
Enemy Zero (Japan) (Disc 1) (Game Disc),异灵
Enemy Zero (Japan) (Disc 2) (Game Disc),异灵
Enemy Zero (Japan) (Disc 3) (Game Disc),异灵
Jissen! Pachi-Slot Hisshou-hou! 3 (Japan),实战柏青哥必胜法 3
"Conveni, The - Ano Machi o Dokusen seyo (Japan)",便利店 - 独占那条街的市场
Sega Worldwide Soccer '98 (Japan),世嘉世界联赛足球 '98
"Tower, The (Japan)",塔
Bakuretsu Hunter R (Japan),爆裂猎人 R
Bakuretsu Hunter (Japan) (Omake CD),爆裂猎人
Mahjong Doukyuusei Special (Japan) (Disc 1) (Shokai Genteiban),同级生麻雀特别版
Virtual Volleyball (Japan),虚拟排球
Street Fighter Zero 3 (Japan),街头霸王 ZERO 3
Bio Hazard (Japan),生化危机
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 3) (Shokai Tokutenban) (3M, 4M, 5M, 6M)",樱花大战 2 - 愿君平安
Dead or Alive (Japan) (2M),生与死
Marvel Super Heroes vs. Street Fighter (Japan),超级漫画英雄VS街头霸王
Virtua Fighter (Japan),VR战士
Vampire Savior - The Lord of Vampire (Japan),恶魔战士 3 - 救世主
Panzer Dragoon (Japan) (5A),铁甲飞龙
Panzer Dragoon II Zwei (Japan),铁甲飞龙 2
Airs Adventure (Japan),空中冒险
Amok (USA),杀人狂
J.League Pro Soccer Club o Tsukurou! (Japan),J联盟职业创造球会
Tengai Makyou - Daiyon no Mokushiroku - The Apocalypse IV (Japan) (Disc 1),天外魔境 - 第四默示录 4
Tengai Makyou - Daiyon no Mokushiroku - The Apocalypse IV (Japan) (Disc 2),天外魔境 - 第四默示录 4
Alone in the Dark - One-Eyed Jack's Revenge (USA),鬼屋魔影
Virtua Fighter 2 (Europe) (Rev A) (Made in EU),VR战士 2
Dragon Force (Japan) (4M),龙之力量
Jikkyou Powerful Pro Yakyuu '95 - Kaimakuban (Japan) (2M),实况力量棒球 '95 开幕版
Virtua Cop 2 (Europe),VR战警 2
"Rayman (Europe) (En,Fr,De) (6S)",雷曼
Bust-A-Move 3 (Europe),泡泡龙 3
Soviet Strike (Europe),攻击苏联
Pocket Fighter (Japan),口袋战士
Dragon Ball Z - Shinbutouden (Japan),龙珠 Z - 真武斗传
Scorcher (Europe),滚石赛车
Sega Rally Championship (Europe) (Made in EU),世嘉拉力
"Story of Thor 2, The (Europe)",光之继承者 2
Sonic R (Europe),索尼克 R
